Название раздела;GUID идентификатор группы элементов;GUID идентификатор родительской группы элементов;Заголовок раздела(title);Описание раздела(description);Ключевые слова раздела(keywords);Описание раздела;Путь для раздела;Порядок сортировки раздела;GUID идентификатор элемента;Название элемента;Описание элемента;Текст для элемента;Метки;Активность элемента;Порядок сортировки элемента;Путь к элементу;Заголовок (title);Значение мета-тега description для страницы с элементом;Значение мета-тега keywords для страницы с элементом;Флаг индексации;Дата;Дата публикации;Дата завершения публикации;Файл изображения для элемента;Файл малого изображения для элемента;Ярлыки;Идентификатор пользователя сайта;Форматированное текстовое поле1-1;Форматированное текстовое поле2-1;Чек бокс2-1;Чек бокс1-1;Адрес (youtube);Заголовок1-1;Ссылка1-1;Описание1-1;Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1;Заголовок5-1;Ссылка5-1;Описание5-1;Форматированное текстовое поле3-1;Чек бокс3-1
;ID00000000;;;;;;;;87E43B86-96D0-FA06-6F0C-9B07C924C931;Как правильно выбрать арбуз в 2017 году;"Арбуз &mdash; одна из самых вкусных ягод, которая радует своим волшебным";Современный быстрый темп жизни заставляет каждую хозяйку действовать всё скорее и скорее, оставляя всё меньше времени на себя. Но что делать если нужно всё контролировать самостоятельно? Давайте учиться правильно и быстро готовить любимую еду! Выход простой – только отточенность и правильный порядок действий поможет уменьшить время, потраченное «на кухню». Большинство домохозяек не владеют умениями опытных поваров. Как правильно выбрать арбуз в 2017 году - мы подготовили самую поэтапную инструкцию, читайте ее и смотрите видео.;инструкция,арбуз,железо,пектин,богатый,калий,волшебный,детка,пищеварение,кишечник;1;0;kak-pravilno-vybrat-arbuz;Как правильно выбрать арбуз в 2017 году - Секреты кухни;Как правильно выбрать арбуз в 2017 году - Простая инструкция с фото и видео. Готовь дома!;инструкция, арбуз, железо, пектин, богатый, калий, волшебный, детка, пищеварение, кишечник, Как правильно выбрать арбуз в 2017 году видео;1;03.11.2017 10:27:04;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3813/informationsystem_items_catalog_image3813.jpg;/upload/information_system_103/3/8/1/item_3813/small_informationsystem_items_catalog_image3813.jpg;;0;;;0;1;;Источник: Как правильно выбрать арбуз в 2017 году;https://www.kakprosto.ru/print/294;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/294;0
;ID00000000;;;;;;;;F710A482-C076-E3E1-66F3-24ABC0DBA268;Как хранить морковь;Многие хозяйки жалуются на то, что красивая и сочная морковь нового  урожая;Каждый кулинар утверждает, что приготовление еды требует очень много времени. Как же можно сократить время, проводимое у плиты? А знаете где мы проводим больше всего времени? На кухне! Ответ прост – достаточно придерживаться технологии приготовления еды. Только тогда появится уйма свободного времени. Однако не все знают, даже Как хранить морковь. Не все девушки знают наилучшую последовательность действий. Вот это-то и отнимает лишнее время, которое можно с удовольствием потратить на себя. Как хранить морковь - мы подобрали простую пошаговую инструкцию, читайте ее и смотрите видео.;инструкция,морковь,Овощ,зим,заготовка,сочный,как хранить морковь;1;0;kak-hranit-morkov;Как хранить морковь - Секреты кухни;Как хранить морковь - Простая инструкция с фото и видео. Готовь дома!;инструкция, морковь, Овощ, зим, заготовка, сочный, как хранить морковь, Как хранить морковь видео;1;03.11.2017 10:27:05;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3814/informationsystem_items_catalog_image3814.jpg;/upload/information_system_103/3/8/1/item_3814/small_informationsystem_items_catalog_image3814.jpg;;0;;;0;1;6AQCfNbdgCo;Источник: Как хранить морковь;https://www.kakprosto.ru/print/387;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/387;0
;ID00000000;;;;;;;;95AF32CE-4D01-E500-19EC-40850346EE82;Как правильно выбрать мед;"Мед &ndash; практически идеальный продукт питания: он обладает насыщенным";Если спросить сегодня современного человека чего ему не хватает, то любой ответит: времени. Действительно, современный темп жизни настолько высок, что порой не остаётся времени чтобы провести его с близкими. Однако для каждой девушки очень важно уделять внимание детям и семье, и это не учитывая обязанностей. Как находить время для себя? Давайте учиться правильно готовить! Чем больше времени мы проводим на кухне, тем меньше у нас его остается для приятных вещей! Решение очевидное – нужно уметь правильно готовить. Не каждая хозяйка может правильно ответить на вопрос Как правильно выбрать мед. Вроде ничего сложного, и каждый может выполнить, однако именно уверенность и отточеность действий домохозяйки поможет не тратить лишнее время. Как правильно выбрать мед - Прочитайте нашу статью. Зная нюансы и правильность выполнения всех действий и Вы сможете намного быстрее готовить вкусную и полезную еду.;медицинский,инструкция,правильный,мед,сладкий,янтарь,выбирать,как правильно выбрать мед;1;0;kak-pravilno-vybrat-med;Как правильно выбрать мед - Секреты кухни;Как правильно выбрать мед - Простая инструкция с фото и видео. Готовь дома!;медицинский, инструкция, правильный, мед, сладкий, янтарь, выбирать, как правильно выбрать мед, Как правильно выбрать мед видео;1;03.11.2017 10:27:06;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3815/informationsystem_items_catalog_image3815.jpg;/upload/information_system_103/3/8/1/item_3815/small_informationsystem_items_catalog_image3815.jpg;;0;;;0;1;oBZihT9Jl1Y;Источник: Как правильно выбрать мед;https://www.kakprosto.ru/print/784;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/784;0
;ID00000000;;;;;;;;1056C798-83E0-2DE7-2208-399BA992E48A;Как сушить грибы;Поскольку грибы являются очень ценным и питательным продуктом,  содержащим;Каждый кулинар скажет, что на приготовление еды требуется уйма времени. Каким образом можно сократить пребывание на кухне? Давайте учиться правильно готовить любимую еду! Выход есть – только правильность и последовательность действий может сократить время, проводимое на кухне. Большинство хозяек не владеют умениями опытных поваров и кулинаров. Как сушить грибы - Читайте нашу статью. Зная нюансы и правильность выполнения всех действий и Вы сможете намного быстрее готовить вкусную и полезную еду.;гриб,инструкция,белка,питательный,железо,цинк,фосфор,марганец;1;0;kak-sushit-griby;Как сушить грибы - Секреты кухни;Как сушить грибы - Простая инструкция с фото и видео. Готовь дома!;гриб, инструкция, белка, питательный, железо, цинк, фосфор, марганец, Как сушить грибы видео;1;03.11.2017 10:27:07;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3816/informationsystem_items_catalog_image3816.jpg;/upload/information_system_103/3/8/1/item_3816/small_informationsystem_items_catalog_image3816.jpg;;0;;;0;1;uUEiZlZ1nPU;Источник: Как сушить грибы;https://www.kakprosto.ru/print/811;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/811;0
;ID00000000;;;;;;;;39302A06-A0A3-BA90-97EB-56D638138764;Как сушить шиповник;Шиповник, это одно из немногих растений, которое способно сохранять  большую;Если рассмотреть процесс приготовления еды, то каждый кулинар утверждает, что на готовку уходит уйма времени. Каким образом сократить пребывание на кухне? В наших силах - как минимум сократить то время, что мы проводим каждый день на кухне! Решение несложное – нужно уметь правильно готовить. Не любая опытная хозяйка может правильно ответить на вопрос Как сушить шиповник. Вроде все просто, однако именно правильный порядок действий повара помогает сократить время, проводимое у плиты. Как сушить шиповник - Прочитайте нашу статью и смотрите видео. Зная нюансы и правильность выполнения всех действий и Вы сможете намного быстрее готовить вкусную и полезную еду.;инструкция,Шиповник,сушка шиповника;1;0;kak-sushit-shipovnik;Как сушить шиповник - Секреты кухни;Как сушить шиповник - Простая инструкция с фото и видео. Готовь дома!;инструкция, Шиповник, сушка шиповника, Как сушить шиповник видео;1;03.11.2017 10:27:08;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3817/informationsystem_items_catalog_image3817.jpg;/upload/information_system_103/3/8/1/item_3817/small_informationsystem_items_catalog_image3817.jpg;;0;;;0;1;iNRlpofqcfA;Источник: Как сушить шиповник;https://www.kakprosto.ru/print/821;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/821;0
;ID00000000;;;;;;;;865BEA48-A6E3-CF33-9F57-249A1FC7C388;Как хранить грецкие орехи;Грецкий орех в нашей стране популярен едва ли не больше, чем орех  лесной;Каждый кулинар знает, что приготовление еды отнимает существенное количество времени. Каким образом можно сократить время, проводимое у плиты? Давайте учиться правильно и быстро готовить любимые блюда! Выход есть – только уверенность и правильная организация действий помогает уменьшить время, проводимое на кухне. Большинство домохозяек не владеют умениями профессиональных поваров и кулинаров. Как хранить грецкие орехи - мы подготовили самую поэтапную инструкцию, читайте ее и смотрите видео.;инструкция,орех,свойство,польза,как хранить грецкие орехи;1;0;kak-hranit-greckie-orehi;Как хранить грецкие орехи - Секреты кухни;Как хранить грецкие орехи - Простая инструкция с фото и видео. Готовь дома!;инструкция, орех, свойство, польза, как хранить грецкие орехи, Как хранить грецкие орехи видео;1;03.11.2017 10:27:09;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3818/informationsystem_items_catalog_image3818.jpg;/upload/information_system_103/3/8/1/item_3818/small_informationsystem_items_catalog_image3818.jpg;;0;;;0;1;;Источник: Как хранить грецкие орехи;https://www.kakprosto.ru/print/858;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/858;0
;ID00000000;;;;;;;;BD9B05F4-A6EB-3D08-E7C2-A1020EF40DDD;Как хранить яблоки зимой;После того, как урожай яблок на садовом участке собран, становится  вопрос;Современный скоростной темп жизни заставляет каждого человека действовать всё с большей скоростью, и свое личное время становится с каждым днем все ценнее. Но что делать если нужно всё контролировать самостоятельно? Угадайте, где мы проводим больше всего времени каждый день? На кухне! Выход есть – только правильность и последовательность действий может сократить время, проводимое на кухне. Большинство хозяюшек не владеют навыками ресторанных поваров и кулинаров. Как хранить яблоки зимой - мы подобрали доступную пошаговую инструкцию, читайте ее и смотрите видео.;инструкция,яблоко,Зима,квартира,температура,как хранить яблоки зимой,яблоки зимой;1;0;kak-hranit-yabloki-zimoy;Как хранить яблоки зимой - Секреты кухни;Как хранить яблоки зимой - Простая инструкция с фото и видео. Готовь дома!;инструкция, яблоко, Зима, квартира, температура, как хранить яблоки зимой, яблоки зимой, Как хранить яблоки зимой видео;1;03.11.2017 10:27:10;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/1/item_3819/informationsystem_items_catalog_image3819.jpg;/upload/information_system_103/3/8/1/item_3819/small_informationsystem_items_catalog_image3819.jpg;;0;;;0;1;zpmvpFKtnQA;Источник: Как хранить яблоки зимой;https://www.kakprosto.ru/print/866;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/866;0
;ID00000000;;;;;;;;400E7613-BA7A-462E-2BC9-C66E6CDDAC57;Как выбрать икру;Не один праздничный стол не обходится без красной икры. Именно этот деликатес;Современный человек должен повсюду успевать, но не каждому на все дела достаточно времени, особенно если хочется большинство дел выполнять качественно. Угадайте, где мы теряем больше всего времени каждый день? На кухне! Выход есть – только отточенность и правильный порядок действий может уменьшить время, потраченное «на кухню». Большинство хозяек не владеют навыками опытных поваров. Как выбрать икру - мы подобрали пошаговую инструкцию, ознакомьтесь с ней.;инструкция,икра,совет,рекомендация,бутерброд,деликатес,гвоздь,стандарт,наряд,чрезвычайный,нелегкий;1;0;kak-vybrat-ikru;Как выбрать икру - Секреты кухни;Как выбрать икру - Простая инструкция с фото и видео. Готовь дома!;инструкция, икра, совет, рекомендация, бутерброд, деликатес, гвоздь, стандарт, наряд, чрезвычайный, нелегкий, Как выбрать икру видео;1;03.11.2017 10:27:11;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/2/item_3820/informationsystem_items_catalog_image3820.jpg;/upload/information_system_103/3/8/2/item_3820/small_informationsystem_items_catalog_image3820.jpg;;0;;;0;1;uKyi2Lkmfsw;Источник: Как выбрать икру;https://www.kakprosto.ru/print/1542;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/1542;0
;ID00000000;;;;;;;;278195C9-E58F-BE68-6AE8-F426B7A71A58;Как разделать свинью;Собственное хозяйство, это всегда сложно. Особенно, когда приходит черёд;Современный человек должен всюду успевать, но не каждому на все дела достаточно времени, особенно если хочется большинство дел перепоручать сотрудникам. А знаете где мы проводим больше всего времени? На кухне! Ответ простой – нужно уметь правильно готовить. Не любая домохозяйка может правильно ответить на вопрос Как разделать свинью. Вроде ничего сложного, и каждый может выполнить, однако именно уверенность и отточеность действий повара поможет освободить время. Как разделать свинью - мы подобрали самую поэтапную инструкцию, читайте ее и смотрите видео.;инструкция,свинья,режем поросенка,как разделать поросенка,как разделать свинью,разделка туши свиньи,как разделать свинью видео;1;0;kak-razdelat-svinyu;Как разделать свинью - Секреты кухни;Как разделать свинью - Простая инструкция с фото и видео. Готовь дома!;инструкция, свинья, режем поросенка, как разделать поросенка, как разделать свинью, разделка туши свиньи, как разделать свинью видео, Как разделать свинью видео;1;03.11.2017 10:27:12;0000-00-00 00:00:00;0000-00-00 00:00:00;;;;0;;;0;1;o0gCoRDS_6k;Источник: Как разделать свинью;https://www.kakprosto.ru/print/879;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/879;0
;ID00000000;;;;;;;;0F8222F2-FD91-D0A5-DD25-4BE58ADA6F7C;Как выбрать гранат;"Чудные плоды страсти &ndash; гранаты. Именно их рубиновые сердцевины так";Если спросить современного человека чего ему не хватает, то он не раздумывая назовет время. Современный темп мира настолько высок, что порой не хватает времени даже на любимое хобби. Однако для каждой девушки очень важно уделять внимание себе и близким, не говоря уже о тех процессах, которые она выполняет ежедневно. Как же найти время на себя? А знаете где мы проводим больше всего времени? На кухне! Многие молодые хозяйки не знают Как выбрать гранат правильно. Казалось бы, это простой вопрос, однако только правильное выполнение этой нехитрой работы позволит вам существенно сэкономить время, проведённое на кухне. Как выбрать гранат - Прочитайте нашу статью и смотрите видео. Зная нюансы и правильность выполнения всех действий и Вы сможете намного быстрее готовить вкусную и полезную еду.;инструкция,совет,рекомендация,гранат,как выбрать гранат;1;0;kak-vybrat-granat;Как выбрать гранат - Секреты кухни;Как выбрать гранат - Простая инструкция с фото и видео. Готовь дома!;инструкция, совет, рекомендация, гранат, как выбрать гранат, Как выбрать гранат видео;1;03.11.2017 10:27:12;0000-00-00 00:00:00;0000-00-00 00:00:00;/upload/information_system_103/3/8/2/item_3822/informationsystem_items_catalog_image3822.jpg;/upload/information_system_103/3/8/2/item_3822/small_informationsystem_items_catalog_image3822.jpg;;0;;;0;1;VKrd-QDbxRY;Источник: Как выбрать гранат;https://www.kakprosto.ru/print/1549;Простая инструкция от Как просто.;;;;;;;;;;;;;https://www.kakprosto.ru/print/1549;0
