"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Чек бокс1-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";"Форматированное текстовое поле3-1";"Чек бокс3-1"
"Как встретить";"43196878-4D81-6B13-3F0D-2F9073844862";"ID00000000";"";"";"";"";"kak-vstretit";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"BF9342F7-5504-0B98-C05E-F7198832DE4E";"Как отметить Новый год вдвоем";"Для того чтобы отпраздновать новый год вдвоем, следует сначала создать романтическую";"Думаю, есть на земле люди, которые не верят в Астрологию и считают всё это шарлатанством, но подумайте сами, если бы не эта наука, которой огромное количество лет, то разве было бы не скучно? Как тогда бы мы ориентировались в таких вопросах: какой год по астрологическому календарю, кто его покровитель, какие цвета и вещи актуальны и так далее. Естественно, можно не задумываться об этом и делать всё по накатанной: кому что нравится, то и делает. Но ведь это скучно и однообразно. А так у человечества есть ориентир, которого придерживаются и скептики в том числе. Это ли не новогоднее чудо?!";"инструкция,совет,рекомендация,год,как отметить новый год вдвоем";"1";"0";"kak-otmetit-novyy-god-vdvoem";"Как отметить Новый год вдвоем - Новый год на сайте Это Праздник";"Как отметить Новый год вдвоем - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"инструкция, совет, рекомендация, год, как отметить новый год вдвоем, Как отметить Новый год вдвоем видео";"1";"15.11.2017 17:08:10";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"";"";"";"0";"<ol><br/><li>Необходимо превратить вашу квартиру в уютное и комфортное гнездышко. Можно продумать такие мелочи как запах, освещение, добавить немного мишуры, свечей, романтичной музыки. Все эти мелочи помогут создать необходимую праздничную атмосферу. В этот вечер телевизор вам не к чему – лучше ограничиться речью президента и боем курантов. Ведь самое главное, чтобы ваше внимание было направлено друг на друга.</li><br/>    <li>Новогодний стол на двоих. Отметить новый год вдвоем вам поможет правильно организованный праздничный стол. Поэтому романтические угощения должны быть изысканными и легкими, но при этом сытными! Если вам нужна романтика - никакого тяжелого ужина быть не должно! Лучше всего к столу подойдут: бутылка вкусного вина, легкие салаты и мясные блюда и фрукты.</li><br/>    <li>Новогодние костюмы. Новый год – это праздник, даже если вы хотите отпраздновать его в домашних условиях, поэтому выглядеть нарядно вы обязаны. Для девушек обязательно присутствие платья с большим вырезом на спине, красивые брюки, блестящий топ, кружевная кофта и многое другое.";"<ol><br/><li>Необходимо превратить вашу квартиру в уютное и комфортное гнездышко. Можно продумать такие мелочи как запах, освещение, добавить немного мишуры, свечей, романтичной музыки. Все эти мелочи помогут создать необходимую праздничную атмосферу. В этот вечер телевизор вам не к чему – лучше ограничиться речью президента и боем курантов. Ведь самое главное, чтобы ваше внимание было направлено друг на друга.</li><br/>    <li>Новогодний стол на двоих. Отметить новый год вдвоем вам поможет правильно организованный праздничный стол. Поэтому романтические угощения должны быть изысканными и легкими, но при этом сытными! Если вам нужна романтика - никакого тяжелого ужина быть не должно! Лучше всего к столу подойдут: бутылка вкусного вина, легкие салаты и мясные блюда и фрукты.</li><br/>    <li>Новогодние костюмы. Новый год – это праздник, даже если вы хотите отпраздновать его в домашних условиях, поэтому выглядеть нарядно вы обязаны. Для девушек обязательно присутствие платья с большим вырезом на спине, красивые брюки, блестящий топ, кружевная кофта и многое другое. Ведь вы хотите произвести впечатление на своего мужчину. Белье в новогодний вечер должно быть особенным и красивым! Любой новогодний костюм предполагает праздничный макияж. Он должен быть сдержанным и милым. Не стоит делать его слишком ярким, создавая впечатление, что вы собрались на «охоту». Вашего мужчину вы уже покорили, поэтому кардинальных изменений в вашем макияже делать не нужно.</li><br/></ol><br/>Конечно, можно после вечера вдвоем пойти на шумное застолье к вашим друзьям, однако весь ваш романтический настрой сразу же испариться. Поэтому совместить новый год вдвоем с праздничным застольем у друзей не получиться.<br/><br/>Чтобы от праздничного новогоднего вечера остались исключительно романтические впечатления – без пьяных друзей и родственников, давно надоевших тостов – вам следует отметить новый год вдвоем, наедине друг с другом. Кто сказал, что вы обязаны провести весь праздничный вечер у телевизора и шикарного стола? Сон в любимых объятьях – самая главная романтика. Романтический новый год должен запомниться на долгое время.<br/><br/> ";"0";"1";"IAVaoLi9kiE";"Источник: Как отметить Новый год вдвоем";"https://www.kakprosto.ru/print/2150";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/2150";"0"
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"479DEC62-FE31-DEBB-D5AA-09DA27AC38E3";"Как начать новый год";"Календарный новый год – отличный повод изменить что-то в своей жизни. С";"Наверное, каждый человек, осознанно или нет, ждёт в новогоднюю ночь чуда. И осознаёт он это или нет, но в роли волшебника выступает сам человек, поэтому свершится чудо или нет зависит от него. Почему именно новогоднее время особенное, а подготовка к новогодним и рождественским праздникам начинается практически с наступлением холодов? Ведь, казалось бы, обычный день, обычная ночь, но именно сам человек делает её волшебной. Кто как не человек наполняет волшебством всё вокруг. Подумайте сами. Разве не волшебство, то что каждый из на так старательно украшает свой дом к Новому году, тщательно выбирает и готовит подарки, заряжает необычайной энергетикой дерево, искусственное или живое, украшает его самыми невероятными игрушками, готовит вкусные блюда, одевается в лучшую одежду и развлекается в новогоднюю ночь так, как ни в одну другую ночь в году. Подумайте сами, разве это не волшебство, а человек не кудесник?! Когда ещё такое возможно, как не в новогоднюю ночь. Волшебную ночь!";"год,начало,приоритет,жизнь,бой,одиночество,календарный,куранты,оглядка";"1";"0";"kak-nachat-novyy-god";"Как начать новый год - Новый год на сайте Это Праздник";"Как начать новый год - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"год, начало, приоритет, жизнь, бой, одиночество, календарный, куранты, оглядка, Как начать новый год видео";"1";"15.11.2017 17:08:11";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/6/9/1/item_6918/informationsystem_items_catalog_image6918.jpg";"/upload/information_system_128/6/9/1/item_6918/small_informationsystem_items_catalog_image6918.jpg";"";"0";"Инструкция




1

Напишите список всего плохого, что должно остаться в ушедшем году. Это могут быть болезни, безденежье, одиночество, зависть. Бумагу с негативом сожгите. Теперь даже подсознательно, на психологическом уровне, вы готовы только к хорошему.




2

Создайте себе мотиватор для нового календарного года. Это может быть коллаж из журнальных картинок и заголовков, воплощающих все, что вы хотите. Наклейте на лист бумаги дом, если мечтаете о своем жилье, веселую и счастливую семью, если хотите ее завести, собаку той породы, которая вам нравится. Листок-мотиватор повесьте на стене перед рабочим столом или дома на кухне. Смотрите на него каждый день и думайте о том, что сегодня вы можете сделать, чтобы приблизить свою мечту.




3

Задайте новому году ускорение с первых же дней. Не проводите их лежа на диване перед телевизором. Заранее спланируйте, куда и с кем можно сходить в первые дни нового года.




4

Купите то, что поможет начать новый год так, как хочется.";"Инструкция




1

Напишите список всего плохого, что должно остаться в ушедшем году. Это могут быть болезни, безденежье, одиночество, зависть. Бумагу с негативом сожгите. Теперь даже подсознательно, на психологическом уровне, вы готовы только к хорошему.




2

Создайте себе мотиватор для нового календарного года. Это может быть коллаж из журнальных картинок и заголовков, воплощающих все, что вы хотите. Наклейте на лист бумаги дом, если мечтаете о своем жилье, веселую и счастливую семью, если хотите ее завести, собаку той породы, которая вам нравится. Листок-мотиватор повесьте на стене перед рабочим столом или дома на кухне. Смотрите на него каждый день и думайте о том, что сегодня вы можете сделать, чтобы приблизить свою мечту.




3

Задайте новому году ускорение с первых же дней. Не проводите их лежа на диване перед телевизором. Заранее спланируйте, куда и с кем можно сходить в первые дни нового года.




4

Купите то, что поможет начать новый год так, как хочется. Например, весы и обруч, если хотите похудеть. Или журнал для родителей, если подумываете забеременеть. Да хоть билет в кино или на концерт: может, именно там вы встретите свою любовь.";"0";"1";"2C66H08RDbc";"Источник: Как начать новый год";"https://www.kakprosto.ru/print/3810";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/3810";"0"
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"7D9B5ED6-3C51-C89C-7293-974376C51865";"Как поднять новогоднее настроение";"<br/>Праздник уже совсем близко, а вы не чувствуете праздничного возбуждения";"Наверное, каждый человек, осознанно или нет, ждёт в новогоднюю ночь чуда. И осознаёт он это или нет, но в роли волшебника выступает сам человек, поэтому свершится чудо или нет зависит от него. Почему именно новогоднее время особенное, а подготовка к новогодним и рождественским праздникам начинается практически с наступлением холодов? Ведь, казалось бы, обычный день, обычная ночь, но именно сам человек делает её волшебной. Кто как не человек наполняет волшебством всё вокруг. Подумайте сами. Разве не волшебство, то что каждый из на так старательно украшает свой дом к Новому году, тщательно выбирает и готовит подарки, заряжает необычайной энергетикой дерево, искусственное или живое, украшает его самыми невероятными игрушками, готовит вкусные блюда, одевается в лучшую одежду и развлекается в новогоднюю ночь так, как ни в одну другую ночь в году. Подумайте сами, разве это не волшебство, а человек не кудесник?! Когда ещё такое возможно, как не в новогоднюю ночь. Волшебную ночь!";"настроение,как поднять новогоднее настроение,поднять новогоднее настроение";"1";"0";"kak-podnyat-novogodnee-nastroenie";"Как поднять новогоднее настроение - Новый год на сайте Это Праздник";"Как поднять новогоднее настроение - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"настроение, как поднять новогоднее настроение, поднять новогоднее настроение, Как поднять новогоднее настроение видео";"1";"15.11.2017 17:08:11";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/6/9/1/item_6919/informationsystem_items_catalog_image6919.jpg";"/upload/information_system_128/6/9/1/item_6919/small_informationsystem_items_catalog_image6919.jpg";"";"0";"Инструкция




1

<br/>Сходите на новогоднюю распродажу. Приятное времяпрепровождение в поисках подарков для родных и близких, большое количество людей, озабоченных этой же целью, радостные лица деток, предвкушающих праздничные лакомства – всё это должно поднять вам настроение и втянуть в предновогодние хлопоты.<br/>




2

<br/>Назначьте встречу и проведите время с другом или подругой, которого вы давно не видели и соскучились. Такие встречи часто будят воспоминания и старые мечты. А что ещё делать в Новый год, если не мечтать?




3

<br/>Сделайте доброе дело. Если у вас и нет особых ожиданий от Нового года, то, наверняка рядом с вами есть кто-то, кто хочет получить подарок. Станьте для него Дедушкой Морозом, который исполняет мечты. Дарить подарки всегда приятно, особенно когда этим подаркам радуются.




4

<br/>Купите новый фильм с рождественской историей, а ещё красное вино и набор пряностей для создания глинтвейна. Дома приготовьте глинтвейн, сядьте поудобнее и посмотрите фильм.";"Инструкция




1

 <br/>Сходите на новогоднюю распродажу. Приятное времяпрепровождение в поисках подарков для родных и близких, большое количество людей, озабоченных этой же целью, радостные лица деток, предвкушающих праздничные лакомства – всё это должно поднять вам настроение и втянуть в предновогодние хлопоты.<br/> 




2

 <br/>Назначьте встречу и проведите время с другом или подругой, которого вы давно не видели и соскучились. Такие встречи часто будят воспоминания и старые мечты. А что ещё делать в Новый год, если не мечтать?




3

 <br/>Сделайте доброе дело. Если у вас и нет особых ожиданий от Нового года, то, наверняка рядом с вами есть кто-то, кто хочет получить подарок. Станьте для него Дедушкой Морозом, который исполняет мечты. Дарить подарки всегда приятно, особенно когда этим подаркам радуются.




4

 <br/>Купите новый фильм с рождественской историей, а ещё красное вино и набор пряностей для создания глинтвейна. Дома приготовьте глинтвейн, сядьте поудобнее и посмотрите фильм.




5

 <br/>Займитесь украшением домашнего интерьера. Подойдите к этому творчески. Пусть в вашем интерьере будет что-нибудь необычное: смастерите ёлку из подручных материалов.<br/>Например, такую. Сделайте каркас из картона в форме конуса, обтяните его пищевой плёнкой. Обмотайте нитью ил веревкой, щедро смазывая клеем ПВА. Осталось только дождаться, когда клей высохнет и снять ёлочку с каркаса. Внутри новоиспеченной ёлки расположите светящуюся гирлянду. Осталось только включить и наслаждаться новым необычным новогодним светильником. Уж это должно вам поднять настроение. Ведь вы приложили много усилий, и реализовали себя творчески. Наверняка вам захочется чаще включать эту ёлочку, а она обязательно принесёт вам уйму положительных эмоций.




6

 <br/>Сделайте несвойственное для Нового года блюдо. Пусть это будет не традиционный салат оливье, который давно всем приелся, а новый салат с необычным сочетанием вкусов. Не забудьте красиво оформить. Тогда вы в нетерпении будете ждать новогоднюю ночь, чтобы скорее отведать новое лакомство, приготовленное своими руками.";"0";"1";"";"Источник: Как поднять новогоднее настроение";"https://www.kakprosto.ru/print/6907";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/6907";"0"
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"9AFA3DAA-C7F1-1976-FB2A-14C3A270AD90";"Как развлечь гостей в новый год";"Новый год – самый чудесный и сказочный праздник. Обычно за столом собирается";"Новый год открывает просторы творчества для каждого человека, а значит возможность почувствовать себя чародеем: из яркой мишуры создать новогодний декор, приготовить самый обычный салат в форме Деда Мороза, из подручных средств создать костюм ребёнку, а себе украсить обычное платье самыми невероятными новогодними украшениями и стать королевой вечеринки! И тогда точно новогодняя сказка осуществиться. Всё это реально сделать каждому из нас с любым достатком. Ведь именно праздничная атмосфера и радостное настроение творят чудеса в жизни каждого из нас!";"мороз,год,гость,развлечение,дед";"1";"0";"kak-razvlech-gostey-v-novyy-god";"Как развлечь гостей в новый год - Новый год на сайте Это Праздник";"Как развлечь гостей в новый год - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"мороз, год, гость, развлечение, дед, Как развлечь гостей в новый год видео";"1";"15.11.2017 17:08:12";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/6/9/2/item_6920/informationsystem_items_catalog_image6920.jpg";"/upload/information_system_128/6/9/2/item_6920/small_informationsystem_items_catalog_image6920.jpg";"";"0";"Инструкция




1

Главный герой праздника, конечно, Дед Мороз. Его появлению будут рады не только детишки, но и взрослые. Поручите быть Дедом Морозом самому веселому человеку в вашей компании. Пусть он принесет с собой подарки, а вручать их будет в обмен на стишок на новогоднюю тематику. Вот увидите, детям не составит особого труда вспомнить четверостишие, а вот подвыпившим взрослым придется потрудиться.




2

Можно обставить выдачу подарков по типу игры в фанты. Только задания будет раздавать Дед Мороз, предварительно вытаскивая бумажки из мешочка ведущего. Поручения могут быть совершенно разными: спеть, сплясать, прокукарекать.




3

Выбор конкурсов с Дедом Морозом огромен. В веселой и шумной компании очень популярен следующий. В мешок складывают различные вещи: трусы, бюстгальтер, панаму, очки, гольфы и другие, главное чтобы они были большого размера или выглядели смешно и нелепо. Участники встают в круг, а Дед Мороз вручает одному из них мешок. Пока звучит музыка, гости передают мешок друг другу.";"Инструкция




1

Главный герой праздника, конечно, Дед Мороз. Его появлению будут рады не только детишки, но и взрослые. Поручите быть Дедом Морозом самому веселому человеку в вашей компании. Пусть он принесет с собой подарки, а вручать их будет в обмен на стишок на новогоднюю тематику. Вот увидите, детям не составит особого труда вспомнить четверостишие, а вот подвыпившим взрослым придется потрудиться.




2

Можно обставить выдачу подарков по типу игры в фанты. Только задания будет раздавать Дед Мороз, предварительно вытаскивая бумажки из мешочка ведущего. Поручения могут быть совершенно разными: спеть, сплясать, прокукарекать.




3

Выбор конкурсов с Дедом Морозом огромен. В веселой и шумной компании очень популярен следующий. В мешок складывают различные вещи: трусы, бюстгальтер, панаму, очки, гольфы и другие, главное чтобы они были большого размера или выглядели смешно и нелепо. Участники встают в круг, а Дед Мороз вручает одному из них мешок. Пока звучит музыка, гости передают мешок друг другу. Как только музыка остановится, участник, у которого оказался мешочек, достает из него одну вещь и надевает. Таким образом, через некоторое время все гости будут одеты очень забавно. А если компания ещё и под хмельком, то фотографии с этого конкурса ещё долго будут вызывать у вас улыбку.




4

Если вы планируете встретить в новый год в карнавальных костюмах, запаситесь набором несложных атрибутов, вдруг кто-то из гостей о них забудет. Это могут быть различные шапочки, бантики, антенны, рожки, колпаки. Сама атмосфера карнавала значительно  поднимет настроение участникам застолья.




5

В праздничную программу можно включить и другие мероприятия. Это могут быть различные пародии, танцы, песни, запуск фейерверков. Главное отнестись к подготовке праздника с душой, и гости это обязательно оценят.";"0";"1";"";"Источник: Как развлечь гостей в новый год";"https://www.kakprosto.ru/print/7325";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/7325";"0"
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"76E5DCBA-F031-62B3-01DC-6B2ABD77C70B";"Как весело встретить Новый год дома";"Не каждый год удается отметить праздник в ресторане, доме отдыха или в увлекательной";"Думаю, есть на земле люди, которые не верят в Астрологию и считают всё это шарлатанством, но подумайте сами, если бы не эта наука, которой огромное количество лет, то разве было бы не скучно? Как тогда бы мы ориентировались в таких вопросах: какой год по астрологическому календарю, кто его покровитель, какие цвета и вещи актуальны и так далее. Естественно, можно не задумываться об этом и делать всё по накатанной: кому что нравится, то и делает. Но ведь это скучно и однообразно. А так у человечества есть ориентир, которого придерживаются и скептики в том числе. Это ли не новогоднее чудо?!";"дом,праздник,год,семья,конкурс,как весело встретить новый год";"1";"0";"kak-veselo-vstretit-novyy-god-doma";"Как весело встретить Новый год дома - Новый год на сайте Это Праздник";"Как весело встретить Новый год дома - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"дом, праздник, год, семья, конкурс, как весело встретить новый год, Как весело встретить Новый год дома видео";"1";"15.11.2017 17:08:13";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/6/9/2/item_6921/informationsystem_items_catalog_image6921.jpg";"/upload/information_system_128/6/9/2/item_6921/small_informationsystem_items_catalog_image6921.jpg";"";"0";"Инструкция




1

Определитесь с желаниями. Прислушаетесь к себе – хотели бы вы провести праздник в шумной компании или предпочитаете тихое семейное застолье. Нереализованные планы могут найти отражение в сценариях вечера – тематические вечеринки помогут разнообразно и весело встретить Новый год дома (гавайская дискотека в пляжных костюмах, вечер восточной сказки, русская ярмарка и пр.).




2

Приготовьте игры и соревнования. Заранее продумайте, какие виды шуточных состязаний приемлемы – старшее поколение не всегда в восторге от конкурсов на самое большое количество выпитого спиртного, а дети просто не поймут смысла некоторых соревнований. Оптимальный вариант – игры с переодеваниями, угадывание загадок и шарад, конкурс талантов и т.д. Помимо выступлений, которые нужно приготовить заранее, подготовьте 2-3 импровизированных номера – сюрпризы любят все.




3

Пересмотрите привычное меню праздничного стола. Отступите от традиции обильных пиршеств и просмотра телевизора.";"Инструкция




1

Определитесь с желаниями. Прислушаетесь к себе – хотели бы вы провести праздник в шумной компании или предпочитаете тихое семейное застолье. Нереализованные планы могут найти отражение в сценариях вечера – тематические вечеринки помогут разнообразно и весело встретить Новый год дома (гавайская дискотека в пляжных костюмах, вечер восточной сказки, русская ярмарка и пр.).




2

Приготовьте игры и соревнования. Заранее продумайте, какие виды шуточных состязаний приемлемы – старшее поколение не всегда в восторге от конкурсов на самое большое количество выпитого спиртного, а дети просто не поймут смысла некоторых соревнований. Оптимальный вариант – игры с переодеваниями, угадывание загадок и шарад, конкурс талантов и т.д. Помимо выступлений, которые нужно приготовить заранее, подготовьте 2-3 импровизированных номера – сюрпризы любят все.




3

Пересмотрите привычное меню праздничного стола. Отступите от традиции обильных пиршеств и просмотра телевизора. Рассмотрите вариант шведского стола с большим количеством легких закусок. Не стоит отказываться от горячих блюд, но не надо превращать вечер в «праздник живота». Больше фруктов, овощей, соков. Проявите изобретательность в украшении стола и блюд – всегда приятно создать ощущение праздника во всем.




4

Устройте салют. Беспроигрышный вариант для семей с детьми. Никто так не радуется громким взрывам и разноцветным эффектам, как дети. Общее настроение веселья и счастья непременно охватит всех присутствующих. Заранее позаботьтесь о безопасности домочадцев, выбирайте сертифицированную продукцию.




5

Погуляйте. Прогулка пойдет на пользу всем представителям семьи. Молодежь получит возможность пошуметь, попеть песни, поводить хороводы вокруг новогодней елки, а старшее поколение подышит морозным воздухом и порадуется вместе со всеми.";"0";"1";"iCP3FDY5LCA";"Источник: Как весело встретить Новый год дома";"https://www.kakprosto.ru/print/7327";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/7327";"0"
;43196878-4D81-6B13-3F0D-2F9073844862;;"";"";"";;;;"151BD43A-4D10-0AD4-461A-0543952CF07B";"Как отметить новый год с друзьями";"Новый год - самый любимый праздник большинства людей. Что отличает его от";"Думаю, есть на земле люди, которые не верят в Астрологию и считают всё это шарлатанством, но подумайте сами, если бы не эта наука, которой огромное количество лет, то разве было бы не скучно? Как тогда бы мы ориентировались в таких вопросах: какой год по астрологическому календарю, кто его покровитель, какие цвета и вещи актуальны и так далее. Естественно, можно не задумываться об этом и делать всё по накатанной: кому что нравится, то и делает. Но ведь это скучно и однообразно. А так у человечества есть ориентир, которого придерживаются и скептики в том числе. Это ли не новогоднее чудо?!";"подготовка,год,подарок,друг,костюм,как отметить новый год с друзьями,как празднуют новый год";"1";"0";"kak-otmetit-novyy-god-s-druzyami";"Как отметить новый год с друзьями  - Новый год на сайте Это Праздник";"Как отметить новый год с друзьями  - Пошаговая инструкция с видео. Лучшая подготовка к Новому году!";"подготовка, год, подарок, друг, костюм, как отметить новый год с друзьями, как празднуют новый год, Как отметить новый год с друзьями  видео";"1";"15.11.2017 17:08:14";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/6/9/2/item_6922/informationsystem_items_catalog_image6922.jpg";"/upload/information_system_128/6/9/2/item_6922/small_informationsystem_items_catalog_image6922.jpg";"";"0";"Инструкция




1

Посетите дачу заранее, произведите генеральную уборку. На участке сделайте большую горку, расчистите место и залейте каток. Нарядите на улице елку.




2

Привезите необходимую посуду, продукты и напитки. Все салаты можно сделать в городской квартире и доставить уже в готовом виде.




3

Истопите баню. Будете париться и купаться в снегу. Это очень весело и укрепляет здоровье.




4

Соорудите новогодний стол на улице. Под бой курантов, откройте шампанское.




5

Можно кататься с горки или на катке.




6

После прогулки устройте вечер танцев.




7

Придумайте разнообразные конкурсы: кто всех сильнее, кто дольше всех сможет протанцевать, кто быстрее очистит апельсин. В общем, любые.




8

Можете громко петь в караоке. На даче можно вести себя так, как нравится вам.




9

На Новый год можно гадать. Загородная атмосфера для этого весьма подходящая. Вокруг сказочная природа, загадочный лес.




10

На следующий день, приготовьте на улице шашлык, можно запечь на костре картошку.";"Инструкция




1

Посетите дачу заранее, произведите генеральную уборку. На участке сделайте большую горку, расчистите место и залейте каток. Нарядите на улице елку.




2

Привезите необходимую посуду, продукты и напитки. Все салаты можно сделать в городской квартире и доставить уже в готовом виде.




3

Истопите баню. Будете париться и купаться в снегу. Это очень весело и укрепляет здоровье.




4

Соорудите новогодний стол на улице. Под бой курантов, откройте шампанское.




5

Можно кататься с горки или на катке.




6

После прогулки устройте вечер танцев.




7

Придумайте разнообразные конкурсы: кто всех сильнее, кто дольше всех сможет протанцевать, кто быстрее очистит апельсин. В общем, любые.




8

Можете громко петь в караоке. На даче можно вести себя так, как нравится вам.




9

На Новый год можно гадать. Загородная атмосфера для этого весьма подходящая. Вокруг сказочная природа, загадочный лес.




10

На следующий день, приготовьте на улице шашлык, можно запечь на костре картошку.




11

Устройте лыжную прогулку в зимний лес.




12

Включите музыку и продолжайте веселье. Праздник за городом будет отличаться от привычной встречи Нового года в городских условиях и запомнится надолго.";"0";"1";"doFmvlbkqZM";"Источник: Как отметить новый год с друзьями";"https://www.kakprosto.ru/print/9329";"Совет про празднование Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/9329";"0"
