"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1"
"7D9B5ED6-3C51-C89C-7293-974376C51865";"Как поднять новогоднее настроение";"kak-podnyat-novogodnee-nastroenie";"14q1btsT9XU";"Новогоднее настроение. От чего зависит и как создать новогоднее ...";"https://www.inmoment.ru/holidays/new-year-mood.html";"Прекрасный способ поднять себе настроение и сделать его новогодним – украшение ёлки. Это можно делать несколько раз: сначала на работе, потом у себя дома, а ещё можно помочь нарядить ёлку своим родителям, тётушкам, подругам и друзьям – чем больше ёлок вы украсите, тем лучше. Некоторые ...";"10 способов создать новогоднее настроение - Психология ...";"https://iledebeaute.ru/psihologiya/2011/12/20/21519/";"20 груд. 2011 р. - Один из надежных способов создать новогоднее настроение – украшение квартиры к празднику. Можно обойтись банальной елкой, а можно превратить весь дом в резиденцию Деда Мороза или замок Снежной королевы. Нет снега на улице – не беда, разместите его в собственной ...";"Новогоднее настроение 2018 - как его создать? 5 эффективных ...";"http://new-year-party.ru/novogodnee-nastroenie/";"Как создать Новогоднее настроение перед праздником? 5 советов, которые изменят ваши эмоции! Создайте радость сами, дарите ее своим близким, украшайте мир перед праздником, и Дед мороз дарит вас чудом!";"13 способов создать новогоднее настроение - Блог-хэппенинг";"http://hloflo.livejournal.com/714467.html";"24 лист. 2014 р. - 3. Составлять списки "что купить на праздничный стол". 4. Обложиться и усматриваться новогодними фильмами (например, "Отпуск по обмену" и "Реальную любовь"). 5. Сделать у себя в ЖЖ новогодний календарь, чтобы поднимать новогоднее настроение себе и френдам. Каждый день с 1 ..."
"9AFA3DAA-C7F1-1976-FB2A-14C3A270AD90";"Как развлечь гостей в новый год";"kak-razvlech-gostey-v-novyy-god";"VxGlhIu7F48";"Чем развлечь гостей в новогоднюю ночь?";"http://spodarochkom.ru/podarki-kogda/novyj-god/chem-razvlech-gostej-v-novogodnyuyu-noch.html";"6 жовт. 2014 р. - Здравствуйте, дорогие Друзья и гости блога «С ПОДАРОЧКОМ!» С вами на связи Мария Зазвонова! Где бы вы, дорогие мои Читатели, не встречали новый год: будь то семейный круг, круг друзей или даже коллег, с веселыми застольными развлечениями праздник станет запоминающимся!";"Чем развлечь гостей в новогоднюю ночь - Филгуд";"http://feelgood.ua/obraz-zhizni/chem-razvlech-gostej-v-novogodnyuyu-noch-feelgood/";"Новый год приносит счастье, чудеса и воспоминания о детстве. Но при одном условии: встречать его нужно «правильно». Долой просмотр телепередач, долой унылое поедание оливье и неумеренное потребление алкоголя! Да здравствует веселье! Вот несколько подсказок, которые действительно ...";"Чем занять гостей в новогоднюю ночь - Комсомольская правда";"https://www.kp.ru/daily/24207/411612/";"11 груд. 2009 р. - Если вы встречаете Новый год во взрослом кругу, это не значит, что присутствие Деда Мороза и всевозможных забавных конкурсов не обязательно. Еще как обязательно! Ведь в каждом из нас есть частичка детства, и именно в новогоднюю ночь каждый взрослый так и норовит ...";"Как развлечь гостей за столом - Досуг - IVONA bigmir)net";"http://ivona.bigmir.net/lifestyle/leisure/390649-Kak-razvlech--gostej-za-stolom";"28 квіт. 2014 р. - На каждом праздникне должно быть весело, интересно и вкусно. А потому, перед грядущим мероприятием очень важно задуматься не только над тем, какие блюда украсят стол, но и как развлечь гостей за столом. Предлагаем тебе такие варианты."
"76E5DCBA-F031-62B3-01DC-6B2ABD77C70B";"Как весело встретить Новый год дома";"kak-veselo-vstretit-novyy-god-doma";"iCP3FDY5LCA";"Дома на Новый год. Как весело встретить Новый год дома?";"http://ladyvenus.ru/articles/domashnii-ochag-deti/psikhologiya-otnoshenii/doma-na-novyi-god-kak-veselo-vstretit-novyi-go";"Одной из главных составляющих увлекательного и веселого праздника являются активные новогодние игры и оригинальные, прикольные конкурсы на Новый год, которые не позволят никому из присутствующих остаться в стороне и объединят всех гостей и членов семьи.";"Новый год дома, сценарий. Как интересно встретить Новый год ...";"https://mag.relax.by/prazdnik/ny/10229459-kak-vstretity-novyj-god-s-semyjej/";"Встречаем Новый год дома с семьей или друзьями. Это может быть весело! Как встретить волшебный Новый год в кругу семьи, подскажет relax.by!";"Как весело встретить Новый год дома: конкурсы и развлечения";"http://zhenskayadolya.ru/kak-veselo-vstretit-novyj-god-doma/";"20 груд. 2016 р. - Устали встречать Новый год банально? Тогда эта статья для вас. Мы расскажем, как встретить Новый год весело, шумно и с морем позитивных эмоций. В ваших руках сделать эту Новогоднюю ночь оригинальной и незабываемой, не выходя из дома! новогоднее. Готовясь к празднику ...";"Как весело встретить Новый Год дома? - Семья и дом - NeoLove.ru";"http://www.neolove.ru/articles/housewife/kak_veselo_vstretit_novyj_god_doma.html";"Кто-то любит встречать Новый год в жарких странах, другие выбирают рестораны и кафе. Однако этот праздник не зря называют..."
"151BD43A-4D10-0AD4-461A-0543952CF07B";"Как отметить новый год с друзьями";"kak-otmetit-novyy-god-s-druzyami";"doFmvlbkqZM";"20 способов встретить Новый год необычно - Собеседник";"https://sobesednik.ru/obshchestvo/20141230-20-sposobov-vstretit-novyy-god-neobychno";"30 груд. 2014 р. - Посмотрите, в какой последовательности встречают Новый год разные страны. ... Позовите всех друзей в гости, отправив каждому персональную открытку с просьбой приготовить праздничное блюдо. ... Попробуйте отметить Новый год в общественном транспорте, например в трамвае.";"10 способов встретить Новый год не так, как обычно - Лайфхакер";"https://lifehacker.ru/2014/12/18/10-sposobov-vstretit-novy-j-god-ne-tak-kak-oby-chno/";"18 груд. 2014 р. - Это ещё один способ встретить Новый год дома с родственниками и друзьями, но сделать его необычным и запоминающимся. Сделайте украшения для дома в стиле другой страны вроде японских кадомацу или китайских фонариков и картинок с пожеланиями. Подарите друг другу особые ...";"Как весело отпраздновать новый год с друзьями - allWomens";"http://www.allwomens.ru/13683-kak-veselo-otprazdnovat-novyy-god-s-druzyami.html";"2 лист. 2011 р. - В этот день мы оглядываемся назад , вспоминает все хорошее, что было в уже старом году, строим планы на новый, пьем шампанское и радуемся жизни. Особым моментом стает то, что для каждого новый год, как маленький шанс начать новую жизнь, или улучшить старую, ведь для ...";"Как отметить Новый Год в кругу друзей? - Pikabu";"https://pikabu.ru/story/kak_otmetit_novyiy_god_v_krugu_druzey_828611";"Инструкция Уровень сложности: Несложно Что вам понадобится: Смекалка Немного терпения 1 шаг. Соберите друзей. Тех, с кем вам не будет скучно, тех, кто будет всегда весёлым, в конце концов тех, кто поможет вам не только накрывать на стол в праздничный день и употреблять все вкусности, но и ..."
"B7E9FD13-2886-A746-163F-56F2E7BCA5D9";"Как встретить новый год с ребенком";"kak-vstretit-novyy-god-s-rebenkom";"x1klHvfhaDE";"Как встречать Новый год с ребенком - Ya-roditel";"http://www.ya-roditel.ru/parents/base/experts/375541/";"Как встречать Новый год с ребенком. Если в семье есть ребенок, меняется не только привычный распорядок дня, но и на время праздничные традиции. Особые сложности обычно возникают с празднованием Нового года, ведь молодым родителям придется забыть про шумные многолюдные вечеринки, ...";"Как интересно встретить новый год с детьми - Relax.by";"https://mag.relax.by/prazdnik/ny/10353653-kak-interesno-vstretity-novyj-god-s-detymi/";"Наступают первые холодные дни, и каждый начинает думать и мечтать о том, как провести самый любимый праздник — Новый год. Но как весело встретить Новый год дома с детьми? Таким вопросом задаются почти все родители, кто планирует провести праздник дома в семейном кругу. relax.by советует ...";"Как встретить Новый год с детьми - Православие и мир";"http://www.pravmir.ru/novyj-god-s-detmi/";"30 груд. 2014 р. - В этой статье опытный психолог даст советы, как успешно встретить Новый год с детьми. Мы расскажем, как выбрать Деда Мороза и подарки на Рождество.";"Новый год с детьми: советы, как встретить Новый год с ребенком";"http://parties-and-picnics.org/novyy-god-s-detmi/";"Если вы – молодые родители и вам предстоит встретить этот Новый год с маленьким ребенком, то советуем воспользоваться свежими идеями для того, чтоб ваш малыш ощутил всю красоту и сказочность этого праздника. Новый год – это пора чудес и незабываемых эмоций, сделайте праздник вашего ..."
"1116F718-FAA0-6190-EC5F-7491D5773506";"Как проводить время с родителями";"kak-provodit-vremya-s-roditelyami";"MkgLEM4B6ns";"Семейные посиделки: как проводить время с родителями";"https://blog.teamo.ru/2013/02/23/kak-provodit-vremya-s-roditelyami/";"23 лют. 2013 р. - Семейные посиделки: как проводить время с родителями. В детстве самыми близкими людьми являются родители. Они кажутся могучими волшебниками, которые с такой легкостью могут сделать детей счастливыми или несчастными. Но, к сожалению, детство имеет свойство проходить.";"7 способов не стать чужим ребенку - Православный журнал "Фома"";"https://foma.ru/7-sposobov-ne-stat-chuzhim-rebenku.html";"Сколько времени в идеале нужно проводить с детьми? Как быть, если из-за занятости родителям этого времени катастрофически не хватает? Чем интересно и полезно заниматься с ребенком в разных его возрастах? А есть ли ситуации, когда участие родителя в жизни чада как раз нежелательно?";"10 идей, как интересно провести время с ребёнком";"https://dreamsong.ru/10-ideas-for-kids-entertainment";"Как провести время с ребёнком, чтобы это было необычно и весело для всех? 10 идей ... Спортивные игры подойдут для активных детей, причём наибольшую радость они принесут, если родители тоже будут участвовать. ... Музеи и выставки – прекрасно место, где можно провести время с детьми.";"Советы для родителей: Как проводить время с детьми - Развитие ...";"http://ivona.bigmir.net/deti/development/421916-Sovety-dlja-roditelej--Kak-provodit--vremja-s-det-mi";"30 жовт. 2015 р. - Для тех мам и пап, которые действительно хотят проводить время с малышами, нет ничего сложного или невозможного, если уж на то пошло! Все, что требуется – немного усилий с твоей стороны и подлинное внимание к ребенку!"
"F807D376-F301-CADB-83D9-00208F1680B0";"Как провести 31 декабря";"kak-provesti-31-dekabrya";"lg1zhADKeOo";"Финишная прямая. Как провести 31 декабря, чтобы не устать к ...";"http://www.aif.ru/health/life/finishnaya_pryamaya_kak_provesti_31_dekabrya_chtoby_ne_ustat_k_polunochi";"30 груд. 2015 р. - 31 декабря — день особый, и проводить его нужно по определенным правилам, чтобы к главной ночи года не вымотаться и не упасть без сил.";"Тайные ритуалы: как правильно проводить старый и встретить ...";"http://www.marieclaire.ru/psychology/taynyie-ritualyi-kak-pravilno-provodit-staryiy-i-vstretit-novyiy-god/";"Семейный психолог-консультант, натальный астролог Ольга Корепина специально для Marie Claire подготовила детальный план - как осмысленно провести конец декабря и правильно встретить новый год.";"Как провести 31 декабря - Sunny7";"https://sunny7.ua/semja/prazdniki/kak-provesti-31-dekabrya";"Многие женщины уже знают, чем будут заниматься в канун Нового года: убирать, готовить и ждать гостей. Как изменить обычный ход вещей, чтобы разнообразить 31 декабря?";"Идеальный день 31 декабря - какой он? / Форум - U-mama";"https://www.u-mama.ru/forum/gossip/newyear/345987/index.html";"22 лист. 2011 р. - Задумалась вчера... Как провести 31 декабря, чтобы получить удовольствие и настроиться на новогоднюю ночь? Обсуждали варианты с мужем и родственницей. вырисовался один вариант: с утра на пару часов на каток или на лыжах, потом часа на 2-3 в сауну какую-нить, потом отдохнуть, ..."
"BD449842-5D32-BC43-24E7-CC22300F3C15";"Как сделать новый год для ребенка";"kak-sdelat-novyy-god-dlya-rebenka";"p0kgLquW3CI";"Как сделать Новый год незабываемым для ребенка - Статьи ...";"https://deti.mail.ru/child/kak-sdelat-novyj-god-nezabyvaemym-dlya-rebenka-sov/";"23 груд. 2013 р. - Недавно я задумался над тем, каким должен быть идеальный Новый год для ребенка. В первую очередь, наверное, волшебным. Ведь вера в сказки и чудеса – это то, что мы, взрослые, со временем, к сожалению, утрачиваем, а вместе с этой верой теряем и что-то очень радостное, ...";"20 идей, как сделать Новый год незабываемым для ребенка - DELFI";"http://rus.delfi.lv/news/winter/nastr/20-idej-kak-sdelat-novyj-god-nezabyvaemym-dlya-rebenka.d?id=46827129";"14 груд. 2015 р. - Как подготовиться к наступлению Нового года? Чем удивить в торжественный момент? Что и как подарить? Конечно, для ребенка самое важное — это родительское внимание и забота. А также очень важно подарить ребенку веру в чудеса. Удивив его чем-то необычным и совсем-совсем ...";"Как устроить ребенку волшебный Новый год - Комсомольская правда";"https://www.kp.ru/daily/24209/413544/";"2 груд. 2009 р. - Несколько идей для родителей, как сделать новогоднюю ночь сказочной, и какими подарками порадовать деток – от грудных малышей до школьников.";"Новый год 2018 для детей. Как весело встретить Новый год ...";"https://mag.relax.by/prazdnik/ny/10353653-kak-interesno-vstretity-novyj-god-s-detymi/";"Но если у ребенка есть друзья вне детского сада, то Новый год для вас — отличный повод познакомиться с родителями друзей вашего ребенка и вместе устроить ... Заранее подготовьте украшение для дома к приходу гостей — лучше это сделать за один-два дня до торжественного мероприятия. Как вы ..."
"F1E8312C-57DD-A627-77EA-A1DE0263B6D2";"Как организовать Новый год дома";"kak-organizovat-novyy-god-doma";"a8Kupi689Oo";"Дома на Новый год. Как весело встретить Новый год дома?";"http://ladyvenus.ru/articles/domashnii-ochag-deti/psikhologiya-otnoshenii/doma-na-novyi-god-kak-veselo-vstretit-novyi-go";"Одной из главных составляющих увлекательного и веселого праздника являются активные новогодние игры и оригинальные, прикольные конкурсы на Новый год, которые не позволят никому из присутствующих остаться в стороне и объединят всех гостей и членов семьи.";"Новый год дома, сценарий. Как интересно встретить Новый год ...";"https://mag.relax.by/prazdnik/ny/10229459-kak-vstretity-novyj-god-s-semyjej/";"Встречаем Новый год дома с семьей или друзьями. Это может быть весело! Как встретить волшебный Новый год в кругу семьи, подскажет relax.by!";"Как отпраздновать Новый год дома с семьей - wikiHow";"https://ru.wikihow.com/%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B3%D0%BE%D0%B4-%D0%B4%D0%BE%D0%BC%D0%B0-%D1%81-%D1%81%D0%B5%D0%BC%D1%8C%D0%B5%D0%B9";"Как отпраздновать Новый год дома с семьей. Встреча Нового года дома с семьей может стать прекрасной возможностью укрепить семейные узы, ве.";"10 способов встретить Новый год не так, как обычно - Лайфхакер";"https://lifehacker.ru/2014/12/18/10-sposobov-vstretit-novy-j-god-ne-tak-kak-oby-chno/";"18 груд. 2014 р. - Это ещё один способ встретить Новый год дома с родственниками и друзьями, но сделать его необычным и запоминающимся. Сделайте украшения для дома в стиле другой страны вроде японских кадомацу или китайских фонариков и картинок с пожеланиями. Подарите друг другу особые ..."
"AA5E963C-1BA9-9525-D709-FF4B8678CE86";"Как провести веселый Новый год в кругу семьи";"kak-provesti-veselyy-novyy-god-v-krugu-semi";"L_hx-YW6A_k";"Как встретить Новый год с семьей - Relax.by";"https://mag.relax.by/prazdnik/ny/10229459-kak-vstretity-novyj-god-s-semyjej/";"Встречаем Новый год дома с семьей или друзьями. Это может быть весело! Как встретить волшебный Новый год в кругу семьи, подскажет relax.by!";"Дома на Новый год. Как весело встретить Новый год дома?";"http://ladyvenus.ru/articles/domashnii-ochag-deti/psikhologiya-otnoshenii/doma-na-novyi-god-kak-veselo-vstretit-novyi-go";"Составьте сами новогодние сценарии, проведите интересные конкурсы на Новый год, и еще много лет Ваша семья и гости будут вспоминать задор этого вечера ... Если вы, к примеру, решили встретить Новый год в семейном кругу, то вам нужны новогодние сценарии с программой, которая подойдет и для ...";"Как весело встретить новый год семьей с детьми - Польза и Вред.Ру";"https://polzavred.ru/kak-veselo-vstretit-novyj-god-semej-s-detmi.html";"22 груд. 2014 р. - Как весело встретить новый год семьей с детьми. Содержание. Создаем праздничное настроение; Новогодние развлечения; Вручение подарков. Большинство пар, имеющих детей, особенно дошкольного возраста, вынуждены отмечать новый год дома в семейном кругу. Но даже в таких ...";"Как отпраздновать Новый год дома с семьей - wikiHow";"https://ru.wikihow.com/%D0%BE%D1%82%D0%BF%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%BE%D0%B2%D0%B0%D1%82%D1%8C-%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9-%D0%B3%D0%BE%D0%B4-%D0%B4%D0%BE%D0%BC%D0%B0-%D1%81-%D1%81%D0%B5%D0%BC%D1%8C%D0%B5%D0%B9";"Встреча Нового года дома с семьей может стать прекрасной возможностью укрепить семейные узы, весело провести время и вступить в новый год вместе с близкими людьми. Если заранее .... для себя и своих близких. Не забывайте о тех, кому немного скучно проводить новогодний вечер в кругу семьи."
