GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
9BF74612-7CA6-B0AA-09AB-B5BBD5C256A9;Что делать при учащенном сердцебиении;;;;;;;;;;
0DE80002-0E96-0F13-E1E1-412F05D5E1D7;Что делать, если болит правое ухо;wL_5x-sb_k4;;;;;;;;;
EB897B83-4EB4-853C-46C7-80036F943A77;Что делать если рвет желчью;;;;;;;;;;
3DCBAA5F-EC9B-AB39-8543-0CCE3396E444;Что делать, если опухла щека;;;;;;;;;;
A2E6A259-DC85-DFE4-85E9-59205108C0F7;Что делать, если прищемил палец;;;;;;;;;;
7EBF3D6E-AAEC-6781-95D1-678DC258C472;Что делать, если упало давление;;;;;;;;;;
5068EA9C-D9BE-BAAE-FDA1-1AA0A4C1C9E2;Аллергия у кормящих женщин: причины, влияние на ребенка, что делать;;;;;;;;;;
4C37C0AD-58F8-06B2-0523-F5B664D2BB66;Как сделать клизму самостоятельно;iOPa9pePrQk;;;;;;;;;
71F33AEF-47F9-E59A-053E-265956B296C9;Что делать, если нижнее давление высокое;Wc75AhOVHUo;;;;;;;;;
0253818E-DF58-8F2A-6E03-FA121D36B609;Что делать, если сорвал спину;LrURE7cftZw;;;;;;;;;
5D153CB9-28FF-6A8F-91DD-431210C23028;Что делать, когда болят пятки;lKH2M5N38CQ;;;;;;;;;
FDAC855D-A39B-D96E-893E-EB6BDC357A4B;Что делать, если дрожат руки;tzX9Q2m0ImM;;;;;;;;;
094E4E59-84DF-2753-E4AD-02E97892CF80;Что делать, если першит в горле;Ir_LHTT7MPs;;;;;;;;;
13F5C027-1CF2-0392-1B62-98015B4857A2;Что делать, если потянул спину;;;;;;;;;;
DD4734F5-0EF2-E5E1-FFF8-CBE0D98E72C0;Что делать, если продуло ухо;;;;;;;;;;
E2BF8000-350D-7510-A21F-D5A46D6E9BA8;Что делать при проблемах с пищеварением, вызванных застоем желчи;;;;;;;;;;
7E0A4688-68DE-7569-C1A6-8DC53F31AE58;Что делать, если появилась резкая боль в поджелудочной;3Dbji-__AwQ;;;;;;;;;
7D3B2B77-E5B2-85B7-E339-023C5D0666F8;Что делать, если воспалились дёсны;h9o0vGbjzrw;;;;;;;;;
F576428A-2B8E-A9D0-5739-3AFEF51EB2AD;Что делать, если выбит палец;8WCwJFDYVWo;;;;;;;;;
BD819CCC-CFCB-CFD8-4667-847F65BCF054;Что делать во время обострения сезонной аллергии?;;;;;;;;;;
A9E07687-7546-33A7-4147-AC600E5C6AF7;Что делать, когда у ребёнка заложен нос;W-J76umrbWE;;;;;;;;;
4036F855-3A90-EAFE-96B4-054F5025FE44;Что делать, если постоянно закладывает нос;;;;;;;;;;
69F42C08-92D9-91A3-1D4D-B25DAFDB01D8;Что делать, если разошелся шов;tmuPvW4LL8A;;;;;;;;;
630FCF47-8B77-C5EB-A9BF-859FDC6301AB;Что делать, если немеют руки;;;;;;;;;;
8624DB3B-0274-43F5-61A3-CA6B5E8D7BE2;Что делать, если укусил кот;;;;;;;;;;
4A108E5B-A7D9-B25C-988E-1EFF5924F261;Что делать, если температура выше 38 градусов;;;;;;;;;;
CAEA5233-1309-ED8E-6B0D-6DCE667D388F;Как делать уколы внутривенно;SNO-Dt5vL8w;;;;;;;;;
F739E48C-28B2-E773-D2E2-8129FF2E921D;Что делать, если опухла десна;pqIyQV-So-I;;;;;;;;;
AEB492CF-F4A9-0B93-1E7A-E0EE02EF0D21;Что делать, если чешутся уши;sesLb5J0yPM;;;;;;;;;
5E4974DA-9F3C-2D6B-EF31-4A79AD7CB3CF;Что делать, если увеличена печень;;;;;;;;;;
E861621D-9FDE-EA0B-5CF0-DF62782E4F10;Что сделать, чтобы не укачивало в машине;JHc8gNuBdUU;;;;;;;;;
4FAB9CB3-3DA1-F42C-FDDA-BAB26E3CDBD8;Как делать массаж предстательной железы;o0fnKtxuuoY;;;;;;;;;
5E9BC116-B27B-FCE3-1D48-872D60BE60FD;Что делать, если воспалились лимфоузлы;;;;;;;;;;
DE2EAD43-26E8-4C28-E22E-E8B91CB87956;Что делать, если больно глотать;;;;;;;;;;
DA1A8348-8EDF-7AB4-82E9-2C791984E488;Что делать, если падает зрение;;;;;;;;;;
97BDEC7E-968B-F6E6-9D0D-0A907C3BCD56;Что делать при попадании воды в ухо;;;;;;;;;;
C1475FC7-CA90-C83D-E53B-FD33A1D227DA;Что делать, если не спадает температура;;;;;;;;;;
2D2DF4D1-00EA-5B10-590C-79F1C7EB0CED;Как делать укол в живот;w5o-VsqDgjE;;;;;;;;;
03E79838-3037-B3BF-5C78-5F631B53AD91;Как делать ингаляции при бронхите;UjOkb5aHK_4;;;;;;;;;
F8ECF1BA-BDCE-CBFF-DC23-C94D6D68899F;Что делать при ячмене;92GbTjkMpis;;;;;;;;;
63223996-AD45-F7C7-7DF8-984E8475EC48;Что делать, если спермограмма плохая;VbfpW0pbvaU;;;;;;;;;
F572FA4F-AE93-D7E8-597B-43E74CFED1E7;Как сделать укол в руку;;;;;;;;;;
DFB16101-46A4-227D-F058-B81A0550A236;Как делать ингаляции для носа;YY4V7RWZdyA;;;;;;;;;
721FD110-95B5-E6FD-9BDA-758DF3C278EF;Как делать ингаляции при кашле;;;;;;;;;;
1A9E0113-9785-B5EB-17C4-0FFF76D6DBD1;Что делать, если распухла щека;h0zl5UL2pJ8;;;;;;;;;
17C0B51F-F7EA-1A5C-E799-D365E7E27FD1;Что делать, если болит живот и появилась температура;4yGQuMy2V0U;;;;;;;;;
1D0AA16D-38EC-E135-9D5E-7F1FD5B713EB;Что делать, если кружится голова;2Ae31yYt3Wg;;;;;;;;;
C0196A3D-52C9-E746-60BB-2A54022B9FBC;Что делать, если появился ячмень на глазу;;;;;;;;;;
FA42EF9C-F0F3-4B60-442D-B41598324C48;Что делать, когда болят десны;ox5JAC5uJeU;;;;;;;;;
35ADB976-535B-2F8F-F43A-E37656B05F74;Как сделать компресс из водки;;;;;;;;;;
E3D03904-48EF-11D5-3ADF-C292E73F046B;Как делать ингаляции с минеральной водой;;;;;;;;;;
66BB20A3-C912-238B-C7B9-5C63512C7E40;Что делать при низком гемоглобине;;;;;;;;;;
303A08C5-6688-6B31-C152-49A7034B8BBC;Что делать, если болит плечо;W9PtdE0ux3c;;;;;;;;;
0CC6A2BC-3FCE-57A2-A73F-7435A035977F;Что делать, если потеют ладони;;;;;;;;;;
B1D1D014-0765-8FB4-7B27-8A33803672ED;Что делать, если болит кишечник;0vsIO2SYPyo;;;;;;;;;
CCEA916C-B065-8D69-6EF3-5E1EC2087847;Как делать ингаляцию с минералкой;T5cN3cVyMEY;;;;;;;;;
CE6E712D-DBAF-382C-6660-C4DFD556D5F1;Как делать ингаляцию ребенку до года;;;;;;;;;;
5FE12F31-97A4-AA95-73B0-F911FFA1CBBB;Что делать, если поднялась температура;;;;;;;;;;
30FB5295-B86A-58F3-A1BB-10489F8427A9;Что делать, если у собаки понос;Ajrd-lEz0tI;;;;;;;;;
8146AA4D-6A5D-F064-4C19-AC41BC903EA2;Что делать, если сорвался голос;;;;;;;;;;
4526AFCD-7B77-C222-8E00-83AF5675A052;Что делать при боли в печени;;;;;;;;;;
97516FD4-4CAA-1635-5B43-C5D43FCCBF37;Что делать, если опухло верхнее веко глаза;saxN356ScWI;;;;;;;;;
02345952-4D56-FA3A-CBD5-6B667715BA9C;Что делать, если порвал уздечку пениса;ij97KxNgs3M;;;;;;;;;
72860F97-49D4-55A5-FE7A-4C56EDCDA57D;Белые комочки во влагалище: что делать?;;;;;;;;;;
26BD6BB1-5452-4B9F-6969-F06C47768AAE;Что делать, если воспалился лимфоузел за ухом;yvSw7RjA3BI;;;;;;;;;
AF054B38-F742-5C7E-5638-83251518EBDE;Что делать, если проколол ногу ржавым гвоздем;;;;;;;;;;
80721F8B-6BB0-F166-1DEF-7A42DEE71238;Что делать, если под подбородком появилась шишка;;;;;;;;;;
87F4BA3B-F20D-600E-E44B-4A339172B98E;Что делать при раздражении на половых губах;;;;;;;;;;
2E39D9D5-4706-879E-1FF2-7A052B99C784;Что делать, когда шум в ушах;;;;;;;;;;
49CDE11E-8B69-C998-798F-E8A6EBAEE259;Что делать, если появились симптомы воспаления миндалин;UaY-oLw4DnQ;;;;;;;;;
1B716759-7018-E4A2-BC6F-54D2F71EB76C;Что делать, если болит спина;0xnqTFOZOoU;;;;;;;;;
04196A92-7B15-B0DB-F537-13F4F6E64F14;Сколько раз в день нужно делать ингаляции;;;;;;;;;;
