GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"0DE80002-0E96-0F13-E1E1-412F05D5E1D7";"Что делать, если болит правое ухо";;"wL_5x-sb_k4";"Боль в ухе: почему болит ухо, что делать, лечение ушей дома и у ...";"https://napopravku.ru/symptoms/bolit-ukho/";"Может болеть только правое или левое ухо, а иногда — оба вместе. Догадаться о боли в ухе у маленького ребенка иногда бывает совсем не легко. Если ...";"Что делать, если болит ухо: как и чем лечить боль внутри уха";"http://stopotit.ru/chto-delat-esli-bolit-uho.html";"У вас болит ухо и вы не знаете что делать? Определив причину возникновения боли, нужно переходить к незамедлительному лечению. О том, как и ...";"Боль в ухе – причины и симптомы - Отоларинголог";"https://otolaryngologist.ru/318";"Если пустить все на самотек и заболевшее ухо оставить без ... даже кардиолога: у пациента очень сильно болит левое ухо, а не область сердца. ... Подробнее о том, что делать при боли в ухе у взрослого и у ребенка мы ..."
"A2E6A259-DC85-DFE4-85E9-59205108C0F7";"Что делать, если прищемил палец";;"Q7cgG1oQQ9o";"Что делать, если прищемил палец? - Все о физическом и ...";"http://isskystvoboya.ru/raznoe/chto-delat-esli-prischemil-palets";"Наверное, каждый из нас хоть раз в жизни, но прищемил палец. Что делать, и какая первая помощь при этом неприятном повреждении подробно ...";"Прищемили палец. Что делать ? Первая помощь.Мама — доктор ...";"http://mamadoktor.ru/kak-pomoch-rebenku/prishhemili-palets-chto-delat.html";"14 окт 2015 ... Прищемили палец. Когда обращаться в травмпункт. Рана. Перелом. Когда нужна помощь хирурга. Панариций. Подногтевая гематома.";"Что делать если прищемил палец и он посинел - Пальцы рук и ног";"http://palcyruknog.ru/travmy/chto-delat-esli-prishhemil-palets.html";"Содержание. Что сделать если прищемил палец; Что можно и нельзя делать ? Перелом или ушиб? Симптомы перелома; Симптомы ушиба; Что делать ..."
"7EBF3D6E-AAEC-6781-95D1-678DC258C472";"Что делать, если упало давление";;"gtN646YaehM";"Что делать когда упало давление у гипертоника - ProGipertoniyu";"https://progipertoniyu.ru/lechenie/upalo-davlenie-u-gipertonika-chto-delat.html";"Что делать, если упало давление у гипертоника? Рекомендации, как оказать помощь человеку, страдающему гипертонией, у которого резко упало ...";"Артериальное давление может резко снижаться у людей ...";"http://fakty.ua/188140-arterialnoe-davlenie-mozhet-rezko-snizhatsya-u-lyudej-stradayucshih-yazvoj-zheludka-i-endokrinnymi-zabolevaniyami";"18 сен 2014 ... Когда у человека повышается давление, он понимает, что это опасно, ... Но что же делать тому, кто страдает пониженным давлением?";"Низкое давление - причины, симптомы и признаки пониженного ...";"https://med.vesti.ru/articles/zabolevaniya/prichiny-nizkogo-davleniya-u-zhenshhin/";"Гипотензия: причины низкого давления, симптоматика, методика лечения ... давления в артериях в момент, когда сердечная мышца расслаблена."
"9BF74612-7CA6-B0AA-09AB-B5BBD5C256A9";"Что делать при учащенном сердцебиении";;"2lSXnzF9blE";"Таблетки и другие лекарства от тахикардии: что принимать при ...";"https://cardiograf.com/terapiya/medikamentoznoe/pri-uchashhennom-serdcebienii-chto-prinimat.html";"Физиологическое учащенное сердцебиение появляется на фоне психоэмоциональных ...";"Почему возникает частое сердцебиение? Что делать при ...";"http://mjusli.ru/zhenskoe_zdorove/other/chastoe-serdcebienie-taxikardiya-prichiny-i-lechenie";"Причины частого сердцебиения у взрослых и детей. Частое сердцебиение при высоком и низком давлении. Что нужно делать при частом ...";"Что делать при тахикардии: первая помощь при сильном ...";"http://serdcezdorovo.ru/tahikardiya/chto-delat.html";""Врачи скрывают правду!" Давление прийдет в норму! Просто не забывайте один раз в день... > что делать при учащенном сердцебиении ..."
"71F33AEF-47F9-E59A-053E-265956B296C9";"Что делать, если нижнее давление высокое";;"Wc75AhOVHUo";"Высокое нижнее давление - причины, лечение и как снизит";"https://davlenies.ru/lechenie/vysokoe-nizhnee-davlenie.html";"Высокое нижнее давление - первая помощь при повышении ДД. ... Важно понять следующее: если маркеры давления повышаются незначительно в течение дня под воздействием ... Что делать при скачке нижнего давления?";"Нижнее давление 100 - причины и последствия! Как снизить?";"https://davlenies.ru/diagnostika/nizhnee-davlenie-100.html";"1 Причины высокого нижнего давления; 2 Симптомы; 3 Диагностика ... Чаще всего, когда нижнее давление 100 и ниже, то это свидетельствует о плохой .... желательно сделать легкий массаж, при котором действия должны быть ...";"Высокое нижнее давление - причины, симптомы и лечение";"https://progipertoniyu.ru/diagnostika/vysokoe-nizhnee-davlenie.html";"Причины и симптомы высокого нижнего давления, как снизить его, лечение и ... снова и снова, а когда я возвращалась врачи просто разводили руками. .... Изучив причины повышения нижнего давления, следует сделать выводы и ..."
"FDAC855D-A39B-D96E-893E-EB6BDC357A4B";"Что делать, если дрожат руки";;"tzX9Q2m0ImM";"Дрожат руки: причины и лечение | Passion.ru";"https://www.passion.ru/health/lechenie-i-profilaktika/drozhat-ruki-prichiny-i-lechenie-94409.htm";"8 сен 2014 ... А вот если тремор рук вызван каким-либо патологическим процессом в организме, ... Почему дрожат руки: физиологические причины.";"Трясутся руки, что делать?";"http://chto-delat.su/tryasutsya-ruki-chto-delat/";"28 ноя 2013 ... Тремор рук. Чтобы ответить на вопрос, что делать, если трясутся руки, нужно попробовать разобраться в причинах этого явления. Итак ...";"Что делать, если дрожат руки | Обозреватель";"https://www.obozrevatel.com/health/diseases/03914-chto-delat-esli-drozhat-ruki.htm";"Что делать, если дрожат руки. 02 апреля 2014, 13:28 4.1т. Дрожание рук встречается при многих заболеваниях. Нервные расстройства, депрессии ..."
"4C37C0AD-58F8-06B2-0523-F5B664D2BB66";"Как сделать клизму самостоятельно";;"iOPa9pePrQk";"Как сделать клизму самому себе - рекомендации - Selderey.net";"http://selderey.net/procedury/kak-sdelat-klizmu-samomu-sebe.html";"23 апр 2014 ... Как правильно ставить клизму? Какой температуры должна быть вода? Какие травы можно добавлять? Ответы на эти вопросы - в ...";"Как сделать клизму самому себе — груша, кружка Эсмарха";"http://vesvnorme.net/procedury/kak-sdelat-klizmu-samomu-sebe.html";"Как сделать клизму самому себе - вопрос, который часто задают себе люди, пытающиеся похудеть.";"Как поставить клизму самостоятельно грушей, кружкой Эсмарха";"http://zaporpobedim.ru/klizmy/kak-sdelat-klizmu-samostoyatelno.html";"Если с «клизмой-грушей» почти все понятно, то сделать клизму самостоятельно с помощью «кружки Эсмарха» - не так-то и просто! Не продумаешь все ..."
"EB897B83-4EB4-853C-46C7-80036F943A77";"Что делать если рвет желчью";;"-NGkga6sKvw";"Рвота желчью - что делать, причины, как остановить, лечение";"http://simptomer.ru/simptom/rvota-zhelch_ju";"Если взрослый или ребёнок рвёт желчью продолжительное время, то может наблюдаться обезвоживание, поэтому больному нужно давать как можно ...";"Рвота желчью: что делать | Причины | После алкоголя | При ...";"http://kakchto.com/rvota-zhelchyu/";"Следует выяснить, что делать, если рвота желчью застала вас врасплох. В таких случаях массы окрашены в желтый или зеленый цвет. При этом вы ...";"Рвота желчью: причины, что делать при лечении, симптомы";"http://infopechen.ru/zhelch/rvota-zhelchyu.html";"Определить заболевание только по симптому рвота желчью, невозможно, так как ... Если рвет желчью, это может свидетельствовать о таких патологиях ..."
"3DCBAA5F-EC9B-AB39-8543-0CCE3396E444";"Что делать, если опухла щека";;"s5g9EtEVa7U";"Опухла щека, но зуб не болит: как снять опухоль? - Инфозубы";"http://infozuby.ru/opuhla-scheka-no-zub-ne-bolit.html";"Если попасть на осмотр к доктору ... Что делать, если щёку ...";"Что делать, если опухла щека от зуба: причины, как снять отёк и ...";"https://stoma.guru/lechenie/kak-snyat-opuhol-esli-opuhla-scheka-ot-zabolevaniya-zuba.html";"Так что же делать если сильно опухла щека и как быстро снять отёк? Прежде всего, не стоит заниматься самолечением, а лучше немедленно посетить ...";"Что может значить, когда опухла щека, но зуб не болит?";"http://www.vash-dentist.ru/lechenie/zubyi/chto-delat-esli-opuhla-shheka-a-ne-bolit.html";"Поэтому первым делом следует посетить стоматолога, особенно, если у вас имеются заболевания ротовой полости."
"0253818E-DF58-8F2A-6E03-FA121D36B609";"Что делать, если сорвал спину";;"LrURE7cftZw";"Сорвал спину: лекарства, мази, массаж и другая помощь в ...";"http://mjusli.ru/zhenskoe_zdorove/other/sorval-spinu";"Когда боль возникла после механического воздействия, необходимо исключить перелом – это ...";"Сорвали спину? На жестком не спать, мазями не согревать";"https://www.kp.ru/daily/26524.5/3542734/";"10 май 2016 ... Дать мышцам покой: не делать резких движений, отложить лопаты и ... Так что если с больной спиной уляжетесь спать на полу или на ...";"Сорвали спину на тренировке, что делать? - Твой Тренер";"https://tvoytrener.com/bolezni/sorvali_spiny.php";"7 окт 2015 ... Здравствуйте дорогие читатели! Если вы читаете этот материал, то наверняка окажется, что у вас или у ваших знакомых сложилась ..."
