GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
74AD3695-B7C7-820F-5421-D36C93C231F2;Почему ногти ребристые;pochemu-nogti-rebristye;;;;;;;;;;
758A5522-A3FC-5D53-613A-C32269847AFC;Как снять клей с ногтей;kak-snyat-kley-s-nogtey;;;;;;;;;;
CB56C326-DC43-A7E0-9104-BD638B20B6BC;Что нужно для наращивания ногтей акрилом в домашних условиях;chto-nuzhno-dlya-narashchivaniya-nogtey-akrilom-v-domashnih-usloviyah;4_MkHeDeYi8;;;;;;;;;
50D0A373-5D3A-D2A4-E2D8-D8446A01FB5F;Как нарисовать простые рисунки для ногтей;kak-narisovat-prostye-risunki-dlya-nogtey;#NAME?;;;;;;;;;
1C1B3472-98DA-3691-589D-7205DF131AD5;Что нужно для покрытия ногтей гель-лаком?;kak-pravilno-vybrat-gel-lak;;;;;;;;;;
78257460-8EA3-8D6D-8DF8-98D9D3BF9A4F;Как рисовать на ногтях в домашних условиях;kak-risovat-na-nogtyah-v-domashnih-usloviyah;StKonE4efPQ;;;;;;;;;
E8C0A13B-0A6D-6656-8345-B3C28B1CAD63;Как наносить гелевый лак;kak-nanosit-gelevyy-lak;wA-c7VrxV4U;;;;;;;;;
C8BDBD28-1481-C18A-C675-3A010CD9DB1C;Как наносить блестки на ноготь;kak-nanosit-blestki-na-nogot;;;;;;;;;;
C240B1AF-D760-95A1-B0BE-6BD4806DEB3C;Как сделать ногти белыми;kak-sdelat-nogti-belymi;TE7iiO0Z_Po;;;;;;;;;
CB869F44-5D9F-66D9-EF46-979B6020E960;Как сделать красивые ногти в домашних условиях;kak-sdelat-krasivye-nogti-v-domashnih-usloviyah;4JJiNtNCnZ4;;;;;;;;;
94595E08-6326-791D-F6FF-71141990B485;Как вырастить ногти за день;kak-vyrastit-nogti-za-den;;;;;;;;;;
9038DECD-2A50-4FEE-5EC8-FD84248118E9;Как отрастить ногти за неделю;kak-otrastit-nogti-za-nedelyu;NB4J1_6iPqQ;;;;;;;;;
AD23C9C7-2842-9716-3658-7B02047B9C03;Как красиво накрасить короткие ногти;kak-krasivo-nakrasit-korotkie-nogti;;;;;;;;;;
B4CC3D5D-49B7-B668-16D0-94FE39F60114;Как сделать ровный френч;kak-sdelat-rovnyy-french;vK6bQq4pOYE;;;;;;;;;
A2B2F42E-61DC-EB32-DE74-7BC552615203;Как сделать трафареты для ногтей;kak-sdelat-trafarety-dlya-nogtey;GdBKPyglF0M;;;;;;;;;
AEA00398-E132-0F66-2C57-72389D2CFD6E;Как нарисовать розу на ногтях;kak-narisovat-rozu-na-nogtyah;;;;;;;;;;
FADBC7BE-4B90-6DF7-26F3-D60732BD8EC1;Как отрастить быстро длинные ногти;kak-otrastit-bystro-dlinnye-nogti;_PXGAwFtE4s;;;;;;;;;
