GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
0D022EF7-3E5B-47A4-F4B1-C4F06A5B67DC;Как написать письмо в армию другу;kak-napisat-pismo-v-armiyu-drugu;Syq8B7sMNKQ;;;;;;;;;
5099D16F-EFF8-6D2C-05EF-A0C61B44468F;Как лучше всего предложить девушке встречаться;kak-luchshe-vsego-predlozhit-devushke-vstrechatsya;;;;;;;;;;
262CF967-101C-0330-E90E-1277A343B005;Как написать первое СМС девушке в 2018 году;kak-napisat-pervoe-sms-devushke;7GMKq0YUXQc;;;;;;;;;
4F4033D2-4511-6464-B5A5-B8737A95A12D;Как попросить прощение у подруги;kak-poprosit-proshchenie-u-podrugi;;;;;;;;;;
4B968BF7-D217-95A6-1729-C1FE26C9D93B;Как найти общую тему для разговора;kak-nayti-obshchuyu-temu-dlya-razgovora;;;;;;;;;;
32DD754D-2EC5-3131-CDFD-ACD01478A186;Как отучить парня от компьютерных игр;kak-otuchit-parnya-ot-kompyuternyh-igr;1tkoKaazR5k;;;;;;;;;
E0EDF07A-EE22-15B1-E19E-56BF1A9D54BF;Как влиться в новую компанию друзей;kak-vlitsya-v-novuyu-kompaniyu-druzey;;;;;;;;;;
F1576091-0BF5-59BB-ADA3-8E13C881B329;Если мужчина хочет женщину, он начинает с ней дружить. Почему?;esli-muzhchina-hochet-zhenshchinu-nachinaet-s-ney-druzhit-pochemu;57nahmzsanU;;;;;;;;;
E2B33683-F328-8F81-D67F-303F488B1009;Как предложить дружить девушке;kak-predlozhit-druzhit-devushke;XnYFnIlLDGg;;;;;;;;;
FAD7F231-4D68-B79A-3656-50DDC01165C6;Как найти человека;#NAME?;cfLZeEdz0WE;;;;;;;;;
6182A64E-C4CC-AFE7-8115-21471B91FE5A;Как найти владельца машины по номеру;kak-nayti-vladelca-mashiny-po-nomeru;W06aVr6K5Bg;;;;;;;;;
7772CC33-BBB0-C6D6-D0A8-5C921F38BA0B;Как развести подругу;kak-razvesti-podrugu;;;;;;;;;;
01EAAFFB-5140-5D59-2C14-DC80D2B74D5F;Как извиниться перед подругой;kak-izvinitsya-pered-podrugoy;;;;;;;;;;
AAA29580-AF5D-8D1A-1B9D-7D2A1826989F;Что такое настоящая дружба;chto-takoe-nastoyashchaya-druzhba;;;;;;;;;;
1108D315-3952-F871-EEBF-99CC03A76A6D;Как отличить дружеские чувства от влюбленности;kak-otlichit-druzheskie-chuvstva-ot-vlyublennosti;;;;;;;;;;
5C2B9AE2-986A-D3FF-AAB7-6B17EB80B5CE;Как вернуть парня, который тебя бросил;kak-vernut-parnya-kotoryy-tebya-brosil;;;;;;;;;;
1A1D69E7-1E8A-698B-8A4D-CA907048D6CF;Как научиться интересно общаться;kak-nauchitsya-interesno-obshchatsya;;;;;;;;;;
4FC2A1CB-784B-1EB0-FC51-5B31902439AF;Как можно смешно рассказать о себе;kak-mozhno-smeshno-rasskazat-o-sebe;;;;;;;;;;
C1E9BA04-5E22-0149-BB9A-5CC55E4EE149;Как познакомиться в школе;kak-poznakomitsya-v-shkole;;;;;;;;;;
19C3261E-4E9F-B115-CC35-D7C7CDB10C06;О чем можно поговорить с парнем;o-chem-mozhno-pogovorit-s-parnem;EBgN5JfTykY;;;;;;;;;
E5C57E88-B885-C531-BF95-22E672C93F98;Как просто дружить с парнем;kak-prosto-druzhit-s-parnem;;;;;;;;;;
CFE68C96-5CE1-51AA-1A17-27681307BBD8;Как вернуть лучшую подругу;kak-vernut-luchshuyu-podrugu;;;;;;;;;;
0B0A0530-2260-A2AA-5A72-74CBE6BCAD5D;Как перевести дружбу в любовь;kak-perevesti-druzhbu-v-lyubov;qXMqU9yaFeQ;;;;;;;;;
271FEB06-ACB0-8FDE-666B-20D4A571FF10;Как начать письмо другу;kak-nachat-pismo-drugu;tAxH5Lzp9N8;;;;;;;;;
C12B3B08-7216-8D53-8D2A-7AFE7D9B2DAF;Как перестать ревновать подругу;kak-perestat-revnovat-podrugu;3o6WUx5p-T8;;;;;;;;;
ADE999DB-257E-279B-DB36-FBB5E2A8333F;Какими качествами должны обладать настоящие друзья;kakimi-kachestvami-dolzhny-obladat-nastoyaschie-druzya;FYXpz-YqzQo;;;;;;;;;
7C592377-B73A-CAEB-B147-87FB400CCF08;Как дружить с мальчиком;kak-druzhit-s-malchikom;;;;;;;;;;
23BA5112-3BF6-7B14-5C7F-B14E37368E4F;Что делать, если поссорился с лучшим другом;chto-delat-esli-possorilsya-s-luchshim-drugom-;;;;;;;;;;
0C8DE18D-2723-F099-4B68-169C07058B61;Как реагировать, если друг не пригласил на день рождения;kak-reagirovat-esli-drug-ne-priglasil-na-den-rozhdeniya;;;;;;;;;;
C7CC8E62-77AA-7767-AE8A-1DAF9912E508;Как вести себя, если подруга оказалась лесбиянкой;kak-vesti-sebya-esli-podruga-okazalas-lesbiyankoy;;;;;;;;;;
953747E6-D28F-FC01-1D20-83C1571DC4A7;Как найти общий язык с друзьями;kak-nayti-obshchiy-yazyk-s-druzyami;;;;;;;;;;
409DD461-BC6F-95D1-FCD6-269246E5AE74;Как найти старых друзей в 2018 году;kak-nayti-staryh-druzey;0QqzLU1GbGk;;;;;;;;;
0A0C0175-FBC9-61B1-CCE9-6B6FDBB04C1A;Что самое главное в дружбе;chto-samoe-glavnoe-v-druzhbe-;;;;;;;;;;
88E8ABB8-EBCE-0105-A259-EFAA70C18000;Что такое дружба;chto-takoe-druzhba;;;;;;;;;;
52A90C64-D234-9A3D-A845-5605A1B947A1;Как найти хорошего друга в 2018 году;kak-nayti-horoshego-druga;;;;;;;;;;
D3930922-3D07-DA13-9E58-AD3E4B7C40BC;Как утешить друга;kak-uteshit-druga;;;;;;;;;;
7CCB8661-58AD-ED60-A8DE-DBB9C33AAE11;Как познакомиться с соседом в 2018 году;kak-poznakomitsya-s-sosedom;;;;;;;;;;
49C1778B-1B5C-FD55-C625-C820CC50D416;Как преодолеть неловкую паузу в разговоре;kak-izbezhat-nelovkogo-molchaniya;_F0eUJ5Ndjk;;;;;;;;;
78DFDF7F-49B9-1608-4155-00FA76580EFF;Как узнать, друг или не друг;kak-uznat-drug-ili-ne-drug;Uwvr8BWPwvU;;;;;;;;;
2A75C890-77BE-4481-1659-5E221ABD6D72;Какие цветы можно подарить подруге на 15 лет;kakie-cvety-mozhno-podarit-podruge-na-15-let;;;;;;;;;;
702B4A14-C2AB-1C8B-68F8-933A72CB4145;Как найти хорошую компанию;kak-nayti-horoshuyu-kompaniyu;7SsR3t4hPjg;;;;;;;;;
0404F66A-FEF9-6F83-83D6-A3F0F19374BD;Как из врага сделать друга;kak-iz-vraga-sdelat-druga;;;;;;;;;;
74316E36-B5BB-B193-D35B-805A6391F099;Дружба с бывшим парнем: возможно ли это?;druzhba-s-byvshim-parnem-vozmozhno-li-eto;;;;;;;;;;
87AC858E-6E0E-5CF2-5B31-8BDC5DA6F834;Как признаться лучшему другу в любви;kak-priznatsya-luchshemu-drugu-v-lyubvi;;;;;;;;;;
D4F5779A-55AE-3123-06B7-88CAE5A9B368;Где люди знакомятся и как;gde-lyudi-znakomyatsya-i-kak;;;;;;;;;;
7170A00B-2363-69DA-DE2F-F16D046DFC5C;Двенадцать признаков настоящей подруги;dvenadcat-priznakov-nastoyaschey-podrugi;;;;;;;;;;
F4D97D11-ECDF-1FA2-C554-8A1A99A0ABF4;Как познакомиться с соседкой;kak-poznakomitsya-s-sosedkoy;o2H_HV6w7p0;;;;;;;;;
B44DBD41-A520-BED9-6397-1D73BE80286B;Как стать хорошим другом в 2018 году;kak-stat-horoshim-drugom;;;;;;;;;;
F3459C7D-3462-51E9-B21C-8BB10AA60B76;Как справиться с врагами;kak-spravitsya-s-vragami;YJYe4XPjsNE;;;;;;;;;
374943D4-ADFB-33CD-4BC5-C7A90A06936E;Где познакомиться пожилому человеку;gde-poznakomitsya-pozhilomu-cheloveku;;;;;;;;;;
A627D7BD-4E81-35BE-EEA5-C0866A450B8A;Почему дружба заканчивается;pochemu-druzhba-zakanchivaetsya;DwgEK98H380;;;;;;;;;
FD1540CC-2E74-8470-F755-F00C06000012;Как начать дружбу;kak-nachat-druzhbu;#NAME?;;;;;;;;;
0CE33496-1775-CF75-31C0-91AF50C4AC08;Как предложить дружбу;kak-predlozhit-druzhbu;;;;;;;;;;
F9357934-5C15-695D-2E3B-C32001485923;Как вернуть дружбу;kak-vernut-druzhbu;;;;;;;;;;
987AFD45-868F-7E02-7EE5-B894139232A5;Женской дружбы не бывает?;zhenskoy-druzhby-ne-byvaet;;;;;;;;;;
C2483127-F88E-A405-F58E-003F8B0C3B74;Как быть хорошей сестрой в 2018 году;kak-byt-horoshey-sestroy;;;;;;;;;;
A1061598-E0BF-131B-DA6E-C4ED49D82C60;Как познакомиться с японцем;kak-poznakomitsya-s-yaponcem;;;;;;;;;;
4AA1F4C1-BA29-BF8F-9A09-14F3BDABDC26;Как найти друзей в соцсетях;kak-nayti-druzey-v-socsetyah;9AH-I7u8HJs;;;;;;;;;
5610CC0E-58EC-984F-5CB0-FF16EDB5B404;Как узнать, есть ли у вас настоящие друзья;kak-uznat-est-li-u-vas-nastoyaschie-druzya-;;;;;;;;;;
2E99A98E-8FB9-AC8D-73E0-6A2B1F02629A;Как найти человека на Украине;kak-nayti-cheloveka-na-ukraine-;;;;;;;;;;
AE5EB127-BE45-8F1A-A4EA-9119DD7BF9E6;Как порадовать подругу;kak-poradovat-podrugu;c8p8-foBZzA;;;;;;;;;
670D1AF1-DF5A-3ACF-D298-CAF0A5584218;Что важнее - любовь или дружба?;chto-vazhnee---lyubov-ili-druzhba;cXO-OmpMaEQ;;;;;;;;;
80650FC8-1D32-BEA2-2822-D84A359898C8;Что делать, если хочешь свою лучшую подругу;chto-delat-esli-hochesh-svoyu-luchshuyu-podrugu;;;;;;;;;;
CE903AAB-0736-0DFB-8CFB-7F8A246EA8A2;Как простить предательство лучшей подруги;kak-prostit-predatelstvo-luchshey-podrugi;;;;;;;;;;
B701A750-F9EE-DC87-1D47-23992ACF8F19;Где найти друзей для душевного общения;gde-nayti-druzey-dlya-dushevnogo-obscheniya;;;;;;;;;;
B8435FBB-E230-7A23-527C-D94AAD355C32;Как дружить с мужчиной;kak-druzhit-s-muzhchinoy;mNYNEHJySQs;;;;;;;;;
DA064A0D-BFB3-41EC-FE23-1D502D8E98B9;Что подарить другу, у которого все есть;chto-podarit-drugu-u-kotorogo-vse-est;;;;;;;;;;
1A94883C-40F0-4293-511E-3403651734E1;Как дружить с подругой в 2018 году;kak-druzhit-s-podrugoy;mEGVL94k1xI;;;;;;;;;
71EE009A-DE41-BB3B-877B-A063252AD14C;Может ли девушка любить парня как друга;mozhet-li--devushka-lyubit-parnya-kak-druga;;;;;;;;;;
C7E4B39A-8C56-19A2-B450-53775B33F147;Как уговорить о встрече;kak-ugovorit-o-vstreche;;;;;;;;;;
EF78D3A5-527E-0FBF-B219-0D3D99F8D052;Где люди знакомятся друг с другом;gde-lyudi-znakomyatsya-drug-s-drugom;iySeXt2962Y;;;;;;;;;
01418B4F-A137-1FED-247F-EF057AE15780;Как вести себя прилично;kak-vesti-sebya-prilichno;;;;;;;;;;
7E8C853A-84B9-3DC3-01BB-8F1FE5E1C0E3;Как расстаться с другом;kak-rasstatsya-s-drugom;;;;;;;;;;
BD4368BE-9A45-43A8-3E76-F69C7685C297;Что делать, если лучшая подруга переводится в другую школу;chto-delat-esli-luchshaya-podruga-perevoditsya-v-druguyu-shkolu;;;;;;;;;;
1B04A16F-2D96-8932-9058-5A4998B2ACF7;Как помириться с подругой в 2018 году;kak-pomiritsya-s-podrugoy;6jC5BtEb6jc;;;;;;;;;
FB5FF036-1B47-97EB-3592-4A71967211F4;Новое явление в женской среде: гей в роли лучшей подруги;novoe-yavlenie-v-zhenskoy-srede-gey-v-roli-luchshey-podrugi;;;;;;;;;;
BCC77F68-7776-2368-53D4-F8BAED4C311C;Как найти друга для переписки;kak-nayti-druga-dlya-perepiski;XxP3zX8Jg4s;;;;;;;;;
20D54E74-E5FF-F724-79B4-E9E8A305319E;Как бороться с врагами;kak-borotsya-s-vragami;abNfa3l4zOg;;;;;;;;;
2F2F9850-6B73-D3B1-57AA-987E87972F34;Как общаться с друзьями;kak-obschatsya-s-druzyami;uoJdqX57ilQ;;;;;;;;;
8414880E-88C9-B7B2-7014-7296CD805619;Как быть, если друзья подводят;kak-byt-esli-druzya-podvodyat;;;;;;;;;;
71D4E96F-67C1-F263-516A-D40EC0175D85;Как наладить отношение с друзьями;kak-naladit-otnoshenie-s-druzyami;;;;;;;;;;
CA100B40-E65F-E499-DB00-0A7C7931023F;Как попросить прощения у подруги;kak-poprosit-proshcheniya-u-podrugi;KqPPwcY6FU8;;;;;;;;;
6F610381-C3C3-6B26-9758-9FEDF28DA70F;Почему ссорятся друзья;pochemu-ssoryatsya-druzya;Ei-I5wXMAZw;;;;;;;;;
E2390808-8AB8-9BA4-6C84-9B4B301D85C8;Как не потерять друзей;kak-ne-poteryat-druzey;#NAME?;;;;;;;;;
A5B1DA94-3406-FE95-BBC9-32174C4F0D3A;Как договориться с соседями, которых не устраивает шум от ремонта;kak-dogovoritsya-s-sosedyami-kotoryh-ne-ustraivaet-shum-ot-remonta-;pBMMu6o8FDI;;;;;;;;;
390A1DA0-6606-4211-7175-5A5E796F7BCC;Как попасть в компанию в 2018 году;kak-popast-v-kompaniyu;AEgw6ODs7Ak;;;;;;;;;
35EB1F96-1E1B-4EBC-C1A3-FD7B15FCA6E5;Как выбрать подругу;kak-vybrat-podrugu;;;;;;;;;;
33D3F4CA-40D5-A8BD-9B91-30A251C5AAB3;Почему друзья расстаются;pochemu-druzya-rasstayutsya;UkQuv2n9Wpw;;;;;;;;;
D24EF400-1DAD-C00E-9317-DEC778D26A37;Как выбрать друга;kak-vybrat-druga;kUCLOgydyGc;;;;;;;;;
E71707F7-EFFA-0387-3ED9-1929CA1F8DDC;Соперница: как отбить парня у подруги;sopernica-kak-otbit-parnya-u-podrugi;;;;;;;;;;
754D7827-67B8-C199-F6A0-043ED4C523BA;Как сформировать круг общения;kak-sformirovat-krug-obscheniya;;;;;;;;;;
2535461E-127C-21A4-E717-67FE46777F35;Как выбрать подарок близкому другу;kak-vybrat-podarok-blizkomu-drugu;UaZVgrueOLI;;;;;;;;;
646031E9-B63E-A81C-3838-1751534A833A;Как не делать друг другу зла;kak-ne-delat-drug-drugu-zla;;;;;;;;;;
B16AA148-C916-0B98-451F-65EC7FB3774A;Как познакомить людей в 2018 году;kak-poznakomit-lyudey;R3OHXHqoOtw;;;;;;;;;
7227E448-2DD9-AB25-9BDD-BFD96948FD8E;Как произвести приятное впечатление;kak-proizvesti-priyatnoe-vpechatlenie;jRd-jybP6uc;;;;;;;;;
2D1E0BD8-52EF-EFD5-6B62-91699F06DE16;Как отказаться от дружбы;kak-otkazatsya-ot-druzhby;;;;;;;;;;
F997A896-92A2-4528-7D2B-FECA8E3AB558;Как сделать семью дружной;kak-sdelat-semyu-druzhnoy;Fd04d-lHhEc;;;;;;;;;
AAA868BC-C521-3A44-8C39-BBA1CCE142BD;Как быть идеальной подругой;kak-byt-idealnoy-podrugoy;NGyi4VhPXVo;;;;;;;;;
34CB10BA-D1D6-A46A-7614-1C4DC10468AA;Как правильно отказать?;kak-pravilno-otkazat;UVn8Vst2gCU;;;;;;;;;
3BF8958C-7E4E-A27C-8030-EDA16D18F6AE;Как помочь подруге;kak-pomoch-podruge;WFHaAEPizSo;;;;;;;;;
05E680E4-5A20-D7C3-7C9D-8C8CEA0A19F2;Как остаться в мире с тем, кто не пригласил тебя на праздник;kak-ostatsya-v-mire-s-tem-kto-ne-priglasil-tebya-na-prazdnik;;;;;;;;;;
4D044605-CECF-9660-72C6-36DC1C024F35;Когда подруга становится врагом: такая переменчивая женская дружба;kogda-podruga-stanovitsya-vragom-takaya-peremenchivaya-zhenskaya-druzhba;;;;;;;;;;
CE750595-EF12-8806-0A89-7D522139997F;Как не оплошать при знакомстве с родителями парня;kak-ne-oploshat-pri-znakomstve-s-roditelyami-parnya;;;;;;;;;;
C6FAE9EC-1D62-1F2A-E716-6AB036C270E8;Неразлучные подруги: как подружиться с девушкой;nerazluchnye-podrugi-kak-podruzhitsya-s-devushkoy;;;;;;;;;;
4A013798-3706-BEB8-BD3C-ECFB6DCF6B48;Как познакомиться в университете;kak-poznakomitsya-v-universitete;66JBiuVGlXs;;;;;;;;;
FA610F77-DEFF-348C-9C55-2363559C3FC8;Как быть приятным человеком в 2018 году;kak-byt-priyatnym-chelovekom;;;;;;;;;;
36C3DCA0-0472-430E-4E36-A9B4CE599D29;Как возобновить отношения с друзьями;kak-vozobnovit-otnosheniya-s-druzyami;;;;;;;;;;
CD31B3D0-67B5-FADE-F5A9-595E1D1756B8;Где лучше всего знакомиться;gde-luchshe-vsego-znakomitsya;XtfbozMvkkQ;;;;;;;;;
D84A81F2-C9C7-83EA-BEA2-712EDF16FD0D;Как найти верного друга;kak-nayti-vernogo-druga;Ucs9P5bqYXI;;;;;;;;;
62756E53-EFDA-46DA-83F0-F76A05C43D22;Какой подарок подарить подруге;kakoy-podarok-podarit-podruge;;;;;;;;;;
AACBB9C4-9B5F-FB59-2C60-5370D04FB74C;Как обзавестись друзьями;kak-obzavestis-druzyami;mmD7glve-V8;;;;;;;;;
5661346A-D4D3-F74E-F6B5-59DC6F871C48;Как выделиться в компании;kak-vydelitsya-v-kompanii;;;;;;;;;;
4B519128-5023-096D-D821-21DA92B649BB;Как становятся друзьями;kak-stanovyatsya-druzyami;Du1wyXh00Js;;;;;;;;;
208B0ED4-4367-1113-562E-ABD17DA2A528;Как лучше предложить встречаться;kak-luchshe-predlozhit-vstrechatsya;LTo7O4P-QlU;;;;;;;;;
4FF66AF9-AB02-4142-3B06-988E03CF4FEF;Как быть хорошей подругой;kak-byt-horoshey-podrugoy;EYPiv-qjlv4;;;;;;;;;
3E35DC6B-BC47-4F4D-C76D-225775B3EA61;Как завязать дружбу;kak-zavyazat-druzhbu;90fr8JTeF1I;;;;;;;;;
5D928607-A9AB-171F-0DC1-C71D0841CA51;Дружба с гомосексуалистом;druzhba-s-gomoseksualistom;E9Ap1LFnC4Q;;;;;;;;;
7F250A85-F820-FF32-A25E-02C09C06EB06;О чем говорят женщины, когда рядом нет мужчины;o-chem-govoryat-zhenschiny-kogda-ryadom-net-muzhchiny-;;;;;;;;;;
A9F72D25-5BEA-042B-E39A-C6DD32A88023;Как сделать из дружбы любовь;kak-sdelat-iz-druzhby-lyubov;oD5ON4DVIrg;;;;;;;;;
EA7911A5-D851-33FA-3D64-50705F5FB420;Как сделать зелье любви;kak-sdelat-zele-lyubvi;;;;;;;;;;
0C49D5AE-36E2-BA37-2330-65386720330E;Как быть, если влюбилась в лучшего друга;kak-byt-esli-vlyubilas-v-luchshego-druga;DNS0mX2vtOY;;;;;;;;;
C58C4698-6DF3-8B43-E202-8D22294415E2;Как познакомиться с парнем-инвалидом;kak-poznakomitsya-s-parnem-invalidom;njNhGcIpoJc;;;;;;;;;
FD452801-0D2C-DE51-3F69-EC5430FAEB12;Как быть хорошим другом в 2018 году;kak-byt-horoshim-drugom;Tk7usRgH2Uc;;;;;;;;;
16570152-4508-AB20-3B55-2AC0CCFBB810;Как помириться с другом;kak-pomiritsya-s-drugom;;;;;;;;;;
F4A9E1AC-D4E5-4DD5-A185-B928C4F525E5;Как контролировать парня;kak-kontrolirovat-parnya;;;;;;;;;;
7536B93A-8AC5-F7E2-AFC3-76E34539FAE2;Как провести время с подругой;kak-provesti-vremya-s-podrugoy;;;;;;;;;;
C2A80261-C417-199B-030D-B6134FB78EA1;Как уважать интересы друг друга;kak--uvazhat-interesy-drug-druga;Ir2kX-90c40;;;;;;;;;
DCECF403-5D12-EEF1-1987-826EA9BBD1DC;Как быть настоящей подругой в 2018 году;kak-byt-nastoyashchey-podrugoy;3NapHH498kc;;;;;;;;;
E7E2D8D0-12F9-5927-D0D9-F57AF3206F77;Как обратиться к другу;kak-obratitsya-k-drugu;k7kDVHTWGMY;;;;;;;;;
EC49536E-3952-8783-66AE-535A83AD3665;Как благословить сына на брак;kak-blagoslovit-syna-na-brak;6U_svj_nwMc;;;;;;;;;
C3855A14-5D03-D259-6334-383025C13237;Как назвать девочку в декабре;kak-nazvat-devochku-v-dekabre;;;;;;;;;;
A20180A4-01EA-9660-0CA7-C82FE91CAA54;Как родить девочку в 35 лет;kak-rodit-devochku-v-35-let;PEk4rJZb1D8;;;;;;;;;
38C97790-CC5C-4C15-4A77-A8D1FFBE9619;Как встретить сына из армии;kak-vstretit-syna-iz-armii;;;;;;;;;;
43C87819-1B5E-26E4-97C3-505D054E45DA;Как вести себя с невесткой;kak-vesti-sebya-s-nevestkoy;yp9O69DppFQ;;;;;;;;;
0DDAC6A0-F9AA-71E2-EB96-6A49B0D98D38;Нужно ли наказывать ребенка;nuzhno-li-nakazyvat-rebenka;;;;;;;;;;
0D690CCC-621D-B0E9-BADF-E98A3E1C2139;Лень и ребенок;len-i-rebenok;;;;;;;;;;
CDD6B8EE-3E9A-7554-1A46-382E4EC662CD;Как пережить смерть единственного сына;kak-perezhit-smert-edinstvennogo-syna;X4vriETJkf0;;;;;;;;;
648132BC-DF78-7084-7C96-45502359B3DE;Праздник для детей;prazdnik-dlya-detey;JC__ye1ZqRc;;;;;;;;;
EDFA80BF-F546-6748-4D94-578DDD7D44C9;Как выбрать имя мальчику;kak-vybrat-imya-malchiku;;;;;;;;;;
F505397B-1ABC-98D7-4D97-4A530EB5B962;Как назвать мальчика по святкам;kak-nazvat-malchika-po-svyatkam;;;;;;;;;;
6AF880CE-C67A-89E9-E190-2838A459E8E3;Почему ребенок врет своим родителям?;pochemu-rebenok-vret-svoim-roditelyam;;;;;;;;;;
F9D9D5BD-CF63-22ED-1A69-DE09F4F589F9;Как научить ребенка просить правильно;kak-nauchit-rebenka-prosit-pravilno;;;;;;;;;;
6573A6DA-9A44-29AC-A134-F5E0D36899D4;Воспитание адекватной самооценки у ребенка;vospitanie-adekvatnoy-samoocenki-u-rebenka;;;;;;;;;;
0C52E474-E949-4686-BEA4-16CBDEBC69E6;Говорить на одном языке с подростком;govorit-na-odnom-yazyke-s-podrostkom;;;;;;;;;;
A9EDD933-9012-0418-0DB2-55FF668410DD;Детские слезы;detskie-slezy;;;;;;;;;;
