GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"FAD7F231-4D68-B79A-3656-50DDC01165C6";"Как найти человека";;"cfLZeEdz0WE";"Найти человека! Поиск людей в интернете бесплатно - VHOD.cc";"http://vhod.cc/raznoe/naiti-cheloveka/";"Как найти человека в интернете по имени, фамилии, городу, возрасту, местам работы и учебы — Бесплатный поиск людей на стартовой странице  ...";"Как найти человека по имени и фамилии: 3 самых ... - Korysno.Pro";"http://korysno.pro/kak-najti-cheloveka-po-imeni-i-familii-3-samyh-rezultativnyh-sposoba/";"Тем не менее сегодня найти человека по имени и фамилии самостоятельно вполне реально. Для этого вам нужен компьютер, интернет и желание.";"Как найти человека по имени и фамилии? - Фотострана";"https://fotostrana.ru/imya/";"Ищете человека по имени и фамилии? Заходите на Фотострану и воспользуйтесь нашим поиском!"
"32DD754D-2EC5-3131-CDFD-ACD01478A186";"Как отучить парня от компьютерных игр";;"1tkoKaazR5k";"Как отучить мужа играть в компьютерные игры: боремся с ...";"https://bewoman.club/kak-otuchit-muzha-ot-kompyuternyh-igr/";"9 июл 2017 ... Сегодня каждая третья женщина задается вопросом – как отучить мужа от компьютерных игр? Все мужчины подсознательно мечтают ...";"Как отучить парня от компьютерных игр моего парня интересуют ...";"http://inv4you.com/141-kak-otuchit-parnya-ot-kompyuternykh-igr.html";"Как только не хочется ругать своего любимого человека, когда он сидит в игре. Компьютерные игры стали самой настоящей зависимостью, которая ...";"Борьба с зависимостью: как отучить мужа от компьютерных игр";"https://blog.teamo.ru/2013/09/23/%25D0%259A%25D0%25B0%25D0%25BA-%25D0%25BE%25D1%2582%25D1%2583%25D1%2587%25D0%25B8%25D1%2582%25D1%258C-%25D0%25BC%25D1%2583%25D0%25B6%25D0%25B0-%25D0%25BE%25D1%2582-%25D0%25BA%25D0%25BE%25D0%25BC%25D0%25BF%25D1%258C%25D1%258E%25D1%2582%25D0%25B5%25D1%2580%25D0%25BD%25D1%258B%25D1%2585-%25D0%25B8%25D0%25B3%25D1%2580/";"23 сен 2013 ... Борьба с зависимостью близкого человека сродни войне с ветряными мельницами, которую вел Дон Кихот — так же благородно, как и ..."
"271FEB06-ACB0-8FDE-666B-20D4A571FF10";"Как начать письмо другу";;"tAxH5Lzp9N8";"Как начать письмо другу - AstroMeridian.ru";"http://www.astromeridian.ru/psy/kak_nachat_pismo_drugu.html";"Пришло время и наконец-то вы решились на это. Решили написать письмо другу, которого вы сто лет как не видели. Тому, кто ждет от вас ответного ...";"Письма другу | Неотправленные письма";"http://notsent.ru/kategoriya/pisma-drugu";"Привет мой друг! Мы с тобой перестали общаться, так и не увидившись. И это очень грустно. Мы хотели отправить письма друг другу, но из-за той ...";"Как написать письмо другу?";"http://kak-bog.ru/kak-napisat-pismo-drugu";"Написать письмо не так просто, как может показаться на первый взгляд, если говорить о том, как правильно его написать, с соблюдением этикета и ..."
"19C3261E-4E9F-B115-CC35-D7C7CDB10C06";"О чем можно поговорить с парнем";;"EBgN5JfTykY";"О чём можно поговорить в парнем в вк – примеры интересных тем";"http://selfishlady.ru/o-chem-mozhno-pogovorit-s-parnem-v-vk/";"Не знаете о чём можно поговорить с парнем в вк? Мы расскажем о самых интересных и оригинальных темах для общения в социальных сетях.";"О чём можно поговорить с парнем? - Rusachka.ru";"http://rusachka.ru/lyubov/my-i-parni/o-chyom-mozhno-pogovorit-s-parnem.html";"Как узнать, о чем с парнем можно интересно поговорить? Прислушайтесь к таким советам: Узнайте, что нравится парню. «Примерьте» на себя его ...";"О чём можно поговорить с парнем - в вк, когда гуляешь, который ...";"http://gopsy.ru/otnoshenija/o-chjom-mozhno-pogovorit-s-parnem.html";"Тебе нравится общаться с парнями, но иногда ты теряешься и не знаешь, о чем с ними разговаривать? У нас есть советы на все случаи жизни, они ..."
"6182A64E-C4CC-AFE7-8115-21471B91FE5A";"Как найти владельца машины по номеру";;"W06aVr6K5Bg";"Как узнать владельца автомобиля по госномеру в 2018 году ...";"http://www.forum.lawportal.com.ua/viewtopic.php%3Ff%3D24%26t%3D561";"Здравствуйте. Хочу узнать кому принадлежит автомобиль (известна марка и госномер). Также нужно выяснить какие машины принадлежат человеку ...";"Открыт онлайн-доступ к реестру авто - ITC";"https://itc.ua/news/v-internete-teper-mozhno-posmotret-informatsiyu-po-avtomobilyam-lyubogo-grazhdanina-ukrainyi/";"16 дек 2015 ... В интернете теперь можно посмотреть информацию по автомобилям любого гражданина.";"База данных ГАИ (ДАІ). Как найти владельца автомобиля и ...";"http://technolog.pp.ua/drugoe/38-baza-dannykh-gai-dai-kak-najti-vladeltsa-avtomobilya-i-uznat-kakie-avto-zaregistrirovany-na-fizicheskoe-ili-yuridicheskoe-litso.html";"26 фев 2017 ... Как найти владельца автомобиля и узнать какие авто ... по регистрационному номеру автомобиля участника дорожного движения."
"409DD461-BC6F-95D1-FCD6-269246E5AE74";"Как найти старых друзей в 2018 году";;"0QqzLU1GbGk";"Как найти друзей в любом возрасте - Лайфхакер";"https://lifehacker.ru/kak-najti-druzej/";"3 фев 2018 ... Действуйте. Лайфхакер поможет найти друзей в интернете и реальной жизни. ... Если вы человек старой закалки и не любите все эти ...";"Как поздравить друга в Международный день Друзей: стихи о ...";"https://hochu.ua/cat-relax/longread/article-76480-povod-poradovat-stihi-o-druzhbe-i-druzyah-k-prazdniku/";"9 июн 2018 ... Отмечаем мы его 9 июня. Сама традиция отмечать День друзей зародилась в США в 1935 году – тогда Конгресс Соединенных Штатов ...";"Самый подробный гороскоп на 2018 год для всех знаков Зодиака ...";"https://kp.ua/life/595939-samyi-podrobnyi-horoskop-na-2018-hod-dlia-vsekh-znakov-zodyaka-ot-tatiany-borsch";"22 фев 2017 ... Июль 19, 2018; LON 1:00:20 ... Здравствуйте! Меня зовут Ирина, мне 52 года, я из Украины (украинская болгарка). Я живу в ... Ищу друзей / подругу в Ноттингеме/ Дерби. Хочу найти подругу, с которой можно ... Лондонский Клуб Учителей приглашает старых и новых друзей вместе проводить ..."
"C12B3B08-7216-8D53-8D2A-7AFE7D9B2DAF";"Как перестать ревновать подругу";;"3o6WUx5p-T8";"Ревную подругу к ее друзьям - Woman.ru";"http://www.woman.ru/psycho/friendship/thread/3926579/";"8 ноя 2009 ... Ревную подругу к ее друзьям. No friends | 08.11.2009, 11:58:50 [605587595]. Она - подруга, человек безумно приятный, общительный, и самое главное ...";"Как научиться не ревновать; как научиться не ревновать подругу";"http://www.wday.ru/seks-otnosheniya/sem/drujeskaya-i-lyubovnaya-revnost-kak-nauchitsya-ne-revnovat-podrugu-i-lyubimogo-cheloveka2/";"Дружеская и любовная ревность – как научиться не ревновать подругу и любимого человека. Ревность ... Как перестать ревновать мужа? Ревность – это ...";"Женская дружба: как не ревновать подругу";"https://blog.teamo.ru/2012/10/14/ZHenskaya-druzhba-kak-ne-revnovat-podru/";"14 окт 2012 ... Женская дружба: как не ревновать подругу. Ревность способна загубить отношения мужчины и женщины, превратив их в сущий кошмар ..."
"0B0A0530-2260-A2AA-5A72-74CBE6BCAD5D";"Как перевести дружбу в любовь";;"qXMqU9yaFeQ";"Перевести дружбу в любовные отношения - вопрос психологу ...";"https://psycabi.net/vopros-psikhologu/lyubov-znakomstva-otnosheniya/991-perevesti-druzhbu-v-lyubovnye-otnosheniya-vopros-psikhologu";"Поиск по сайту · Главная страница Вопрос психологу Любовь, знакомства, отношения Перевести дружбу в любовные отношения - вопрос психологу.";"Как превратить дружбу в любовь - wikiHow";"https://ru.wikihow.com/%25D0%25BF%25D1%2580%25D0%25B5%25D0%25B2%25D1%2580%25D0%25B0%25D1%2582%25D0%25B8%25D1%2582%25D1%258C-%25D0%25B4%25D1%2580%25D1%2583%25D0%25B6%25D0%25B1%25D1%2583-%25D0%25B2-%25D0%25BB%25D1%258E%25D0%25B1%25D0%25BE%25D0%25B2%25D1%258C";"Как превратить дружбу в любовь. Вы безумно влюблены в своего друга (свою подругу)? Хотите узнать, как заставить его (ее) почувствовать то же самое ...";"Как перевести отношения из дружбы в любовь: советы психологов";"http://womanclub.in.ua/otnosheniya-i-seks/kak-perevesti-otnosheniya-iz-druzhby-v-lyubov-sovety-psixologov/";"Как превратить дружеские отношения с мужчиной в романтические? Практические рекомендации для тех, кому мало просто дружбы."
"E2B33683-F328-8F81-D67F-303F488B1009";"Как предложить дружить девушке";;"XnYFnIlLDGg";"Как предложить девушки дружбу? / Любовь / Общение / Сервер ...";"http://www.kazakh.ru/talk/mmess.phtml%3Fidt%3D16390";"А когда я подхожу к девушкам говорю "карындас танысайк", почему то девушки от меня сломя голову бегут, после этого читай девичьи комменты типа ...";"Как предложить дружбу девушке? - Любовь, секс и отношения ...";"https://www.abonentik.ru/viewtopic.php%3Ff%3D25%26t%3D2747";"3 сен 2009 ... Посоветуйте как предложить дружбу девушке? Как лучше это сделать? Что нибудь красивое, романтичное. ВЕСЁЛЫЕ СТРАНИЧКИ.";"Как предложить дружбу? - ЛИСТОПЕДИЯ";"http://www.listopedia.ru/otnoshenia/kak_predlozit_druzbu.html";"КАК ПРЕДЛОЖИТЬ ДРУЖБУ – ПРОСТО ДРУЗЬЯ. Обычно в деловой ... Если вы хотите предложить дружбу человеку, то просто предложите ему свою помощь и можете считать, что вы друзья. ... КАК НЕ МОЛЧАТЬ С ДЕВУШКОЙ ?"
"CFE68C96-5CE1-51AA-1A17-27681307BBD8";"Как вернуть лучшую подругу";;"Q3sMzWSOAPk";"Как вернуть друга или подругу - AstroMeridian.ru";"http://www.astromeridian.ru/psy/kak_vernut_luchshego_druga.html";"Как вернуть лучшую подругу. 1. Самое главное – это понять из-за чего началась ваша ссора или ваше отдаление друг от подруги. В любом случае ...";"Как помириться с подругой и вернуть дружбу - EraLady.ru";"http://eralady.ru/psycho/lichnost/kak-pomiritsya-s-podrugoj.html";"Как помириться с подругой и вернуть дружбу? ... Ведь мы не ждем подвоха со стороны близких подруг и сами стараемся не допускать ... Ну и начала обсуждать Женю не в лучшую сторону, не знаю почему, я так никогда не делала.";"Хочу вернуть лучшую подругу| EG.RU";"https://www.eg.ru/society/28393/";"25 окт 2011 ... Мы с ней очень отдалились друг от друга. Мне казалось, из-за того что она от меня устала."
