GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
91715E3E-B5F6-BD67-11FD-71897FD4AD78;Как снять аллергический отек на лице;;;;;;;;;;
229BC865-6FA0-0DDA-D8C7-C0C2ED86295E;Сколько срастаются ребра после перелома;;;;;;;;;;
3220C4D9-3806-27BA-558D-D106FEB1BECC;Сколько стоят скобы для выравнивания зубов;;;;;;;;;;
867B0FAE-CB09-9316-14C8-44C6ED7DD610;Как провести натуральную детоксификацию;8bHY6wnuirw;;;;;;;;;
A47A66D7-45B2-3498-FDCD-4AA87DBFC770;Лечение герпеса народными средствами;vyesVV9MmJA;;;;;;;;;
241EC6FB-A8D3-8B13-79A1-71925E7AB47F;Как принимать гормоны в климакс;;;;;;;;;;
CAB40DC1-73D2-429D-9491-AF51026B1A31;Лечение и профилактика грибка стопы;;;;;;;;;;
DB431388-2615-3D27-C8EC-A55E5DA49C32;Как закодировать женщину от алкоголизма;;;;;;;;;;
0D7BC97D-4D87-5C6F-6E5F-5F1770836594;Как составить график приема таблеток;JPSNLCGiVic;;;;;;;;;
1E8D305D-B3DD-184F-BB86-51E1732BDD4B;Как слезть с гормональной мази;;;;;;;;;;
F3A4171D-0D32-E8E3-0A02-B6E0FD760429;Как сдать анализы на нейровирусы;9ilsIek5VFs;;;;;;;;;
D6A0C043-7155-83CE-4C16-B3A7527DD826;Как предотвратить эпилепсию;XOTz15inRs0;;;;;;;;;
8BC4E40C-484D-6887-619C-9D698083AC1A;Домашние средства от аллергии;Pw5orAXSG_g;;;;;;;;;
C24DC2C0-EB43-8F6B-121C-825FA97CA86B;Способы борьбы с депрессией;KaFiErw1L7M;;;;;;;;;
1DEE4F01-D7C2-45F9-76A4-C92A8499A84F;Домашние средства от боли в горле;RWaB_0EEL_s;;;;;;;;;
57E4A4A5-C45B-FE4E-2EDD-7E65117AE6A2;Иммунитет: причины ослабления и способы укрепления;;;;;;;;;;
0B5093B7-A48B-DB5A-F6E4-03F96C8EA32F;Домашние средства от запоров;6KJGJVhPdeU;;;;;;;;;
E4045F7D-0C4E-35B5-A6DE-851D92343D51;Вздутие живота: причины и профилактика;;;;;;;;;;
AC6804ED-22BB-FEF1-6EDC-398C4861B367;Домашние средства от грибка ног;LEtvsd98zuA;;;;;;;;;
E1BB6914-0305-7EC8-623A-E4D277B3FF01;Домашние средства от боли в ухе;g6Yo50l3ryw;;;;;;;;;
FEB46A67-C506-A699-6004-04241AF30E1D;Как убрать хрипы в груди при бронхите;;;;;;;;;;
86455379-D634-52BC-CE17-4E50501BE7E6;Как справится с похмельем;6gTZrP89se0;;;;;;;;;
84B02CA4-3E15-E7FB-0A55-A9DCFFA87BFC;Методы лечения миомы матки;;;;;;;;;;
B837D0D4-7009-1377-2428-AB10B1E03274;Как снять спазм в мышцах ног;;;;;;;;;;
16797C2D-C956-472C-D372-5CA6CA563F7A;Неприятный запах изо рта: причины и лечение;l0zm8qzDQYM;;;;;;;;;
875B4F8A-C806-3826-5B6B-E4ED93AC9E8C;Как подготовиться к гидроколонотерапии;;;;;;;;;;
207349B7-FD3E-B2ED-3587-FD4357275D31;Кто лучший массажист - женщина или мужчина;;;;;;;;;;
B539EE0E-6950-FF9D-4740-8628408747D0;Как избавится от язвы на руке;;;;;;;;;;
3CCEE591-62A7-95AF-284F-6B52832719B3;Лечение инфаркта миокарда;jmBNONqyQFw;;;;;;;;;
8A8DB781-6F43-7EE6-5AE0-43340C7B1FA2;Как избавиться от приливов при климаксе;;;;;;;;;;
FAE2812C-A595-1A7A-5F16-A8A07CC4B22C;Симптомы дефицита кальция в организме;5RPq1HUGM3I;;;;;;;;;
9E9ABD39-7E6C-ECE6-4B85-2DBE81D45916;Выбираем препараты для лечения гайморита;;;;;;;;;;
7C5025B8-DE23-B8DB-2367-114926CB67AA;Диагностика и лечение аномалии Кимерли;;;;;;;;;;
42F013F1-F980-AA38-BD80-AD0311B2B6CB;Головная боль: как выбрать таблетку?;Qr0BvlCBx70]</li>  </ul>;;;;;;;;;
7A768031-0FBA-40D9-32C4-7F605936D222;Показания к лечению мануальной терапией;;;;;;;;;;
4B2C9411-D748-B109-32E2-DA46E59A86B2;Как успокоить кашель перед сном;;;;;;;;;;
CDE013AC-365F-D54E-75B1-2DFEE8FA1D88;Как выбрать лекарственное средство от запоров;;;;;;;;;;
3C1C5A79-58D4-F309-61C9-23B6DFE97A6D;Лечение псориаза на курортах с термальными источниками;;;;;;;;;;
A6637559-8E8B-C132-D2AA-B9D685500CFF;Как избавиться от боли в суставах народными средствами;y1Hi0qEmE48;;;;;;;;;
842B42FC-5EF5-BE4E-E7DD-43E477A82961;Межпозвоночная грыжа: нужна ли операция?;;;;;;;;;;
04E870A3-5655-3A90-BBFE-FE171038BC22;Народные методы лечения рака легких;;;;;;;;;;
36B01748-7065-7B3F-1C80-3DDB7E682024;Особенности лечения рака 3-ей стадии;uXeOEAOkMbw;;;;;;;;;
83EBF8FE-5B73-D07C-E861-18A57396D036;Как избавиться от неприятного запаха изо рта;Gzye77zU1RY;;;;;;;;;
762CADC2-D219-C70E-32ED-75AFAEE86907;Противопоказания для обезболивания при лечении зубов;QlRGebldC3M;;;;;;;;;
B38BC95C-889A-E883-9CD2-43F4E627BA54;В чем польза лечения пиявками;;;;;;;;;;
7AC81379-F7CC-FE7C-241B-E0947702E89F;Как помочь себе при головной боли;AJXvTymDCTI;;;;;;;;;
24478AC9-6F92-7123-0C7F-1D7ED5BFAC8B;Домашние средства от боли в спине;0gthFLmbuwM;;;;;;;;;
DF9D5B7B-D096-6382-5817-DBD0A4B25CA0;Домашние средства от ссадин;yOLJ0gpuHew;;;;;;;;;
659A3350-EDCB-FBA2-3A69-172A44229307;Домашние средства от астмы;CBi8ZWwexTk;;;;;;;;;
D16771C1-4CFF-5D15-3A2F-1DCEC7CB272C;Домашние средства от заусенцев;zVjcqFG3fQo;;;;;;;;;
