GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"D6A0C043-7155-83CE-4C16-B3A7527DD826";"Как предотвратить эпилепсию";;"XOTz15inRs0";"Как предотвратить приступ эпилепсии и что может его ...";"http://umozg.ru/doma/kak-predotvratit-pristup-epilepsii.html";"Как предотвратить приступ эпилепсии. Чем могут быть вызваны припадки. Оказание первой неотложной помощи. Проявление заболевания.";"Судороги, эпилептические приступы и эпилепсия_гл3";"http://www.nevromed.ru/stati/bitterlich/bitterlich3";"В большинстве случаев мне удается предотвратить повторение приступов ... и американских центров по лечению эпилепсии у 20% больных не удается ...";"Ответы Mail.Ru: Как предотвратить приступ эпилепсии?";"https://otvet.mail.ru/question/47284729";"6 июл 2015 ... Пользователь Максимка задал вопрос в категории Болезни, Лекарства и получил на него 5 ответов."
"F3A4171D-0D32-E8E3-0A02-B6E0FD760429";"Как сдать анализы на нейровирусы";;"9ilsIek5VFs";"Анализы на вирусы у мужчин и женщин: какие нужно сдать и ...";"https://www.eg.ru/digest/analizy-na-virusy.html";"28 мар 2018 ... Какие анализы на вирусы стоит время от времени сдавать всем взрослым мужчинам и женщинам? Людям следует знать все о ...";"Анализ крови на вирусы - «Московский Доктор»";"https://xn----ctbhofdbekubgb2addy.xn--p1ai/%25D0%25B0%25D0%25BD%25D0%25B0%25D0%25BB%25D0%25B8%25D0%25B7-%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B2%25D0%25B8-%25D0%25BD%25D0%25B0-%25D0%25B2%25D0%25B8%25D1%2580%25D1%2583%25D1%2581%25D1%258B";"Лучший способ это сделать – анализ крови на вирусы. Существует бессчетное ... на ранних стадиях. Сбор крови у ребенка, следует сдавать натощак.";"Как сдать анализы на нейровирусы";"http://medsait.ru/vopros/kak-sdat-analizy-na-nejrovirusy";"Для установления точного диагноза при подозрении нейроинфекции необходимо сдать анализы. О нейровирусных инфекцияхПод действием ..."
"8BC4E40C-484D-6887-619C-9D698083AC1A";"Домашние средства от аллергии";;"Pw5orAXSG_g";"Лечение аллергии народными средствами и методами";"https://www.ayzdorov.ru/Lechenie_allergii_narodnimi_sredstvami.php";"Лечение аллергии народными средствами: лучшие рецепты настоев, отваров, примочек, ... Как избавиться от аллергии в домашних условиях?";"Народные средства от аллергии: есть ли эффект?";"https://www.piluli.kharkov.ua/liter/article/narodnye-sredstva-ot-allergii-est-li-effekt/";"29 янв 2014 ... Аллергические заболевания – распространенная патология. Такие болезни, как бронхиальная астма, атопический дерматит, поллиноз, ...";"Лечение аллергии народными средствами — Блог о здоровье ...";"http://fiz-ra.com/lechenie-allergii-narodnyimi-sredstvami/";"Как лечить аллергию народными средствами? В этой статье вы узнаете ответ на этот вопрос."
"0D7BC97D-4D87-5C6F-6E5F-5F1770836594";"Как составить график приема таблеток";;"JPSNLCGiVic";"График приема лекарств - БэбиБлог";"https://www.babyblog.ru/theme/grafik-priema-lekarstv";"Хочу для себя составить график приема лекарств. .... наверстать все 8 месяцев собственого невнимания и выписала сразу кучу таблеток и витаминов.";"Как составить график приема таблеток";"http://medsait.ru/vopros/kak-sostavit-grafik-priema-tabletok";"Как составить график приема таблеток. Во время лечения иногда возникает необходимость принимать несколько лекарственных препаратов ...";"Как правильно принимать лекарства, когда и сколько | КАК ...";"https://goodmaster.com.ua/zdorove/kak-pravilno-prinimat-lekarstva.html";"Как составить график составьте таблицу в ней должно быть столько строк, сколько ... Как составить график приема таблеток график приема лекарств."
"AC6804ED-22BB-FEF1-6EDC-398C4861B367";"Домашние средства от грибка ног";;"LEtvsd98zuA";"Народное средство от грибка ногтей на ногах: самые ...";"https://legkopolezno.ru/zozh/profilaktika-i-lechenie/narodnoe-sredstvo-ot-gribka-nogtej-na-nogah/";"Существует ли действительно эффективное народное средство от грибка ногтей на ногах? Да! Наша подборка самых действенных методов лечения ...";"Лечение грибка стопы народными средствами - Народные ...";"http://lechenie-narodom.ru/lechenie-gribka-stopy-narodnymi-sredstvami/";"лечение грибка стопы народными средствами Методы лечения грибка ( микоза, дерматомикоза) стопы народными средствами пользуются большой  ...";"Лечение грибка ногтей народными средствами, в домашних ...";"https://www.ayzdorov.ru/lechenie_gribka_narnogtei.php";"Теплые ванночки для ног считаются эффективным средством против грибка,  ..."
"B837D0D4-7009-1377-2428-AB10B1E03274";"Как снять спазм в мышцах ног";;"5jbYztJhOh8";"...Как Снять мышечный спазм? | Вопрос-Ответ | Аргументы и Факты";"http://www.aif.ru/dontknows/1227932";"23 дек 2010 ... Чтобы быстро снять спазм мышц, крепко ухватитесь за икру, ... При этом оттяните пальцы ноги и сделайте несколько глубоких вдохов.";"Как снять спазм мышц спины, шеи, ног и рук: симптомы и методы ...";"http://vsetelo.com/dlya-vzroslyx/vosstanovitelnyj-massazh/myshechnye-spazmy.html";"Что такое спазм мышц? Основные причины и симптомы спазмов различных групп мышц: спины, шеи, ног и рук. Медикаментозное лечение и лечение ...";"Спазм мышц ног: причины и лечение";"http://tvoinogi.ru/drugie-zabolevaniya/spazm-myshcakh-nog/";"Спазм в мышцах ног может проявляться по самым разнообразным причинам ... такое лечение может снять напряжение на короткое время, а затем боль ..."
"FAE2812C-A595-1A7A-5F16-A8A07CC4B22C";"Симптомы дефицита кальция в организме";;"5RPq1HUGM3I";"Недостаток кальция – симптомы | ZdravoE";"https://zdravoe.com/363/index.html";"Начальные симптомы недостатка кальция в организме проявляются в пагубном воздействии этого дефицита на нервную систему: все чаще возникают ...";"Симптомы нехватки кальция в организме у женщин и мужчин ...";"https://happynsp.com/simptomy-nexvatki-kalciya-v-organizme/";"Рассмотрим причины дефицита и основные симптомы нехватки кальция в организме. Недостаток кальция, конечно, может развиваться как у женщин, ...";"Нехватка кальция в организме - симптомы, последствия, лечение";"http://www.bediva.ru/featured/deficit-kalciya-simptomy-i-posledstviya.html";"Кальций жизненно важный элемент в нашем организме, он должен содержаться в определенных дозах ... Дефицит кальция — симптомы и последствия ..."
"241EC6FB-A8D3-8B13-79A1-71925E7AB47F";"Как принимать гормоны в климакс";;"R-nEXyxW0Mw";"Лучшие таблетки при климаксе (менопауза), таблетки против ...";"http://xn--45-6lcpl1f.xn--p1ai/history/view/72-tabletki_pri_klimakse_lechim_bolezn/";"Если симптомы климакса ... Препараты при климаксе. ... это даже не гормональный препарат, но стало гораздо легче уже через месяц приема. Сейчас ...";"Препараты при менопаузе: для чего нужны, как действуют, как ...";"https://www.kp.ru/guide/preparaty-pri-menopauze.html";"17 янв 2018 ... Какие препараты принимать при менопаузе? Обзор гормональных и негормональных лекарств. женщина ... Средства при климаксе.";"Какие гормональные препараты принимать при климаксе";"https://mesyachnyedni.ru/klimaks/preparati/gormonalnie-preparati-pri-klimakse.html";"Существует несколько видов гормональных препаратов, которые назначаются при климаксе. Чтобы верно определить какой именно вид гормонов ..."
"1DEE4F01-D7C2-45F9-76A4-C92A8499A84F";"Домашние средства от боли в горле";;"RWaB_0EEL_s";"Народные средства от боли в горле. Лечение горла у взрослых в ...";"http://lechilka.com/lechenie-gorla-u-vzroslyh.html";"Боль в горле обычно является симптомом ангины или фарингита. Острую форму заболевания лечат у врача, а вот хроническую болезнь вполне можно  ...";"Болит горло. Лечение народными средствами. | Блог Алёны ...";"http://narodnayamedicina.com/bolit-gorlo-lechenie-narodnymi-sredstvami/";"12 янв 2014 ... Сегодня хочу раскрыть тему: болит горло, лечение народными средствами. Ведь народные средства всегда действеннее и ...";"Боль в горле: лечение, народные средства — Нармед. ру ...";"https://narmed.ru/bolezni/gorlo/bol_v_gorle";"16 авг 2011 ... Если боль в горле сопровождается повышением температуры тела, то это скорее всего фарингит или ангина. Реже боль в горле и ..."
"3CCEE591-62A7-95AF-284F-6B52832719B3";"Лечение инфаркта миокарда";;"jmBNONqyQFw";"Лечение и реабилитация после инфаркта миокарда | Жизнь ...";"http://www.cbcp.ru/bolezni/infarkt/lechenie-i-reabilitatsiya-posle-infarkta-miokarda/";"Лечение и реабилитация после острого инфаркта миокарда: как правильно осуществлять? Физические, упражнения, профилактика, специальные ...";"Инфаркт миокарда: клиника, диагностика, лечение | #02/09 ...";"https://www.lvrach.ru/2009/02/7144515/";"Острый инфаркт миокарда (ИМ) — клинический синдром, возникающий в результате повреждения сердечной мышцы при несоответствии между ...";"Инфаркт миокарда — Википедия";"https://ru.wikipedia.org/wiki/%25D0%2598%25D0%25BD%25D1%2584%25D0%25B0%25D1%2580%25D0%25BA%25D1%2582_%25D0%25BC%25D0%25B8%25D0%25BE%25D0%25BA%25D0%25B0%25D1%2580%25D0%25B4%25D0%25B0";"В настоящее время терапия инфаркта миокарда стволовыми ..."
