GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
2D11FD0B-85E5-444C-E950-AC75F2B15740;Как восстановить память у человека;;;;;;;;;;
2EFC0964-C3BE-EC40-39F2-3B66FF7ECFF8;Как уменьшить артериальное давление;;;;;;;;;;
54E4B9F9-A77B-4906-6C69-ED9CECA12C83;Как защитить себя от простуды и гриппа;erz8xTg8dIc;;;;;;;;;
784B07B4-D285-1DE9-AEE0-0A7BD99541E7;Как избавиться от грибка на пальцах ног;LDsM81PE3GA;;;;;;;;;
13416109-2F58-74F6-960E-BA1C3EFD6E39;Как избавиться от газов в желудке;;;;;;;;;;
C4D4C7BA-8C4B-8293-4C05-41C46098CC54;Как избавиться от гнойной ангины;;;;;;;;;;
3FC23E2F-E0DC-EFB3-66D5-A832895DB713;Как избавиться от межреберной невралгии;;;;;;;;;;
EC98B6A8-ADDD-3F1E-118F-E7C9DA9F8C82;Как защитить желудок от антибиотиков;;;;;;;;;;
43CEDBD7-9477-DA0E-9DCA-68731C8C0233;Как восстановить эластичность сосудов;1yUA-D8kF4o;;;;;;;;;
75608577-1009-6029-FB32-4BCE6DA44F7C;Как вправить вывих плеча;iNTFKm_JkUI;;;;;;;;;
D7BF416C-FAC6-B1B6-7C89-89D04C7B83EB;Как полоскать зуб содой;;;;;;;;;;
2C3B7A83-FD01-0661-A3CA-A23D8152B707;Как остановить тахикардию;z9OQZs6eoSY;;;;;;;;;
CE4BC0DB-577B-922D-25D5-3C7CAE81AFFF;Как вывести пыль из легких;_xxzSOfl41s;;;;;;;;;
11DCFD4D-955A-83F5-AB9F-0EDD46CD7460;Как уменьшить содержание холестерина;0eb3_GT0o24;;;;;;;;;
DCABA175-ABD6-BB0D-F499-19F9EF401026;Как устранить заложенность уха;;;;;;;;;;
C49BA0F6-2705-0360-4AAF-1C2965C8E64F;Как избавиться от никотина в легких;bKQsYXp3tUY;;;;;;;;;
70A8C161-F13B-5A30-E8F1-A450DB2F7245;Как избавиться от прыщей на глазу;;;;;;;;;;
5847D260-1B1B-6BA2-49CD-02F7EC9767C9;Как восстановить вегетативную систему;xvABBMNM6kQ;;;;;;;;;
CB23C9C8-577B-1D44-50B6-FE64BCE8F825;Как поднять уровень железа в крови;;;;;;;;;;
C048F4B9-D0B4-187A-B2AD-81B966EC7799;Как установить капельницу;;;;;;;;;;
3F538F2E-120A-8065-B8AE-09B1F3738866;Как бросить курить навсегда;;;;;;;;;;
368F635B-5E1C-FAE9-9543-14847E90B804;Как бросить курить за один день;;;;;;;;;;
A8317CB5-5165-4B68-63A7-BA884217B5E3;Как справиться с ожирением;;;;;;;;;;
4CEA1371-90BF-96D2-B0DB-53227ECD324D;Как отсрочить менопаузу;;;;;;;;;;
CFBC2597-C2D2-6678-38E9-ADF3AC4074F1;Как носить бандаж после операции;tzKcK9OnqBk;;;;;;;;;
56B83C35-F7FF-235F-D583-BCD1AFB6869F;Как избавиться от описторхоза;ZtivnJ6SzQ0;;;;;;;;;
BC191EA6-A8C0-3D7F-92EA-E9261DFE8AFE;Как избавиться от солей в спине;wpsMl6lOEqI;;;;;;;;;
101FE06D-2C48-2DA2-A18A-656C5308CBBF;Как избавиться от кисты без операции;mUSqC2LQwJc;;;;;;;;;
9D6A0BCD-197B-3B88-201D-C5AB882C1AFA;Как избавиться от хронического бронхита;;;;;;;;;;
8FD0D50C-51AC-FCD6-6D03-19C02C43DF47;Как восстановить функцию яичников;vuKzBZt1q1M;;;;;;;;;
6F01D61C-A582-8362-6AF1-AC51C8C71675;Как оздоровить сердце;_DiTNRhJX54;;;;;;;;;
106B69C8-5C69-0CF5-DB81-C8F9FFAFEEEA;Как снизить уровень адреналина;;;;;;;;;;
EB9A6CC3-E9D7-93B1-2B96-B66C65C29480;Как сорвать беременность;;;;;;;;;;
4804408E-E931-C715-401C-AE745949F8DD;Как оказать первую помощь;;;;;;;;;;
D54131AF-3E57-A5CC-1839-4959395AD4BE;Как убить нерв в 2018 году;CrE7sAmy2ZI;;;;;;;;;
