GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
B892481C-E1C6-B26C-4AE3-E38A030145DD;Как варить компот из вишни;kak-varit-kompot-iz-vishni;S0k5jN9ew6M;;;;;;;;;
CE3BBEB0-47DC-F51D-61D2-801D6053CC64;Как сделать компот из персиков;kak-sdelat-kompot-iz-persikov;;;;;;;;;;
561C3905-4452-0E7B-6F07-73132C6F0471;Как варить компот из смородины;kak-varit-kompot-iz-smorodiny;IODTetQa-WA;;;;;;;;;
AEF825F5-9800-8545-31CE-F4891D52F80C;Как готовить компот из красной смородины;kak-gotovit-kompot-iz-krasnoy-smorodiny;IODTetQa-WA;;;;;;;;;
AE53B590-946C-D598-81EF-B3364DF7B527;Как сделать компот из яблок или груш;kak-sdelat-kompot-iz-yablok-ili-grush;;;;;;;;;;
F5E62E55-24E6-7D50-B414-AF736182D84E;Как варить компот из яблок в 2018 году;kak-varit-kompot-iz-yablok;;;;;;;;;;
C0E66FFB-32F6-BA47-7AF9-5019DCF7EC5B;Как сделать из компота вино;kak-sdelat-iz-kompota-vino;;;;;;;;;;
AB5120A5-860D-AD57-1BAC-9F5B80C6D6D3;Как сделать компот из абрикосов и слив;kak-sdelat-kompot-iz-abrikosov-i-sliv;;;;;;;;;;
FF69970F-400F-38A7-8650-62516BAEC1DB;Как варить компот из шиповника;kak-varit-kompot-iz-shipovnika;;;;;;;;;;
8AE0E572-3BA0-2FFB-8A63-90B92674D77E;Как варить компот из изюма;kak-varit-kompot-iz-izyuma;jKI4P5_Wlu4;;;;;;;;;
85D4291C-FC31-7863-2A6F-24A1B51EE892;Как сделать компот из яблок, слив и винограда;kak-sdelat-kompot-iz-yablok-sliv-i-vinograda;;;;;;;;;;
97F9AAAE-943F-4EE6-F678-8F775A157101;Как сделать компот из смородины;kak-sdelat-kompot-iz-smorodiny;;;;;;;;;;
CF593409-DCB8-B722-3DF5-02FA23C84A94;Как сварить компот из чернослива;kak-svarit-kompot-iz-chernosliva;;;;;;;;;;
40F78554-3EEB-0683-CA8D-CC19CEDAC3EC;Как сварить компот из черноплодной рябины;kak-svarit-kompot-iz-chernoplodnoy-ryabiny;;;;;;;;;;
E6EBF90E-E759-328F-70B9-80E2D8F51F40;Компот из ранеток на зиму;kompot-iz-ranetok-na-zimu;;;;;;;;;;
2B947918-BE61-CD1A-2205-AF5CE5702A79;Как приготовить компот из тыквы;kak-prigotovit-kompot-iz-tykvy;;;;;;;;;;
080D88ED-0F92-0571-CE63-DC033BDF7315;Как сварить вкусный компот;kak-svarit-vkusnyy-kompot;2xtg7jk7JrE;;;;;;;;;
318673B5-603D-0F15-B10B-3DD25F8796EE;Как варить компот яблочный;kak-varit-kompot-yablochnyy;;;;;;;;;;
D82623FE-F1FA-4192-9BEC-3114E58578E8;Как сделать компот из яблок и мандаринов;kak-sdelat-kompot-iz-yablok-i-mandarinov;;;;;;;;;;
95AF62D7-18C7-2645-9CA0-5D794DF68470;Как сварить компот из айвы;kak-svarit-kompot-iz-ayvy-;;;;;;;;;;
47DB1AFF-02C8-AC03-EA3A-87CCD45BADB5;Клубничный компот с мятой;klubnichnyy-kompot-s-myatoy;;;;;;;;;;
82D978F2-20AD-DBBD-D1D9-443158B8049D;Как приготовить компот;kak-prigotovit-kompot;;;;;;;;;;
6F10745B-714F-7C1C-E063-5661CE3B60E1;Как сделать компот из малины;kak-sdelat-kompot-iz-maliny;7BLKw1NWS7s;;;;;;;;;
B22688E7-81B6-E1EE-4683-7CAD23A83EE8;Как приготовить компот из вишни;kak-prigotovit-kompot-iz-vishni;;;;;;;;;;
9E83344A-2F41-366C-B0E0-ABD29DE7628B;Как приготовить компот из сухофруктов;kak-prigotovit-kompot-iz-suhofruktov;;;;;;;;;;
204852CB-6AC9-049A-1409-F44D434AA942;Как варить компот из груш;kak-varit-kompot-iz-grush;jsXTyn08E_4;;;;;;;;;
86FC66C1-A7F6-7903-09AB-CCBCBE63CAA0;Как приготовить компот из яблок на зиму;kak-prigotovit-kompot-iz-yablok-na-zimu-;;;;;;;;;;
9826C252-7EF4-97DC-B2D5-56C4FBC96328;Как закатать компот из черноплодной рябины на зиму;kak-zakatat-kompot-iz-chernoplodnoy-ryabiny-na-zimu-;;;;;;;;;;
691294F7-92FD-5CFF-8AD4-1F8935662580;Компот из персиков &laquo;Медок&raquo;;kompot-iz-persikov-medok;;;;;;;;;;
AE048D84-A895-C8C7-85EF-240DA8545D54;Как приготовить компот из яблок;kak-prigotovit-kompot-iz-yablok;go6I4AYmvqA;;;;;;;;;
7464EEE3-37EE-BCD3-EC6E-3056C70F082A;Готовим компот на зиму в мультиварке;gotovim-kompot-na-zimu-v-multivarke;7BLKw1NWS7s;;;;;;;;;
61326711-858B-89A9-CEEE-68492B79384F;Как приготовить компот из персиков;kak-prigotovit-kompot-iz-persikov;;;;;;;;;;
05A25C19-31AD-607C-E07A-EACC4374AA82;Как сделать компот из яблок;kak-sdelat-kompot-iz-yablok;Y-JG0yDcNg8;;;;;;;;;
