GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
012B6A91-30EB-95B6-8367-41612F68FA8E;Как лечить ссадины;;;;;;;;;;
9B8F80CB-C575-B1BB-A7EF-576553980735;Как лечить протрузию диска;NFCYokjKmHw;;;;;;;;;
2C021E8B-6DEA-8E11-FD3C-5DEB631C47CB;Как лечить застуженный нерв;0TjorUPI2RA;;;;;;;;;
6E240567-0D35-F7F2-BEDE-6F58FC63E72B;Как лечить лучевой нерв;;;;;;;;;;
4058B405-6080-98A1-3AE7-6D95D934CF91;Как лечить воспаление глаз;;;;;;;;;;
99A9B642-2001-34D7-7ABC-8E265CC4C7AA;Как лечить полип желудка;UlWFo5z4K48;;;;;;;;;
D844013C-245A-3E19-9D56-D14DBBD780B7;Как лечить недостаточность кардии;;;;;;;;;;
5D19646A-F862-6D61-6E59-A090E62962F7;Как лечить кашель с мокротой у детей;W-J76umrbWE;;;;;;;;;
60D977BE-58CE-8E58-A730-C30A791C64FA;Как вылечить воспаленную родинку;;;;;;;;;;
7A7DA36A-B05F-808C-9ED9-304A60C13964;Как вылечить молочницу во рту;;;;;;;;;;
6EA7B8AE-ED27-6DF3-890F-2152A3E78B2E;Как лечить молочницу после приема антибиотиков;;;;;;;;;;
F807F030-F95D-D194-5E7D-FEC3BB3974F7;Как лечить ушиб ребра;BbEjAXN-3YU;;;;;;;;;
3619213A-D53E-AFDB-0220-6F893BB704DC;Как лечить ушиб стопы;zlztSwVDtCs;;;;;;;;;
C4B18D23-52E7-07BA-B2FC-1DF6FE0C7B07;Как лечить шишки на лбу;;;;;;;;;;
0A0CCCAB-5F00-D06B-56C8-C3A347F96B70;Как лечить воспаление сухожилия;;;;;;;;;;
DB8EC6B5-1798-732C-BADD-05F3CCF83C54;Как лечить седалищный нерв;zlztSwVDtCs;;;;;;;;;
4529E5C8-817B-F472-7922-9E2A7A84569C;Как лечить защемление;;;;;;;;;;
3735864A-FB35-4710-BD77-837E8071E089;Как лечить ушиб головы;;;;;;;;;;
3B54AC29-A1FE-E5C2-69DA-B01345C6E341;Как лечить косточки на большом пальце;;;;;;;;;;
A8328B1A-4BA6-FBFD-533F-0A07AFB59C89;Как лечить трещину кости;;;;;;;;;;
5BDC3F44-7E4A-DFF4-AC8B-59AA5796B62F;Как вылечить частое мочеиспускание;;;;;;;;;;
3082E0FB-9F9A-7605-4A89-97244AA1F49E;Как лечить мастит у коров;BQ0HZ1qvG6g;;;;;;;;;
59075C0A-AF99-D9F0-6933-BE08E8C6E621;Как лечить спазмы кишечника;ttvMvI1bxjs;;;;;;;;;
A5D384AF-2B2C-0120-231D-45A2703AA91C;Как лечить плешь на голове;9UcsLJrXMqE;;;;;;;;;
E7BE817D-30FE-46FA-5222-181C1BFA7F34;Как лечить шишки в ушах;;;;;;;;;;
6D67A09A-36B0-BFC3-3AF1-87B89B966F2A;Как лечить гарднереллу;1amxdEj6zWQ;;;;;;;;;
143E02C0-35E3-DD5F-462C-620A235FE503;Как вылечить заложенность ушей;;;;;;;;;;
EDB18D4B-69A2-BBFA-40DF-85857963994C;Как лечить астено-невротический синдром;hVPxk8XPHtA;;;;;;;;;
6BAAEE7E-54B1-187D-D189-0597CB9BE144;Как лечить треснувшие пятки;4PMiVpMqa88;;;;;;;;;
89E52C7E-941A-DB31-499D-593155093CFE;Как лечить внутричерепное давление у взрослых;KHqWhk2cGmk;;;;;;;;;
E62C03A1-EF3A-502C-5FB4-D85830D0F423;Как лечить воспаление слюнной железы;JlhQVTec-Rw;;;;;;;;;
D725C22B-D741-2038-57C1-12ADBDF1E7FF;Как лечить аллергические высыпания на коже;yyRgkK5jFac;;;;;;;;;
3532D364-FC85-D602-FAA3-606DA93B6969;Как лечить флюс;h0zl5UL2pJ8;;;;;;;;;
AF2F42F6-3BC6-DC68-B3E2-64D522EC0C19;Как лечить сигмовидную кишку;;;;;;;;;;
C40E100C-2DEB-8EC6-A42F-6FA14E8A7A05;Как вылечить ушиб колена;;;;;;;;;;
AEEAC0CB-A69E-BD61-21A3-D200819B4552;Как лечить стрептодермию;;;;;;;;;;
14551442-817C-0C26-3300-08FA4FC51C90;Как лечить эрозию пищевода;;;;;;;;;;
982859E8-F91B-2D8A-0BE4-6E5D4B8604AC;Как вылечить розовый лишай быстро;px8tdNDiaQA;;;;;;;;;
4C68C9A8-2870-EF93-3E1D-C6C5715A1AC5;Как лечить микроинсульт;;;;;;;;;;
BAAD661A-65AB-AE0A-8102-5D3B2826079C;Как вылечить стоматит на языке;;;;;;;;;;
16446B13-0A62-4244-F4D9-25F27DC91268;Как быстро вылечить стоматит;57E_82kFerA;;;;;;;;;
2377CEBE-5B36-3460-BBF6-0557040D4CC7;Как лечить шишку на голове;;;;;;;;;;
0865DFD0-F905-923F-60A6-5361DE17185D;Как лечить застуженную шею;lV76iAR_QoU;;;;;;;;;
FB7358AA-A498-679E-FA18-53B080083FEC;Как лечить подкожного клеща у кошки;Gpfi_b5VHJg;;;;;;;;;
5C197C3B-92C2-ED1E-AB91-99D08BEB1C69;Как лечить лицевой клещ;;;;;;;;;;
79991558-5032-7B6E-6D30-DADF002B750D;Как лечить потрескавшиеся пятки;;;;;;;;;;
7A391BCA-DA6A-43AD-9920-429133203978;Как лечить стрептодермию у взрослого;;;;;;;;;;
CA7D505F-7B95-23D4-89D3-965081359C83;Как лечить кандидоз полости рта;;;;;;;;;;
82921190-2E49-3B7A-78D9-1FE395A31ABF;Как вылечить воспаление мочевого пузыря;;;;;;;;;;
508123EC-BE81-B3B9-4B40-237F2928B2DC;Как лечить коклюш у взрослых;;;;;;;;;;
C1966571-E6D2-0EFB-FE8F-A62C7D5F8D4E;Как лечить десны после удаления зуба;dcyS1uKGZKU;;;;;;;;;
30068AF0-DFBD-058F-70C2-F382672BFD9C;Как лечить тремор рук;U6TqaH-WqCI;;;;;;;;;
3CC16A53-FC91-D4EF-B0C4-99A9844950BE;Как лечить заложенность носа;7twt5K8E4pA;;;;;;;;;
4728D029-DB46-6454-2A3D-5FAAF49ED35B;Как лечить ушиб пальца на руке;Fibvg1BLQP8;;;;;;;;;
E25D207D-2F9C-88AA-8D13-A73A30C6DCA1;Как лечить себорейный дерматит лица;ZhVnGYolYwA;;;;;;;;;
1B266F2C-4975-673C-7C78-EA9BE9B0AF63;Как лечить себорею на лице;jmwqMMMZBh4;;;;;;;;;
76124D62-3F72-7FC2-B7A4-658129988F74;Как лечить мужскую молочницу;ftBf8FgVKgo;;;;;;;;;
D8731BC9-1B25-9B62-559B-C494F26EE450;Как лечить фарингит;bibETtwkTa8;;;;;;;;;
9CA3B40F-2261-7EF5-8310-319169181C4F;Как лечить гланды;NpeHYDqKNnU;;;;;;;;;
4F761004-4647-607A-31F2-BE551CA2ECB1;Как лечить жировой гепатоз печени;;;;;;;;;;
CD08A7DB-FFCA-70D6-0841-F84E1037DA73;Как вылечить пяточную шпору в домашних условиях;9pAgi9w0vB8;;;;;;;;;
A1021EBB-354A-C275-BDCD-B19162EB880F;Как лечить застуженные зубы;onq4-csSqOA;;;;;;;;;
2490EF14-9308-EB8A-3C23-AA1B7264646C;Как лечить горечь во рту;fVuarXYXpHU;;;;;;;;;
A9D20D42-26C1-02F6-7FFA-DD1E269A4756;Как лечить отравление желудка в 2018 году;WjEQLy1mF5c;;;;;;;;;
0192E391-370A-B754-4F8E-5A01576CAA08;Как лечить аллергическую сыпь;;;;;;;;;;
39C6225D-D014-E23D-4486-819243073385;Как лечить грыжу желудка;;;;;;;;;;
715BD6D7-A8FF-7E9E-5690-405D2A9FE983;Как лечить боль в локтевом суставе;x5E8gmJSrvs;;;;;;;;;
522A8ACE-F271-9C59-B4B8-83D498079232;Как лечить шишки на руках;z-k448lj9u8;;;;;;;;;
8FEEFA40-ED4A-82E1-DFA9-7BEA4728C219;Как лечить локтевой бурсит;ep5t9uUrbxI;;;;;;;;;
C4822C5D-B443-EF0A-0955-30EF5E19ACF8;Как лечить загиб матки;;;;;;;;;;
B1C5C4B2-8C30-123D-ACC5-76D9241E1904;Как быстро вылечить фингал;;;;;;;;;;
D4B31FF1-41DC-34D2-D625-FFACDC2A6489;Как лечить тройничный нерв;xawwEzx-ZgE;;;;;;;;;
F65E27DD-2792-80CC-E482-611A7E610601;Как лечить простатит в 2018 году;lbZnKCyV5Mk;;;;;;;;;
81F796D2-7AEF-4005-2474-6146060410E6;Как лечить открытую рану;IC5n-X2qq3k;;;;;;;;;
