GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
8A601780-7D5A-6B54-971F-FD76B2BCE927;Как снизить уровень креатинина в крови;kak-snizit-uroven-kreatinina-v-krovi;kEL0OW1MNPw;;;;;;;;;
7ABADB60-D36C-0756-0751-A46749C5C2AA;Как избавиться от засоса;kak-izbavitsya-ot-zasosa;;;;;;;;;;
89EF8C38-2145-5271-4DD3-5D71FD070C3C;Как снять отек с глаза от удара;kak-snyat-otek-s-glaza-ot-udara;LHIZ34-RMBg;;;;;;;;;
EF046CAD-4AF9-C21F-7B92-E527201B053A;Что делать, если опух палец;chto-delat-esli-opuh-palec;;;;;;;;;;
CD7CC589-C3F5-D115-2ED0-F7648196BEF6;Как укрепить стенки кровеносных сосудов;kak-ukrepit-stenki-krovenosnyh-sosudov;GjUBB8t0a2E;;;;;;;;;
A9DC2D13-8AC5-E3FA-AE1F-9908FBA710B4;Как снять опухоль после удаления зуба;kak-snyat-opuhol-posle-udaleniya-zuba;onM3ICugyTo;;;;;;;;;
5D901C6B-980D-87D6-018D-E5E2384F78D0;Как снять опухоль колена;kak-snyat-opuhol-kolena;;;;;;;;;;
19E0AF0F-71C2-E283-FB1C-7751D68B3EBA;Как снизить пролактин народными средствами;kak-snizit-prolaktin-narodnymi-sredstvami;Q6JmjVOh3v0;;;;;;;;;
D60FA9FB-00E7-C1E7-CA5E-A36110CA0BAC;Как использовать аппликатор Кузнецова;kak-ispolzovat-applikator-kuznecova;Q2S5X6Un_rg;;;;;;;;;
37E6D7AE-AC4D-0AC1-A007-3D6E2859482A;Как убрать холестериновые бляшки;kak-ubrat-holesterinovye-blyashki;CKOHnfJ_TSE;;;;;;;;;
26E3BCDA-3E10-7B4B-1E4C-07A5F570E8D9;Как лечить застуженную голову;kak-lechit-zastuzhennuyu-golovu;jj8Qwte0Mas;;;;;;;;;
55E2929C-D5A2-83FD-F5F0-D9D714851E43;Как вывести вшей керосином;kak-vyvesti-vshey-kerosinom;;;;;;;;;;
695FB803-1644-A72E-39C0-D8069E1E716B;Как лечить внутричерепное давление у взрослых;kak-lechit-vnutricherepnoe-davlenie-u-vzroslyh;KHqWhk2cGmk;;;;;;;;;
ABFCFD03-CB65-045B-901D-AB209DE053F6;Что делать, если шатаются зубы;chto-delat-esli-shatayutsya-zuby;;;;;;;;;;
2C77BDC6-3D5A-EF42-D03F-1C0CB6A72D06;Как избавиться от волос на животе;kak-izbavitsya-ot-volos-na-zhivote;;;;;;;;;;
8EEA4B65-0091-4B25-5329-A35AD1A14598;Как избавиться от бурления в животе;kak-izbavitsya-ot-burleniya-v-zhivote;T-Qos6wlDcw;;;;;;;;;
01D45124-7705-ECFB-93E6-DB78838B728E;Как избавиться от тошноты;kak-izbavitsya-ot-toshnoty;;;;;;;;;;
52445F10-8B59-2318-C80A-BA55F74313F7;Как избавиться от бляшек в сосудах;kak-izbavitsya-ot-blyashek-v-sosudah;;;;;;;;;;
3153F9E0-7BDB-E0B1-2812-77F311495DEE;Как избавиться от шипов на ногах;kak-izbavitsya-ot-shipov-na-nogah;;;;;;;;;;
5293890A-C874-7312-228E-46197BD4CDC3;Как употреблять пивные дрожжи;kak-upotreblyat-pivnye-drozhzhi;gIJph1t0fGg;;;;;;;;;
61ACCD30-3A8D-61CF-5537-2C1A75E158CB;Как лечить пузыри при ожогах;kak-lechit-puzyri-pri-ozhogah;;;;;;;;;;
503E8A29-AB85-AF47-8F8E-0E777E9B3D87;Как облегчить боль при ожоге;kak-oblegchit-bol-pri-ozhoge;mjtpPJibwaE;;;;;;;;;
A0003D9E-8290-E468-BA6D-2FB7769A662A;Что делать, если пропало обоняние;chto-delat-esli-propalo-obonyanie;;;;;;;;;;
6B6BAAB9-8EED-7629-4BCE-B22693ABB8C6;Как снизить почечное давление;kak-snizit-pochechnoe-davlenie;oaBFRxnx1mo;;;;;;;;;
23128F90-DBC9-9A3D-6D44-ACC72F4B4A59;Как применять бодягу;kak-primenyat-bodyagu;a7gqn2nSkws;;;;;;;;;
D2E2B8BB-BB86-951C-DEC5-C2C24FB0B04B;Как вывести щетинку;kak-vyvesti-shchetinku;;;;;;;;;;
4E3DE491-6D8F-59D3-F2FD-D7FDB79685EF;Как лечить загиб желчного пузыря;kak-lechit-zagib-zhelchnogo-puzyrya;;;;;;;;;;
644EC475-A517-6906-99B1-D3D285AD6CEB;Как заваривать льняное семя;kak-zavarivat-lnyanoe-semya;;;;;;;;;;
24977A1A-4E23-1E3E-89E5-1F2BA7FE2EF1;Как пить семя льна;kak-pit-semya-lna;;;;;;;;;;
325E536E-5A8E-C3DC-D6C7-FF5949F6BCDA;Как избавиться от алкоголизма народными средствами в 2018 году;kak-izbavitsya-ot-alkogolizma-narodnymi-sredstvami;y3iO09ypceg;;;;;;;;;
EAEE93E4-83A2-EB40-FD30-4FF725CAF2C3;Что делать, если очень сильно выпадают волосы;chto-delat-esli-ochen-silno-vypadayut-volosy;qM3W4Oj1wBc;;;;;;;;;
9852BF53-31AB-38D7-2FE6-7518E13DEE4B;Как избавиться от алкоголизма;kak-izbavitsya-ot-alkogolizma;MtxN98wbHPk;;;;;;;;;
FCDC0CDC-4A51-90F7-C8FF-4E4F4114930C;Как принимать боровую матку при миоме;kak-prinimat-borovuyu-matku-pri-miome;GfqJ7bQBqs4;;;;;;;;;
4540B20E-346C-3CDB-AD2A-57D52CA063DD;Как восстанавливаться после химиотерапии;kak-vosstanavlivatsya-posle-himioterapii;rGQkpHT7ZTE;;;;;;;;;
81ACBE2B-CC58-7399-E76E-ABDD06BC1E66;Как поднять лейкоциты для химиотерапии?;kak-podnyat-leykocity-dlya-himioterapii;;;;;;;;;;
D776B10B-8426-C630-6B0F-0ADDE33D71F0;Как лечить охрипшее горло;kak-lechit-ohripshee-gorlo;4d7VX-DV20c;;;;;;;;;
E83A0BC4-9E47-2676-650A-01224AB19B27;Как лечить осипший голос у ребенка;kak-lechit-osipshiy-golos-u-rebenka;;;;;;;;;;
6E53A56B-84BA-54D7-6B53-2181BB40C75F;Как пить брусничный лист;kak-pit-brusnichnyy-list;FidUuzK0dMA;;;;;;;;;
5BB6859E-A250-00FA-367E-AC9A8B5D2314;Как принимать перепелиную скорлупу;kak-prinimat-perepelinuyu-skorlupu;;;;;;;;;;
11CD8871-A9F2-5E8A-1389-684CDDF644F3;Как готовить перепелиные яйца;kak-gotovit-perepelinye-yayca;7JejO7b-BS8;;;;;;;;;
F8D75BC8-A33E-B954-9DD7-EC24A47BC07C;Как лечить нарыв на ноге;kak-lechit-naryv-na-noge;KBzCzgI8spM;;;;;;;;;
C62FD256-0552-DE99-439C-D457DC38F515;Как приготовить льняной отвар;kak-prigotovit-lnyanoy-otvar;iKTVSIf0fiU;;;;;;;;;
90219D5C-35ED-769B-E587-8ACE7BD36CB6;Как приготовить овсяный отвар;kak-prigotovit-ovsyanyy-otvar;1bjMs7OA9qw;;;;;;;;;
2699D8B0-C91E-98D2-EB30-0773B218CF6A;Как избавиться от зуда;kak-izbavitsya-ot-zuda;FmaZ5AF497c;;;;;;;;;
C41D53C8-22DB-EDF8-7073-B83738F7C0AE;Как заваривать гранатовые корки;kak-zavarivat-granatovye-korki;;;;;;;;;;
A2032AEC-08F8-50F0-98AB-2D0C34FB958D;Как лечить звон в голове;kak-lechit-zvon-v-golove;;;;;;;;;;
149EE186-EC39-A368-A9D1-79F162D33A71;Как лечить паховую эпидермофитию;kak-lechit-pahovuyu-epidermofitiyu;;;;;;;;;;
DE3908D9-9D32-3A29-60C6-6C56CFFD4BAA;Как снять спазмы головы;kak-snyat-spazmy-golovy;;;;;;;;;;
DB5CEAA1-D92C-1536-07D4-149D81EF7017;Как лечить шум в голове;kak-lechit-shum-v-golove;HokgtY7Mizg;;;;;;;;;
3F45EC29-1ADF-4E82-B0B8-AE7865BD0163;Как избавиться от гноя в горле;kak-izbavitsya-ot-gnoya-v-gorle;;;;;;;;;;
043A09F1-B77C-DDBF-52C1-14471F60A26F;Как принимать валерианку;kak-prinimat-valerianku;AYD1U6KRbIw;;;;;;;;;
8A6C65BB-9E3E-C2E6-7D52-BDF6F04CBE99;Как восстановить десны;kak-vosstanovit-desny;;;;;;;;;;
0DE41AD4-7786-751B-BA93-DBEDA4AB9F10;Как снять отек десны;kak-snyat-otek-desny;GgJ3DZQqa1Y;;;;;;;;;
D56C1970-CCD7-9A9B-BBAA-3D2E529CA48E;Как вылечить ушиб ноги;kak-vylechit-ushib-nogi;onQTtO4k37o;;;;;;;;;
D4FC59A6-DFF5-2A88-DCDB-42CC1638E6CC;Как лечить боли в селезенке;kak-lechit-boli-v-selezenke;FlZAUj1usp4;;;;;;;;;
ECB1C952-B304-D207-DD85-306D2D8FE1F5;Почему болит селезенка;pochemu-bolit-selezenka;dpkGm-b66Rk;;;;;;;;;
7FD33E7A-251A-381C-F8DB-B3077794DA4D;Как улучшить зрение за один день;kak-uluchshit-zrenie-za-odin-den;ZdTL0mhZWIE;;;;;;;;;
53F32760-AC4C-9F25-3169-2AB6E84A8544;Как лечить сорванный голос;kak-lechit-sorvannyy-golos;WuHfH1Xw9pY;;;;;;;;;
CFB747A6-45A7-9F3C-A6A2-04E5514DA7D1;Как вылечить болячки на лице;kak-vylechit-bolyachki-na-lice;voQrUN16E0c;;;;;;;;;
688B37FE-18A9-9132-9215-A3991A3307A7;Как лечить почечное давление;kak-lechit-pochechnoe-davlenie;;;;;;;;;;
29707AC8-0007-188B-A4EF-DDAF1D857BF3;Как избавиться от папиллом народными средствами;kak-izbavitsya-ot-papillom-narodnymi-sredstvami;;;;;;;;;;
05FBFC0E-58AC-1FD4-2EF1-06FC9FB0ABB5;Как удалить папиллому;kak-udalit-papillomu;RNhQkaOUC0Y;;;;;;;;;
88330889-078E-C4B5-5BFF-6B9CF420B099;Как лечить пробки на миндалинах;kak-lechit-probki-na-mindalinah;1qtYG2KTBko;;;;;;;;;
514F8996-65ED-316A-EBFF-D592D489C798;Как лечить гнойные пробки в горле;kak-lechit-gnoynye-probki-v-gorle;;;;;;;;;;
131D17AD-A38D-073F-2161-EC28B0EEB182;Как почистить кишечник;kak-pochistit-kishechnik;;;;;;;;;;
42F451F9-6641-B246-EA3C-50D06B4755CF;Как принимать масло черного тмина;kak-prinimat-maslo-chernogo-tmina;_HPGkmAqpRY;;;;;;;;;
37982381-C0CD-B580-DF98-8F5A4467F594;Как избавиться от подкожного жировика;kak-izbavitsya-ot-podkozhnogo-zhirovika;;;;;;;;;;
A1B805D0-8397-155E-2218-9FB87770E298;Как удалить жировики на веках;kak-udalit-zhiroviki-na-vekah;yK9jkzMFDX0;;;;;;;;;
61079861-FBE6-31DE-2830-63CBA823A622;Как выйти из запоя;kak-vyyti-iz-zapoya;lnl6IB8c-cc;;;;;;;;;
208C497D-1CA2-55D4-1F3F-874A03AE88D4;Как избавиться от синяка под глазом народными средствами;kak-izbavitsya-ot-sinyaka-pod-glazom-narodnymi-sredstvami;;;;;;;;;;
214AEA18-9474-1BAD-38C2-310B4A77988D;Как принимать настойку пиона;kak-prinimat-nastoyku-piona;;;;;;;;;;
701F7455-455A-2767-D23B-AF8CE80C03F0;Как лечить кисту в щитовидной железе;kak-lechit-kistu-v-shchitovidnoy-zheleze;o2hQkdfYJHE;;;;;;;;;
1C0A6B5E-91D2-4BA9-3D75-432C4920D193;Как избавиться от заикания;kak-izbavitsya-ot-zaikaniya;chXPsYpUREg;;;;;;;;;
865975CA-A2AD-7036-19FA-7C80D3A6C8C2;Как очистить печень от токсинов в 2018 году;kak-ochistit-pechen-ot-toksinov;;;;;;;;;;
2ECF0C16-6D18-4F7B-984E-60F61EB797F1;Как избавиться от белых пятен на теле;kak-izbavitsya-ot-belyh-pyaten-na-tele;;;;;;;;;;
2D0DEAB7-BBBB-39BD-B3AD-0D5404D7447C;Как заваривать корень лопуха;kak-zavarivat-koren-lopuha;;;;;;;;;;
33B72F4D-4BB4-BB47-9694-DD689C3F7F8E;Как сделать пояс из собачьей шерсти;kak-sdelat-poyas-iz-sobachey-shersti;MZR1ILo-qbo;;;;;;;;;
EF545B9A-BDDC-C1F5-15E1-8E9E5E0F028C;Как приготовить настойку боярышника;kak-prigotovit-nastoyku-boyaryshnika;ouJcXgNuRXM;;;;;;;;;
EC6928CC-3051-BA3F-B6A1-A07E08B71D80;Как избавиться от папиллом;kak-izbavitsya-ot-papillom;MxdVUauCgv8;;;;;;;;;
5E8D6E7C-7CB9-DB8B-BF9A-C5B06A64F26D;Как лечить сухость в горле;kak-lechit-suhost-v-gorle;mZKkoH3KiSI;;;;;;;;;
CE934345-8D25-27FF-F638-366BED46C02F;Как удалить пробки в горле;kak-udalit-probki-v-gorle;03ZRBt8y30s;;;;;;;;;
BE8C0E93-E21B-DE78-4F34-C4F91D0E252F;Как лечить синегнойную палочку;kak-lechit-sinegnoynuyu-palochku;;;;;;;;;;
4B72C429-9717-EE44-C1BD-618F702823E3;Как вылечить эрозию желудка;kak-vylechit-eroziyu-zheludka;Q08I9k1re20;;;;;;;;;
050C153B-9B90-BC00-83A8-2F51F57A3B7B;Как лечить эрозию пищевода;kak-lechit-eroziyu-pishchevoda;;;;;;;;;;
95795BBF-738C-20E3-B23C-E4F08024A0C5;Как применять элеутерококк;kak-primenyat-eleuterokokk;Svfw0P0TpG4;;;;;;;;;
32DDA082-7CE1-B8A8-87EB-A29B565E4BC9;Как вылечить заложенность носа народными средствами;kak-vylechit-zalozhennost-nosa-narodnymi-sredstvami;cY_bbTZ8CpU;;;;;;;;;
110996D8-975D-18F6-CB69-CA66A3D6AED6;Как снять заложенность носа у ребенка;kak-snyat-zalozhennost-nosa-u-rebenka;;;;;;;;;;
751E2C77-944D-1114-498F-52D4F8C62573;Как снять заложенность уха;kak-snyat-zalozhennost-uha;;;;;;;;;;
4AAFF24D-D1B8-F26D-7CF4-26AF0E0F1637;Как снять отек при растяжении;kak-snyat-otek-pri-rastyazhenii;;;;;;;;;;
C64D4FE3-92DB-5C22-21E9-7FB9923C460F;Как снять отек колена;kak-snyat-otek-kolena;;;;;;;;;;
2029B7CC-C96E-5A60-114C-0FBD80FDDDAB;Как вылечить герпес у ребенка;kak-vylechit-gerpes-u-rebenka;;;;;;;;;;
29A1EEC4-E08C-419F-EB8E-E02CC55F6D49;Как лечить лишай народными средствами;kak-lechit-lishay-narodnymi-sredstvami;hRFxPsk65JI;;;;;;;;;
5FE6FBE6-74B0-4E66-A877-B246586DCB48;Какие могут быть осложнения после лечения герпеса на губах;kakie-mogut-byt-oslozhneniya-posle-lecheniya-gerpesa-na-gubah;zmlU-5UUmN0;;;;;;;;;
