GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
A19CCF68-01D8-E402-BB01-D06FAB245827;Какой приготовить соус для риса;vWGdxod6rEo;;;;;;;;;
BA18DD30-234C-778D-7DA2-B308A932F332;Как готовить томатный соус и томатную пасту;W5HnEymqcjk;;;;;;;;;
6EC02F26-E086-3DFA-C308-D3206DA3B044;Как приготовить соус песто в домашних условиях;;;;;;;;;;
67F42A8E-1333-8C48-7629-A29A68732589;Как приготовить соус из помидоров;;;;;;;;;;
66CB387B-AE79-DDE9-15C9-3450F7567423;Как приготовить соус ткемали;;;;;;;;;;
17B48AD4-9812-62D4-F449-79BD89E9610E;Как приготовить сырный соус;CU7xB7vActo;;;;;;;;;
5183E976-E0F5-8337-98A3-C12E08F72452;Как приготовить соус для шаурмы;;;;;;;;;;
EDD17DFA-5690-5C49-5946-2807F711D345;Как приготовить сливочный соус к макаронам;7CDJIyGJIu4;;;;;;;;;
B2913A8C-FDEB-0226-6260-69C75F80E252;Как приготовить соус для голубцов;3j5OX4vAj9g;;;;;;;;;
89CACC0B-E308-90EB-4EAE-6BF92BA59F4E;Как приготовить соус брусничный;#NAME?;;;;;;;;;
A08D07CB-BAEE-F9C9-50AF-EE6550443A53;Как сделать соус "Тысяча островов";W2uvL4BIEBU;;;;;;;;;
45AAB93D-C0A3-04FD-ED2B-CC54178935CA;Как приготовить томатный соус для спагетти;HjZ4uPvrb5s;;;;;;;;;
E1C7989A-09A1-79E7-F1F7-1001AFF77F8C;Как приготовить соус из сливок;HPLzUs1T5Ss;;;;;;;;;
AFB7C470-BC51-2609-B3C7-685B26E4E729;Как сделать томатный соус;Pu_lqVXK1MQ;;;;;;;;;
22787EE2-C7F6-714F-2F57-2E449977E806;Как приготовить соус к курице;k0R4DCRkWfA;;;;;;;;;
A39B5E51-1073-3643-8D56-031125EBB0AF;Как приготовить соус для шашлыка;;;;;;;;;;
AC97E803-5654-D544-5CDC-ECE637E61F0C;Как приготовить соус к спагетти;KXhO_3-v6ro;;;;;;;;;
55C5D86A-EEA6-CF49-C087-8F598E1732F1;Как приготовить кисло-сладкий соус;he-mI5LmGNo;;;;;;;;;
F3D299CE-AB28-B97D-060F-E5023F407FF0;Как приготовить карамельный соус;G0HL8LiUFOE;;;;;;;;;
E0DFD753-019E-0A9F-EAF4-4E1F33B676E9;Как приготовить кисло-сладкий соус для мяса;Srk1xxxOrao;;;;;;;;;
9E3DA97B-E9B7-52A6-6352-6EF44B9C4683;Как приготовить соус спайс;;;;;;;;;;
086F5DD6-1CE3-43D7-E2A7-3CCE8375189E;Как приготовить спайси-соус;ftLcl0Y4Xm0;;;;;;;;;
66AC65F2-A1A8-EE5E-E143-FD314A48AC83;Как сделать мексиканский соус "Сальса";;;;;;;;;;
BC49626A-8376-B4B5-02E7-B32FE2331249;"Томатный соус &quot;По-индийски&quot;";;;;;;;;;;
0BC44C73-6F4D-E3E9-608F-BC41F9360F78;Как приготовить соус маринара;;;;;;;;;;
35730817-01CE-8E37-DD66-101ECD3B8E7A;Соус Болоньезе;;;;;;;;;;
C2A783FE-3DEA-FA85-B5B8-6954E9C14EBD;"Соус &quot;Сальса&quot;";;;;;;;;;;
AC07A19B-CEDA-CEAB-16F9-28D835BD7D0A;Как приготовить соус для брокколи;YuK4zFmMaBA;;;;;;;;;
0BED889D-9C85-BC7E-8FA1-25A9DBBE06AE;Как приготовить соус к картофельному пюре;;;;;;;;;;
06A4749E-EF6A-19BF-8C6B-F1CAA384A15A;Как приготовить кефирный соус;QLdpXtmQDZk;;;;;;;;;
