GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
3F270EA3-3B18-4AC4-F1FA-A2E1E723DBF8;Как сварить варенье из черной смородины;P9RdeOdb2w4;Как правильно варить варенье из чёрной смородины;http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/iz-chernoj-smorodiny-2.html;<p>Несколько рецептов чёрносмородинового варенья на зиму</p>;Как приготовить варенье из чёрной смородины;http://chudo-povar.com/varene-iz-chernoj-smorodiny.html;<p>Рецепты на зиму: варенье из чёрной смородины.</p>;;;
55B28328-048A-2467-450F-938668BCAD64;Как приготовить варенье из брусники;;;;;;;;;;
0A966E22-0B95-BA49-E41D-E01595A88FD6;Как варить варенье из красной и белой смородины;Eh6pd77IUd0;Варенье из белой смородины;http://notefood.ru/retsepty-blyud/zagotovki/varenie-iz-beloj-smorodiny.html;<p>Как сварить варенье из белой смородины</p>;Варенье из белой смородины;http://sadyrad.ru/smorodina/varene-iz-beloj-smorodiny.html;<p>Вкусное варенье из белой смородины</p>;;;
D2CE7632-310A-88E2-2D78-80E496B839DF;Как готовить королевское варенье из крыжовника;Cs3IeSOs3LA;Как приготовить вкусное варенье из крыжлвника;http://ivona.bigmir.net/cooking/toowners/361471-Varen-e-iz-kryzhovnika-s-apel-sinom-na-zimu;<p>Варенье из крыжовника с апельсином</p>;28 Рецептов варенья из крыжлвника;https://zhenskoe-mnenie.ru/themes/retsepty/varene-iz-kryzhovnika-kak-pravilno-varit/;<p>Рецепт вкусного варенья из крыжовника.</p>;;;
2ABD27F7-63D5-4505-0DC7-2267A5F54B2C;Как варить яблочное варенье;jj0x7XLtsXA;Несколько вкусных рецептов варенья из яблок;https://kedem.ru/zagotovki/varenye-iz-yablok/;<p>Как сварить варенье из яблок</p>;Варенье из яблок;http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/yabloki/dolkami-yantarnoe.html;<p>Как сварить прозрачное варенье из яблок дольками</p>;;;
E8F5C1C6-29B2-A2C8-125D-FE5F7542845D;Как готовить варенье из малины;O_Q7r42X7xk;Малиновое варенье;https://zhenskoe-mnenie.ru/themes/retsepty/varene-iz-maliny-kak-pravilno-varit-malinovoe-varene/;<p>Как сварить вкусное малиновое варенье</p>;Вкусное варенье из малины;https://shkolazhizni.ru/meal/articles/55861/;<p>Рецепт простого варенья из малины</p>;;;
34B33AFD-AA26-BAC1-0667-7984377F3B32;Как приготовить варенье из яблок и лимонов;b_j-CxDrV_w;Вкусное варенье из яблок и лимона;http://www.woman.ru/home/culinary/article/86392/;<p>Как правильно сварить варенье из яблок и лимона</p>;Варенье из яблок и лимона;http://www.iamcook.ru/showrecipe/4313;<p>Рецепт варенья из яблок и лимона</p>;;;
5978A6E4-7921-EC2F-18B3-3ADBE210DA73;Как сварить варенье из терна;YFleD60k01k;;;;;;;;;
78734750-0F3E-1B3E-4201-44BB693317FD;Как приготовить варенье из черной смородины;VNUZkpLMUqg;Как приготовить варенье из чёрной смородины;http://amamam.ru/varen-e-iz-chernoj-smorodiny-pyatiminu/;<p>Рецепт пятиминутка - варенье из чёрной смородины</p>;Как приготовить варенье из смородины без варки;http://vegetarianrecept.ru/konservirovanie/varene/smorodina-protertaya-s-saharom.html;<p>Быстрый рецепт смородинового варенья</p>;;;
3032C1E2-AB26-AAD1-F705-3785C98191D3;Как сварить вкусное варенье из облепихи;61HV0m8GieE;;;;;;;;;
