GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
3F270EA3-3B18-4AC4-F1FA-A2E1E723DBF8;Как сварить варенье из черной смородины;kak-svarit-varene-iz-chernoy-smorodiny;P9RdeOdb2w4;Как правильно варить варенье из чёрной смородины;http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/iz-chernoj-smorodiny-2.html;<p>Несколько рецептов чёрносмородинового варенья на зиму</p>;Как приготовить варенье из чёрной смородины;http://chudo-povar.com/varene-iz-chernoj-smorodiny.html;<p>Рецепты на зиму: варенье из чёрной смородины.</p>;;;
55B28328-048A-2467-450F-938668BCAD64;Как приготовить варенье из брусники;kak-prigotovit-varene-iz-brusniki;;;;;;;;;;
0A966E22-0B95-BA49-E41D-E01595A88FD6;Как варить варенье из красной и белой смородины;kak-varit-varene-iz-krasnoy-i-beloy-smorodiny;Eh6pd77IUd0;Варенье из белой смородины;http://notefood.ru/retsepty-blyud/zagotovki/varenie-iz-beloj-smorodiny.html;<p>Как сварить варенье из белой смородины</p>;Варенье из белой смородины;http://sadyrad.ru/smorodina/varene-iz-beloj-smorodiny.html;<p>Вкусное варенье из белой смородины</p>;;;
D2CE7632-310A-88E2-2D78-80E496B839DF;Как готовить королевское варенье из крыжовника;kak-gotovit-korolevskoe-varene-iz-kryzhovnika;Cs3IeSOs3LA;Как приготовить вкусное варенье из крыжлвника;http://ivona.bigmir.net/cooking/toowners/361471-Varen-e-iz-kryzhovnika-s-apel-sinom-na-zimu;<p>Варенье из крыжовника с апельсином</p>;28 Рецептов варенья из крыжлвника;https://zhenskoe-mnenie.ru/themes/retsepty/varene-iz-kryzhovnika-kak-pravilno-varit/;<p>Рецепт вкусного варенья из крыжовника.</p>;;;
2ABD27F7-63D5-4505-0DC7-2267A5F54B2C;Как варить яблочное варенье;kak-varit-yablochnoe-varene;jj0x7XLtsXA;Несколько вкусных рецептов варенья из яблок;https://kedem.ru/zagotovki/varenye-iz-yablok/;<p>Как сварить варенье из яблок</p>;Варенье из яблок;http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/yabloki/dolkami-yantarnoe.html;<p>Как сварить прозрачное варенье из яблок дольками</p>;;;
E8F5C1C6-29B2-A2C8-125D-FE5F7542845D;Как готовить варенье из малины;kak-gotovit-varene-iz-maliny;O_Q7r42X7xk;Малиновое варенье;https://zhenskoe-mnenie.ru/themes/retsepty/varene-iz-maliny-kak-pravilno-varit-malinovoe-varene/;<p>Как сварить вкусное малиновое варенье</p>;Вкусное варенье из малины;https://shkolazhizni.ru/meal/articles/55861/;<p>Рецепт простого варенья из малины</p>;;;
34B33AFD-AA26-BAC1-0667-7984377F3B32;Как приготовить варенье из яблок и лимонов;kak-prigotovit-varene-iz-yablok-i-limonov;b_j-CxDrV_w;Вкусное варенье из яблок и лимона;http://www.woman.ru/home/culinary/article/86392/;<p>Как правильно сварить варенье из яблок и лимона</p>;Варенье из яблок и лимона;http://www.iamcook.ru/showrecipe/4313;<p>Рецепт варенья из яблок и лимона</p>;;;
5978A6E4-7921-EC2F-18B3-3ADBE210DA73;Как сварить варенье из терна;kak-svarit-varene-iz-terna;YFleD60k01k;;;;;;;;;
78734750-0F3E-1B3E-4201-44BB693317FD;Как приготовить варенье из черной смородины;kak-prigotovit-varene-iz-chernoy-smorodiny;VNUZkpLMUqg;Как приготовить варенье из чёрной смородины;http://amamam.ru/varen-e-iz-chernoj-smorodiny-pyatiminu/;<p>Рецепт пятиминутка - варенье из чёрной смородины</p>;Как приготовить варенье из смородины без варки;http://vegetarianrecept.ru/konservirovanie/varene/smorodina-protertaya-s-saharom.html;<p>Быстрый рецепт смородинового варенья</p>;;;
3032C1E2-AB26-AAD1-F705-3785C98191D3;Как сварить вкусное варенье из облепихи;kak-svarit-vkusnoe-varene-iz-oblepihi;61HV0m8GieE;;;;;;;;;
04E6B11D-CC8C-320A-B0C0-79EA9170A6A3;Как приготовить варенье из брусники и яблок;kak-prigotovit-varene-iz-brusniki-i-yablok;7fr_d8Dmi8c;;;;;;;;;
FCDD60ED-F13B-F926-CACE-765C4FC0AEAA;Как готовить варенье из морошки;kak-gotovit-varene-iz-moroshki;;;;;;;;;;
AE08CB2B-D17D-891B-C4A1-69FAC3605C6A;Как варить варенье из райских яблок;kak-varit-varene-iz-rayskih-yablok;pXXT_gVcQ_s;Варенье из райских яблок с хвостиками;http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/yabloki/rajskie-yabloki-s-xvostikami.html;<p>Как приготовить вкусное варенье из райских яблок целиком с хвостиками</p>;Варенье из райских яблок - рецепт;https://webspoon.ru/receipt/varene-iz-rajjskikh-yablochek;<p>Вкусный и простой рецепт из райских яблок</p>;;;
7FB24BF8-4AC7-D7F0-E7BE-9F3BE03C6F4D;Как варить вишневое варенье;kak-varit-vishnevoe-varene;gCE6KkMDmzA;Варенье из вищни;https://zhenskoe-mnenie.ru/themes/retsepty/varene-iz-vishni-kak-pravilno-varit-vishnevoe-varene/;<p>Рецепт вишнёвого варенья</p>;Рецепт варенья из вишни;https://forum.say7.info/topic25191.html;<p>Рецепт вишнёвого варенья Королевское</p>;;;
EB93106D-B818-D2DB-E80C-5959D36CE2B1;Как сделать вкусное варенье из брусники;kak-sdelat-vkusnoe-varene-iz-brusniki;HuZQeuNdnDE;;;;;;;;;
3C58EB13-7E1B-1FC4-F885-D1EED7DC0B7A;Как варить варенье из инжира;kak-varit-varene-iz-inzhira;YQt1O8Pwul0;;;;;;;;;
CDB0DC3C-1D65-D07F-A5AA-50D86B715D4F;Как варить варенье в мультиварке;kak-varit-varene-v-multivarke;yphVbUxxgTE;Как сварить варенье в мультиварке;https://kedem.ru/zagotovki/varenye-v-mulytivarke/;<p>Рецепт вкусного варенья в муьтиварке</p>;Как правильно готовить варенье в мультиварке;https://povar.ru/menu/varenje_v_multivarke/;<p>Важные моменты в приготовлении варенья в мультиварке</p>;;;
