GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
012B6A91-30EB-95B6-8367-41612F68FA8E;Как лечить ссадины;kak-lechit-ssadiny;;;;;;;;;;
9B8F80CB-C575-B1BB-A7EF-576553980735;Как лечить протрузию диска;kak-lechit-protruziyu-diska;NFCYokjKmHw;;;;;;;;;
2C021E8B-6DEA-8E11-FD3C-5DEB631C47CB;Как лечить застуженный нерв;kak-lechit-zastuzhennyy-nerv;0TjorUPI2RA;;;;;;;;;
6E240567-0D35-F7F2-BEDE-6F58FC63E72B;Как лечить лучевой нерв;kak-lechit-luchevoy-nerv;;;;;;;;;;
4058B405-6080-98A1-3AE7-6D95D934CF91;Как лечить воспаление глаз;kak-lechit-vospalenie-glaz;;;;;;;;;;
99A9B642-2001-34D7-7ABC-8E265CC4C7AA;Как лечить полип желудка;kak-lechit-polip-zheludka;UlWFo5z4K48;;;;;;;;;
D844013C-245A-3E19-9D56-D14DBBD780B7;Как лечить недостаточность кардии;kak-lechit-nedostatochnost-kardii;;;;;;;;;;
5D19646A-F862-6D61-6E59-A090E62962F7;Как лечить кашель с мокротой у детей;kak-lechit-kashel-s-mokrotoy-u-detey;W-J76umrbWE;;;;;;;;;
60D977BE-58CE-8E58-A730-C30A791C64FA;Как вылечить воспаленную родинку;kak-vylechit-vospalennuyu-rodinku;;;;;;;;;;
7A7DA36A-B05F-808C-9ED9-304A60C13964;Как вылечить молочницу во рту;kak-vylechit-molochnicu-vo-rtu;;;;;;;;;;
6EA7B8AE-ED27-6DF3-890F-2152A3E78B2E;Как лечить молочницу после приема антибиотиков;kak-lechit-molochnicu-posle-priema-antibiotikov;;;;;;;;;;
F807F030-F95D-D194-5E7D-FEC3BB3974F7;Как лечить ушиб ребра;kak-lechit-ushib-rebra;BbEjAXN-3YU;;;;;;;;;
3619213A-D53E-AFDB-0220-6F893BB704DC;Как лечить ушиб стопы;kak-lechit-ushib-stopy;zlztSwVDtCs;;;;;;;;;
C4B18D23-52E7-07BA-B2FC-1DF6FE0C7B07;Как лечить шишки на лбу;kak-lechit-shishki-na-lbu;;;;;;;;;;
0A0CCCAB-5F00-D06B-56C8-C3A347F96B70;Как лечить воспаление сухожилия;kak-lechit-vospalenie-suhozhiliya;;;;;;;;;;
DB8EC6B5-1798-732C-BADD-05F3CCF83C54;Как лечить седалищный нерв;kak-lechit-sedalishchnyy-nerv;zlztSwVDtCs;;;;;;;;;
4529E5C8-817B-F472-7922-9E2A7A84569C;Как лечить защемление;kak-lechit-zashchemlenie;;;;;;;;;;
3735864A-FB35-4710-BD77-837E8071E089;Как лечить ушиб головы;kak-lechit-ushib-golovy;#NAME?;;;;;;;;;
3B54AC29-A1FE-E5C2-69DA-B01345C6E341;Как лечить косточки на большом пальце;kak-lechit-kostochki-na-bolshom-palce;;;;;;;;;;
A8328B1A-4BA6-FBFD-533F-0A07AFB59C89;Как лечить трещину кости;kak-lechit-treshchinu-kosti;;;;;;;;;;
5BDC3F44-7E4A-DFF4-AC8B-59AA5796B62F;Как вылечить частое мочеиспускание;kak-vylechit-chastoe-mocheispuskanie;;;;;;;;;;
3082E0FB-9F9A-7605-4A89-97244AA1F49E;Как лечить мастит у коров;kak-lechit-mastit-u-korov;BQ0HZ1qvG6g;;;;;;;;;
59075C0A-AF99-D9F0-6933-BE08E8C6E621;Как лечить спазмы кишечника;kak-lechit-spazmy-kishechnika;ttvMvI1bxjs;;;;;;;;;
A5D384AF-2B2C-0120-231D-45A2703AA91C;Как лечить плешь на голове;kak-lechit-plesh-na-golove;9UcsLJrXMqE;;;;;;;;;
E7BE817D-30FE-46FA-5222-181C1BFA7F34;Как лечить шишки в ушах;kak-lechit-shishki-v-ushah;;;;;;;;;;
6D67A09A-36B0-BFC3-3AF1-87B89B966F2A;Как лечить гарднереллу;kak-lechit-gardnerellu;1amxdEj6zWQ;;;;;;;;;
143E02C0-35E3-DD5F-462C-620A235FE503;Как вылечить заложенность ушей;kak-vylechit-zalozhennost-ushey;;;;;;;;;;
EDB18D4B-69A2-BBFA-40DF-85857963994C;Как лечить астено-невротический синдром;kak-lechit-asteno-nevroticheskiy-sindrom;hVPxk8XPHtA;;;;;;;;;
6BAAEE7E-54B1-187D-D189-0597CB9BE144;Как лечить треснувшие пятки;kak-lechit-tresnuvshie-pyatki;4PMiVpMqa88;;;;;;;;;
89E52C7E-941A-DB31-499D-593155093CFE;Как лечить внутричерепное давление у взрослых;kak-lechit-vnutricherepnoe-davlenie-u-vzroslyh;KHqWhk2cGmk;;;;;;;;;
E62C03A1-EF3A-502C-5FB4-D85830D0F423;Как лечить воспаление слюнной железы;kak-lechit-vospalenie-slyunnoy-zhelezy;JlhQVTec-Rw;;;;;;;;;
D725C22B-D741-2038-57C1-12ADBDF1E7FF;Как лечить аллергические высыпания на коже;kak-lechit-allergicheskie-vysypaniya-na-kozhe;yyRgkK5jFac;;;;;;;;;
3532D364-FC85-D602-FAA3-606DA93B6969;Как лечить флюс;kak-lechit-flyus;h0zl5UL2pJ8;;;;;;;;;
AF2F42F6-3BC6-DC68-B3E2-64D522EC0C19;Как лечить сигмовидную кишку;kak-lechit-sigmovidnuyu-kishku;;;;;;;;;;
C40E100C-2DEB-8EC6-A42F-6FA14E8A7A05;Как вылечить ушиб колена;kak-vylechit-ushib-kolena;;;;;;;;;;
AEEAC0CB-A69E-BD61-21A3-D200819B4552;Как лечить стрептодермию;kak-lechit-streptodermiyu;;;;;;;;;;
14551442-817C-0C26-3300-08FA4FC51C90;Как лечить эрозию пищевода;kak-lechit-eroziyu-pishchevoda;;;;;;;;;;
982859E8-F91B-2D8A-0BE4-6E5D4B8604AC;Как вылечить розовый лишай быстро;kak-vylechit-rozovyy-lishay-bystro;px8tdNDiaQA;;;;;;;;;
4C68C9A8-2870-EF93-3E1D-C6C5715A1AC5;Как лечить микроинсульт;kak-lechit-mikroinsult;;;;;;;;;;
BAAD661A-65AB-AE0A-8102-5D3B2826079C;Как вылечить стоматит на языке;kak-vylechit-stomatit-na-yazyke;;;;;;;;;;
16446B13-0A62-4244-F4D9-25F27DC91268;Как быстро вылечить стоматит;kak-bystro-vylechit-stomatit;57E_82kFerA;;;;;;;;;
2377CEBE-5B36-3460-BBF6-0557040D4CC7;Как лечить шишку на голове;kak-lechit-shishku-na-golove;;;;;;;;;;
0865DFD0-F905-923F-60A6-5361DE17185D;Как лечить застуженную шею;kak-lechit-zastuzhennuyu-sheyu;lV76iAR_QoU;;;;;;;;;
