GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"2C021E8B-6DEA-8E11-FD3C-5DEB631C47CB";"Как лечить застуженный нерв";;"0TjorUPI2RA";"Застужен лицевой нерв - Простудные заболевания";"https://prostyda.com/lechenie-prostudy/149-zastuzhen-litsevoj-nerv";"Причина этого неприятного явления – застуженный лицевой нерв. Данное заболевание нужно лечить, а не пускать все на самотек. В противном случае  ...";"Как лечить застуженный тройничный нерв? - Невралгия 24";"http://nevralgia24.ru/obshhie-voprosy/zastuzhen-trojnichnyj-nerv-simptomy-i-lechenie/";"Если застужен тройничный нерв, лечение должно быть незамедлительным и серьезным. Ведь последствия этого заболевания, могут быть, какими ...";"Как лечить застуженный нерв на руке - популярные записи";"https://conf.7ya.ru/popular/kak-lechit-zastuzhennyj-nerv-na-ruke/";"Как лечить застуженный нерв на руке - читайте обсуждения и добавляйте свои комментарии по данной теме на 7я.ру!"
"4058B405-6080-98A1-3AE7-6D95D934CF91";"Как лечить воспаление глаз";;"6FynqwmONSE";"Воспаления глаз: причины и как снять. Капли и народные ...";"https://www.inmoment.ru/beauty/face-care/inflammation-eye.html";"Воспалением глаз сейчас никого не удивишь: наверное, каждый человек – и ... но не стоит ставить себе диагноз и лечиться «подручными» средствами ...";"Воспаление глаза, чем лечить и что делать если воспалился глаз";"http://ozrenii.ru/konyunktivit/vospalenie-glaza.html";"Воспаление глаза является защитной реакцией на воздействие патогенных раздражителей. Возникнуть может независимо от возраста, пола.";"Воспаление глаз – чем лечить в домашних условиях народными ...";"https://eyecaretips.ru/problemy/drugoe/lechit-vospalivshiysya-glaz";"Воспалился глаз, чем лечить в домашних условиях: причины и признаки развития воспаления, лечение в домашних условиях, медикаментозные и ..."
"99A9B642-2001-34D7-7ABC-8E265CC4C7AA";"Как лечить полип желудка";;"UlWFo5z4K48";"Полипы в желудке – опасно ли это? Симптомы и лечение";"https://www.ayzdorov.ru/bolezni/polipi/lechenie_polipov_jelydka.php";"Желудочный полипоз: причины развития, признаки и симптомы полипов в желудке, типология и потенциальная опасность. Как лечить полипы в желудке ...";"Полип в желудке: онкологии быть или не быть – удалять или не ...";"https://www.obozrevatel.com/health/gastroenterology/polip-v-zheludke-onkologii-byit-ili-ne-byit-udalyat-ili-ne-udalyat.htm";"16 май 2017 ... В числе заболеваний желудка есть такая разновидность патологии, ... Лечение может быть как терапевтическим, так и хирургическим.";"Полип желудка – симптомы и лечение - Мой семейный врач";"https://myfamilydoctor.ru/polip-zheludka-simptomy-i-lechenie/";"Среди доброкачественных опухолей желудка полипы составляют около 90 %. Главная опасность кроется в их бессимптомности, хотя они часто могут ..."
"9B8F80CB-C575-B1BB-A7EF-576553980735";"Как лечить протрузию диска";;"NFCYokjKmHw";"Лечение протрузии дисков позвоночника в Москве и Санкт ...";"https://www.clinica-tibet.ru/bolezni/spina/protrusion/";"Диагностика и лечение протрузии дисков позвоночника методами тибетской медицины, наша клиника ✓ более 10 лет на рынке ✓ мы вылечили более ...";"Как лечить протрузию дисков поясничного отдела позвоночника?";"https://www.ayzdorov.ru/lechenie_protryziya_diska_nar.php";"Как лечить протрузию дисков позвоночника и с помощью каких методов можно достичь максимально быстрого результата, решает врач-ортопед в ...";"Протрузия межпозвонковых дисков: симптомы, лечение ...";"https://mz-clinic.ru/bolezni/spine/protruziya-diska.html";"Протрузия дисков позвоночника: что это такое? Лечение протрузии межпозвонковых дисков поясничного, шейного отделов. Снятие боли в спине за 1-2 ..."
"012B6A91-30EB-95B6-8367-41612F68FA8E";"Как лечить ссадины";;"hOUDQc8ps_g";"Как быстро вылечить ссадину - Сульфаргин";"http://sulfargin.ru/articles/kak-bystro-vylechit-ssadinu/";"Каждый из нас неоднократно получал поверхностные раны кожи – ссадины и царапины. Подобные раны – частые спутники людей, ведущих активный ...";"Как правильно обрабатывать ссадины и царапины - Woman.ru";"http://www.woman.ru/kids/healthy/article/152535/";"Как правильно обрабатывать ссадины у ребенка, а также царапины и другие ... и лечить своими силами, а необходимо обратиться к помощи медиков.";"Немного о лечении ссадин - Просмотр темы • RolleR.ru";"https://www.roller.ru/forum/viewtopic.php%3Ff%3D7%26t%3D50389";"Время от времени слышу от людей фразы вроде "ссадину надо сушить, не надо ... Самое главное при лечении ссадин – предотвратить ..."
"6E240567-0D35-F7F2-BEDE-6F58FC63E72B";"Как лечить лучевой нерв";;"NEMfQpcu_Rg";"Невропатии лучевого нерва: симптомы, лечение";"https://myfamilydoctor.ru/nevropatii-luchevogo-nerva-simptomy-lechenie/";"Невропатии лучевого нерва, как правило, вызываются компрессией нерва. Сопровождаются нарушениями движений кисти и пальцев, чувствительности  ...";"Неврит лучевого нерва - симптомы, лечение, формы, причины";"https://medaboutme.ru/zdorove/spravochnik/bolezni/nevrit_luchevogo_nerva/";"Неврит лучевого нерва: причины возникновения, методы лечения, рекомендуемые лекарства и советы специалистов.";"Поражение лучевого нерва: симптомы, признаки, лечение ...";"https://online-diagnos.ru/illness/d/porazhenie-luchevogo-nerva";"Поражение (невропатия) лучевого нерва проявляется затруднением разгибания мышц предплечья, запястья, пальцев рук, отведения большого пальца, ..."
"5D19646A-F862-6D61-6E59-A090E62962F7";"Как лечить кашель с мокротой у детей";;"W-J76umrbWE";"Кашель с мокротой у ребенка: лечение и симптомы | Как лечить ...";"http://www.astromeridian.ru/medicina/kak_lechit_kashel_s_mokrotoj_u_detej.html";"Дети, как, впрочем, и большинство взрослых лечиться не любят. Поэтому задача борьбы с мокротой при кашле у детей значительно осложняется.";"Лечение кашля у детей: можно ли давать детям отхаркивающее ...";"http://www.woman.ru/kids/healthy/article/146400/";"Как лечить кашель у детей: «народными» средствами или аптечными препаратами? ... Когда мокрота (то есть слизь, которая в избытке продуцируется ...";"Как вылечить бронхит (кашель с мокротой) у ребенка";"http://www.buteykomoscow.ru/articles/6/";"Как нужно лечить кашель у детей, объясняет главный врач Клиники Бутейко - Андрей Евгеньевич Новожилов. - Бывает, попил ребенок холодной воды, ..."
"D844013C-245A-3E19-9D56-D14DBBD780B7";"Как лечить недостаточность кардии";;"jZuhD6KZHWI";"Недостаточность кардии желудка: симптомы и лечение";"http://enterolog.ru/zheludok/nedostatochnost-kardii/";"Каковы причины возникновения недостаточности кардии желудка. Основные признаки и проявления заболевания. Лечение недостаточности нижнего ...";"Недостаточность кардии желудка - симптомы, лечение, питание";"http://vashjeludok.com/zheludok/bolezni/nedostatochnost-kardii.html";"Одним из таких заболеваний является недостаточность кардии желудка. Что это такое, как диагностировать подобное заболевание, а также способы ...";"Что такое недостаточность кардии желудка - VashZhkt.com";"https://vashzhkt.com/bolezni/nedostatochnost-kardii.html";"Поставить точный диагноз недостаточности кардии поможет рентген. Благодаря эзофагоскопии проясняется ..."
"C4B18D23-52E7-07BA-B2FC-1DF6FE0C7B07";"Как лечить шишки на лбу";;"0H4LTLceYuU";"Как убрать шишку на лбу, чем лечить шишку на лбу от удара ...";"http://www.sportobzor.ru/sportivnaya-medicina/kak-bystro-vylechit-shishku-na-lbu-ot-udara.html";"1 дек 2015 ... С шишками на лбу встречался каждый человек. Самой распространенной является шишка на лбу, полученная от удара.";"Как сделать, чтобы шишка на лбу исчезла? - Мюсли.ру";"http://mjusli.ru/krasota_i_zdorove/jeto_polezno/shishka-na-lbu";"Как быть, если получил шишку на лбу от удара? Чем ее лечить, чтобы скорее прошла? Мази от гематом. Что делать, если шишка на лбу появилась  ...";"Шишки на лбу: что делать, как убрать, причины и виды";"http://stoprodinkam.ru/shishki/na-lbu.html";"Лечить гематому на лбу можно как в домашних условиях, так и обратившись в больницу. Все зависит от степени ее ..."
"3619213A-D53E-AFDB-0220-6F893BB704DC";"Как лечить ушиб стопы";;"zlztSwVDtCs";"Ушиб стопы: симптомы, лечение, первая помощь - bezpereloma.ru";"https://bezpereloma.ru/ushiby/noga/ushib-stopy.html";"Ушиб стопы — травма, в большинстве случаев не требующая обращения к врачу. Первая ... Первая помощь, симптомы и лечение при ушибе стопы.";"Ушиб стопы. Что делать при ушибе стопы? Как лечить ушиб ...";"http://medglaz.ru/ushib-stopy-chto-delat-pri-ushibe-stopy-kak-lechit-ushib-stopy.html";"Так же как лечить ушиб стопы? ... Из стати вы узнаете что делать при ушибе стопы потому, что ушиб стопы лечение требует как и любая другая травма.";"Ушиб стопы: лечение в домашних условиях";"https://lechim-prosto.ru/ushib-stopy-lechenie-v-domashnih-usloviyah.html";"Если вы получили ушиб стопы, то скорее узнайте, как быстро вылечиться в домашних условиях без особых усилий."
