GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"46A35FD8-0C61-9ED9-6BE7-A140A3E425C8";"Какой должен быть гемоглобин в норме";;"h_uxavmyd-Q";"Норма гемоглобина у женщин. Что значит повышенный и ...";"https://www.pravda.ru/navigator/norma-gemoglobina-u-zhenshchin.html";"25 авг 2017 ... Какой должна быть норма гемоглобина у женщин. Чем грозит ... Уровень гемоглобина в крови должен быть в пределах нормы.";"Гемоглобин у мужчин: норма в крови и что означает высокий и ...";"https://www.kp.ru/guide/gemoglobin-u-muzhchin.html";"29 июн 2017 ... Гемоглобин в крови у мужчин: норма и причины отклонений ... Из этого следует, что показатели гемоглобина могут быть связаны как с ...";"Норма гемоглобина у женщин";"http://womanlady.net/zdorove/vashe-zdorove/norma-gemoglobina-u-zhenshchin.html";"Можно много говорить о том, какая норма гемоглобина у женщин - показатель ... Женщины должны особенно внимательно следить за тем, чтобы уровень ... Причин развития малокровия достаточно много, это могут быть как ..."
"6800AAF6-BBB4-9206-2A04-153E62354992";"Как похудеть весной";;"uTl4iSWrmSE";"Как похудеть к весне? - Похудение - TCH.ua - ТСН";"https://ru.tsn.ua/lady/krasota/pohudenie/kak-pohudet-k-vesne-1061420.html";"13 дек 2017 ... Осень в этом году выдалась особенно сырой, холодной и пасмурной. Как в такую погоду не захандрить и не начать переедать, пытаясь ...";"4 способа похудеть к весне! | Passion.ru";"https://www.passion.ru/diet/effektivnye-diety/4-sposoba-pohudet-k-vesne-14806.htm";"19 фев 2009 ... В преддверии весны для многих женщин самой актуальной становится тема похудения, - ведь к лету нужно выглядеть на все сто!";"5 советов как похудеть к весне. | интересные статьи";"https://dietalegko.com/interesnyie-stati/5-sovetov-kak-pokhudet-k-vesne.html";"Как похудеть к весне – вопрос над решением, которого нужно задумываться уже в январе. 5 советов помогут вам сформировать четкую картину ..."
"B92F1BE2-CA59-85BD-11D9-3A183795D415";"Как избавиться от холестерина";;"7H35RjGtf-k";"Как избавиться от холестерина";"https://cholesterol.su/";"Избавляемся от ненужного повышенного холестерина в крови.";"Холестерин в крови - как снизить, список продуктов, содержащих ...";"https://med.vesti.ru/articles/pitanie-i-zozh/kak-snizit-holesterin-v-krovi-produkty-i-narodnye-sredstva/";"Виды холестерина: хороший и плохой холестерин. Методы снижения холестерина без применения медикаментов: диета, физическая ... но сначала если решите всёрьез избавиться от своих болячек перечитайте литературу а ...";"Как избавиться от холестерина (вывести его из организма ...";"http://izbavsa.ru/zdorove/kak-vyvesti-holesterin-organizma";"11 апр 2018 ... Для многих слово «холестерин» носит негативный оттенок, но на самом деле он является важнейшим компонентом, необходимым для ..."
"3658D6D1-411A-6C9F-A1AB-8790AF926ACE";"Как худеть и не испытывать чувство голода";;"gBiMl3P6V_M";"Как худеть и не мучатся от чувства голода, диета без голодания";"https://leeleo.ru/zdorove/dietyi/dieta-bez-golodanija/";"Диета без голодания, как похудеть не испытывая сильного чувства голода. 01.04.2018 Диеты 136 Просмотры. Как худеть и не голодать Обладать ...";"Похудеть без голода. Пример меню. Результаты. Правила. Что ...";"https://slimim.com/11625/bez-goloda/";"Чувство голода приводит к накоплению «запасов», что ставит крест на ... Рацион богат и разнообразен, что не позволяет организму испытывать голод ...";"Диета «Шесть лепестков»: поможет похудеть, не испытывая ...";"http://www.aif.ru/health/food/dieta_shest_lepestkov_pomozhet_pohudet_ne_ispytyvaya_goloda";"4 июн 2014 ... Диета «Шесть лепестков»: поможет похудеть, не испытывая голода. Эта диета - одна из самых популярных среди тех, что появились в ..."
"0619C2EC-EB51-5919-FB3C-E8841FEB97EA";"Диета Юлии Куварзиной";;"wqQ4sRnpu74";"Диета Юлии Куварзиной. Принципы питания. Советы актрисы";"https://slimim.com/14887/yulii-kuvarzinoj/";"Юлия Куварзина за 3 месяца похудела на 22 кг, не ограничивая себя в питании. Эффективная диета с разнообразным списком продуктов. Советы и ...";"Как похудела Юлия Куварзина: диета и фото после похудения ...";"http://www.dietaclub.ru/blogs/diet/510.html";"13 мар 2014 ... Фото Юлии Куварзиной после похудения буквально взорвали интернет. Довольно за короткий промежуток времени известная ...";"Звездная диета Юлии Куварзиной: меню, правила, отзывы";"http://porahudet.ru/kratkosrochnye-diety/dieta-yulii-kuvarzinoj.html";"Диета Юлии Куварзиной - актрисы, известной по телесериалу «Воронины», кардинально изменила ее фигуру. Из толстушки она превратилась в ..."
"45F3942F-E204-190C-D301-A5AD6DE5DF9E";"Как похудеть и не набрать вес снова";;"tNA4BSGsToc";"Как похудеть в два раза быстрее и не набрать вес снова ...";"https://lifehacker.ru/kak-pohudet-i-ne-nabrat-ves/";"Чтобы лишние килограммы утекали быстрее, а главное, чтобы не возвращались, нужно вести дневники, причём сразу два. В один вы будете ...";"Как не набрать вес снова | Passion.ru";"https://www.passion.ru/diet/sovety-dietologa/kak-ne-nabrat-ves-snova-17560.htm";"22 фев 2012 ... Каждому, кто неоднократно пытался похудеть, известно, что сбросить лишние килограммы куда проще, чем сохранить достигнутый ...";"Как похудеть и не набрать вес снова? - Женское мнение";"https://zhenskoe-mnenie.ru/themes/diets/Kak_pokhudet_i_ne_nabrat_ves_snova/";"30 дек 2016 ... Очень часто, для того, чтобы сбросить излишний вес, люди пытаются ... то имеется риск набрать их снова после окончания диеты."
"4416A537-546B-5E50-0E24-9F698A78FA7A";"Как притупить чувство голода";;"LLgoAE6lIpw";"Как притупить чувство голода";"https://zdravnica.net/healthy-lifestyle/health-and-beauty/2169-kak-pritupit%27-chuvstvo-goloda.html";"Как притупить чувство голода? Если вас волнует этот вопрос, прочтите информацию в данной статье, она непременно вам пригодится. Сразу хотели ...";"Как притупить чувство голода: продукты, препараты, советы ...";"http://happy-womens.com/kak-pritupit-chuvstvo-goloda.html";"Притупить чувство голода на самом деле очень просто: достаточно знать, какие для этого существуют препараты, травы и продукты.";"Как притупить чувство голода - wikiHow";"https://ru.wikihow.com/%25D0%25BF%25D1%2580%25D0%25B8%25D1%2582%25D1%2583%25D0%25BF%25D0%25B8%25D1%2582%25D1%258C-%25D1%2587%25D1%2583%25D0%25B2%25D1%2581%25D1%2582%25D0%25B2%25D0%25BE-%25D0%25B3%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B4%25D0%25B0";"Вы сидите на занятии или на работе и пытаетесь не думать о том, как вам хочется есть? Есть несколько способов притупить чувство голода, что..."
"F5B6595B-A378-7A92-D501-4B8CA0B32F73";"Как похудеть женщине после 40 лет";;"P3ioC5X_teg";"Никогда не поздно! Как похудеть, если вам больше 40 лет - АиФ";"http://www.aif.ru/health/food/1455520";"26 фев 2015 ... После 30 лет обмен веществ замедляется. Если человек это не учитывает и продолжает питаться, как раньше, за следующие 10 лет ...";"Худеем после 40 лет по-умному: советы для женщин - Infoniac";"https://www.infoniac.ru/news/Hudeem-posle-40-umnye-sovety-dlya-zhenshin.html";"20 мар 2018 ... Как похудеть женщине после 40 лет. 1. Откажитесь от модных диет. ves-1.jpg . Диета на супе из капусты? Не стоит. Резкое ограничение ...";"Как похудеть после 40 лет женщине: эффективная диета";"http://posle-40-let.ru/effektivnaya-dieta/";"Диета для похудения после для женщин старше 40 лет. ⌚ Как эффективно похудеть женщинам старше 40 лет на диетах."
"F5500682-20D8-C159-27EC-0B7247471792";"Какие бывают диеты для похудения живота";;"4ZZQn9xh4Ns";"Диеты для похудения живота и боков: меню";"http://aveslim.ru/diety/raznye/dieta-dlya-pohudeniya-zhivota.html";"25 май 2016 ... Диета для похудения живота необходима не только людям, ... из причин жировых отложений на животе, которые бывает сложно убрать ...";"Диета для похудения живота и боков: 4 варианта и примерное ...";"https://hudeyko.ru/dieta-dlya-pohudeniya-zhivota-i-bokov.html";"Диета для похудения живота и боков: как убрать висцеральный жир. О висцеральном ... Варианты диет. Какие бывают диеты для похудения живота :.";"Диеты для похудения живота и боков, меню диеты для плоского ...";"https://evehealth.ru/dieta-dlya-pokhudeniya-bokov-i-zhivota-sekreti-strojnoi-talii/";"Диеты для похудения живота и боков — узнайте как быстро сделать живот плоским и подтянутым с помощью диет. Меню, отзывы и результат диеты на  ..."
"11909A50-5CC8-21D4-18B0-F700A0453D2A";"Как похудеть при помощи имбиря";;"ouTL6Z077u0";"Имбирь для похудения, противопоказания, корень имбиря, чай с ...";"http://www.justlady.ru/articles-124650-imbir-dlya-pohudeniya-protivopokazaniya-koren-imbirya-chay-s-imbirem";"Имбирь для похудения, противопоказания, корень имбиря, чай с имбирем ... Так чай с имбирем не рекомендуется применять при желчнокаменной ...";"Как похудеть на 3-5-10 кг: Имбирь для похудения";"http://kak-poxudet-na-3-5-10-kg.blogspot.com/p/blog-page_2461.html";"Итак, как употреблять имбирь для похудения? Гомеопаты используют в основном именно корень имбиря, правда, можно купить еще и листья.";"Имбирь для похудения - свойства, рецепты и отзывы";"https://imbyr.ru/pohudenie/";"12 мар 2018 ... Имбирь для похудения Как известно, различные снадобья, приготавливаемые из имбиря, оказывают существенную помощь при ..."
"444EB13C-E024-2A8F-06FE-E3E0F3880040";"Как понизить мочевую кислоту в крови";;"NuiUdeJNQXg";"Как снизить уровень мочевой кислоты - Так Просто!";"https://takprosto.cc/kak-snizit-uroven-mochevoy-kisloty/";"Держи под контролем уровень мочевой кислоты! ... расскажет о полезных продуктах, которые помогут снизить уровень мочевой кислоты в организме.";"Диета при высоком уровне мочевой кислоты - Food-Tips.Ru";"http://food-tips.ru/00010605-dieta-pri-vysokom-urovne-mochevoj-kisloty/";"Повышение уровня мочевой кислоты в крови способствует отложению ее кристаллов в суставах, провоцируя их воспаление, боль и становясь причиной ...";"Как снизить уровень мочевой кислоты? - Estet-Portal";"https://estet-portal.com/statyi/kak-snizit-uroven-mochevoj-kisloty";"Кто бы мог подумать, что проблема косточки на ногах связана с уровнем мочевой кислоты в крови. Давайте разберемся, что такое мочевая кислота и  ..."
"08C961AF-ACA0-3F79-E841-7F53BB98546E";"Какие продукты употреблять при пониженном гемоглобине";;"mUIHLvMFbfw";"Питание при низком гемоглобине. Что кушать, а что нет.";"http://vseproanalizy.ru/pitanie-pri-nizkom-gemoglobine.html";"Мы рассмотрим, как следует устроить свое питание при низком гемоглобине в крови, какие продукты обладают наибольшим количеством железа и ...";"Питание при низком гемоглобине - советы фитотерапевта";"http://travomarket.ru/blog/pitanie-pri-nizkom-gemoglobine.html";"1 авг 2017 ... Питание при пониженном гемоглобине должно быть правильным, и тогда оно ... Из мяса лучше всего употреблять курицу в любом виде.";"Диета при низком гемоглобине: рецепты, таблица, что можно и ...";"https://sostavkrovi.ru/svoystva/gemoglobin/dieta-pri-ponizhennom-gemoglobine.html";"Диета при низком гемоглобине предусматривает не только употребление определённых продуктов, но и ..."
"76CA0381-BDD0-324A-8AD8-B01F4AFD1CBC";"Диета перед свадьбой";;"JUe95PwsDX8";"Диета для невесты: Как похудеть перед свадьбой - Диеты и ...";"http://ivona.bigmir.net/health/diet/diets/359465-Dieta-dlja-nevesty--Kak-pohudet--pered-svad-boj-";"25 июн 2013 ... Девушкам, которые хотят быстро сбросить вес перед каким-нибудь важным мероприятием, например, свадьбой, и избежать быстрого ...";"Как похудеть перед свадьбой: варианты бустрых диет для ...";"https://svadbavo.ru/journal/cat-poleznye-sovety/1006-kak-pokhudet-pered-svadboi";"Как похудеть перед свадьбой? Стремясь выглядеть идеально в важный момент своей жизни, девушки ищут ответ на этот вопрос. Узнайте, сколько ...";"Диета перед свадьбой или как похудеть невесте за месяц ...";"http://1dz.ru/svadba/dieta-pered-svadboi-ili-kak-pokhudet-neveste-za-mesyats";"Проблема лишнего веса знакома почти каждой девушке. Так как подготовка к свадьбе – это достаточно сложный и эмоционально насыщенный период, ..."
"8B418DD5-4002-FFAE-656E-3B412E3D28FC";"Как соблюдать диету для восстановления микрофлоры кишечника";;"fh8cXP597vY";"Как соблюдать диету для восстановления микрофлоры кишечника";"https://www.kakprosto.ru/kak-249910-kak-soblyudat-dietu-dlya-vosstanovleniya-mikroflory-kishechnika";"После курса лечения заболеваний кишечника, а также после приема антибиотиков важное значение для организма имеет восстановление кишечной...";"Диета для кишечника и нормализации регулярного стула ...";"http://hudey.net/dieta-dlya-kishechnika-i-normalizacii-regulyarnogo-stula-trebuet-tshhatelnogo-otbora-produktov.html";"Наш кишечник плотно ... бактерии соблюдают ...";"Восстановить микрофлору – диета при дисбактериозе кишечника";"https://abgym.ru/diety/po-boleznyam/pri-disbakterioze.html";"Восстановить микрофлору кишечника можно при помощи диеты. ... время соблюдать специальную диету, которая поможет восстановить нарушенный  ..."
"AB7478AA-160A-C1F4-3046-E0CC1C65AEAC";"Как питаться при повышенной кислотности желудка";;"YJjoc_CMthQ";"Питание при повышенной кислотности - Медицинский портал ...";"http://www.eurolab.ua/health-cooking/1476/1485/49110/";"Продукты для питания при повышенной кислотности Меню питания при ... Кислотность желудочного сока - это один из показателей здоровья желудка,  ...";"Питание при повышенной кислотности желудка - Изжога";"http://izzhoga.com/dieta-pri-povyshennoj-kislotnosti-zheludka/";"Как соблюдать диету при повышенной кислотности желудка, какие продукты можно и нельзя есть, примерное меню.";"Питание при повышенной кислотности желудка - health info";"http://healthinfo.ua/articles/zdorovoe_pitanie_2/27249";"15 янв 2016 ... Основная цель правильного питания при повышенной кислотности желудка направлена на уменьшение секреции желудочного сока."
"9639F1F1-628C-1BCD-C024-D2538A825C24";"Что будет, если не есть сахар";;"Y9ROnEmWE24";"5 вещей, которые с вами произойдут, когда вы перестанете есть ...";"https://lifehacker.ru/no-sugar-2/";"И дело тут не только в том, что сахар является источником калорий сам по себе. ... Если вы утвердительно отвечаете на эти и подобные вопросы, то спешу ..... что организм тогда и приспосабливаться сам не будет, если их пить?";"8 причин не есть сахар, которые никак не связаны с похудением ...";"https://lifehacker.ru/avoid-sugar/";"Кроме того, если уровень сахара повышен, ваше тело будет ослаблено и не сможет противостоять инфекциям. Результат? Чаще простужаетесь и ...";"Что будет, если не есть сладкое | Женский журнал Slender Woman";"http://slender-woman.ru/figura/3480-chto-budet-esli-ne-est-sladkoe.html";"Что будет, если не есть сладкое: состояние здоровья при отказе от сладкого."
"2283EA3C-A5CA-0645-EA22-56F2461D8ADF";"Как есть грейпфрут, чтобы похудеть";;"NzSe-SiKc14";"Грейпфрут для похудения: полезности и диета - Диетологи ...";"https://www.segodnya.ua/lifestyle/food_wellness/greypfrut-dlya-pohudeniya-poleznosti-i-dieta-708563.html";"Грейпфрут для похудения применяется во многих диетических режимах питания, так как считается, что цитрусовые способствуют снижению веса, ...";"Грейпфрут для похудения – гарантированный результат";"https://berry-lady.ru/diety/597-grejpfrut-dlya-pokhudeniya-garantirovannyj-rezultat.html";"грейпфрут для похудение Есть огромное количество диет, благодаря которым можно эффективно сбросить вес. Одним из продуктов, являющихся  ...";"Грейпфрут для похудения на ночь - Your-Diet.ru";"http://your-diet.ru/%3Fp%3D2994";"Есть грейпфрут для похудения на ночь – относительно новая тенденция в диетическом сообществе. Раньше этот фрукт делали основой рациона, ..."
"CEB16668-AE8A-3167-96CD-819B6538AC93";"Как измерить уровень холестерина";;"w70XYeqygxs";"Измерение холестерина » Тест-Полоска - Глюкометры";"http://www.test-poloska.ru/catalog/bloodmeters/cholesterolmeters/";"Прибор для измерения холестерина и сахара (глюкозы) в домашних условиях. Интуитивно ... Анализатор холестерина, сахара и гемоглобина в крови.";"Определение уровня холестерина в домашних ... - Sosudinfo.com";"http://sosudinfo.com/cholesterol/proverka-holesterina-v-domashnih-usloviyah.html";"Перед осуществлением проверки уровня холестерина требуется выдержать голодную диету в ...";"Как узнать уровень холестерина :: JustLady.ru - территория ...";"http://www.justlady.ru/articles-150056-kak-uznat-uroven-holesterina";"Чтобы проверить уровень данного вещества в крови, достаточно сдать ... если он имеет дополнительную функцию измерения холестерина в крови."
"D6C9A167-69DF-0BD0-B16C-A57C9CDBA9BD";"Как худеть по методу Борменталя";;"xwoAS5Xms4k";"Доктор Борменталь и его диета, таблица калорийности ...";"http://specdieta.ru/doktor-bormental-i-ego-dieta-tablitsa-kalorijnosti-produktov-menyu-i-otzyvy.html";"Диета Доктора Борменталя, таблица калорийности продуктов, меню и отзывы .... Метод Борменталя советует в таких ситуациях пользоваться еще и ...";"Диета Борменталя: подсчитываем калории и худеем";"http://fitdoma.ru/diety/dieta-bormentalya.html";"Сегодня Борменталь вызывает к себе повышенный интерес, так как его диета способна очень быстро ... На чем же тогда основывается успех метода ?";"Диета Борменталя: меню на каждый день — дневник - AveSlim.ru";"https://aveslim.ru/diety/avtorskie/dieta-bormentalya.html";"12 апр 2017 ... Доктор Борменталь: диета для похудения, отзывы и результаты, ... Но поскольку дома нельзя потренировать ни дыхание по методу ..."
"71C739BF-F7CC-D619-6EF0-092F11008981";"Худеем к лету правильно!";;"jji-xBmrgec";"Как похудеть к лету без стресса: опыт Юлии Мелешевич ...";"https://lifehacker.ru/kak-pohudet-yuliya-meleshevich/";"Сегодня вы узнаете, как похудеть к лету. ... Правильно, находит тщательно припрятанную для таких случаев пироженку, конфетку, шоколадочку, ну или ...";"Худеем к лету: как правильно бегать, чтобы стать стройной ...";"https://www.obozrevatel.com/lady/diet/81207-hudeem-k-letu-kak-pravilno-begat-chtobyi-stat-strojnoj.htm";"Худеем к лету: как правильно бегать, чтобы стать стройной. 11 мая 2017, 13: 35 4.9т. Чтобы скинуть несколько лишних килограмм и подтянуть ...";"Как похудеть к лету: 4 шага к идеальному телу - Wefit.ru";"http://wefit.ru/kak-pohudet-k-letu/";"8 дек 2017 ... "Я худею": как толстела и худела Александра Бортич. 15.03. ... Начнем с плохой: похудеть к лету за ограниченное количество недель ..."
"F0F08822-3AFC-DE70-0043-3DBDE7B07554";"Ощелачивание организма. Принципы здорового тела";;"AeZeeYVpKmA";"5 напитков для ощелачивания организма - MY HANDBOOK | MY ...";"http://myhandbook.com/5-napitkov-dlya-otshchelachivaniya-organizma/";"14 сен 2017 ... ... My food Моя еда · My health Мое здоровье · My inspiration Мое вдохновение . Моя еда Популярные. 5 напитков для ощелачивания организма ... коррекции кислотно-щелочного баланса в вашем организме. ... Дело для тела: базовые принципы ухода и best of the best Татьяны Корсаковой.";"Ощелачивание организма и как достичь его плюсов в питании ...";"https://food4vita.ru/pravila-oshelachivaniya-organizma/";"5 ноя 2017 ... Ощелачивание организма в основных принципах можно ... дыхание активирует множество обменных процессов в теле. ... Психосоматика и все прочее находят все больше подтверждений в науке о здоровье ...";"Правда об ощелачивании крови - IRONMAN.RU";"https://ironman.ru/news.php%3Fid%3D3468";"Как правило, ответы на такие вопросы о здоровье человека можно найти, ... разберемся с основными принципами pH, а также с тем, как ваше тело .... пищевые добавки или «щелочную воду» для ощелачивания организма."
"8EB614F9-AB02-4822-B362-05491A8C415E";"Как нужно питаться, чтобы набрать вес";;"bcS-A2svBrw";"Как набрать вес и развить свою мышечную массу - NEOSPORTS.ru";"http://neosports.ru/pitaemsya-pravilno/kak-pravilno-pitatsya-chtoby-nabrat-ves.html";"Что может служить отсутствию мышечной массы, и как набрать вес вы ... Чтобы быстро набрать мужчине вес нужно не только правильно питаться и ...";"Как набрать вес девушке, питаясь правильно и полезно | WMJ.ru";"https://www.wmj.ru/stil-zhizni/eda/kak-nabrat-ves-devushke-pitayas-pravilno-i-polezno.htm";"1 фев 2018 ... Полезное питание для набора веса. Как набрать вес худой девушке с помощью натуральных методов. Диета для тех, кто хочет ... Быстро набрать вес · Спорт, если девушке срочно нужно прибавить вес?";"Как питаться, чтобы набрать мышечную массу? - Диеты ...";"http://www.menslife.com/ration/20592-kak-pitatsya-chtoby-nabrat-myshechnuyu-massu.html";"17 апр 2013 ... В него нужно включить большое количество белков, углеводов, витаминов и минералов. Тебе полезно питаться 4 раза в день, а может ..."
"144B9865-BA17-B1C9-E578-8E09138DF227";"Как укрепить желудок с помощью питания";;"RpjxvZN-KwY";"Как укрепить желудок и кишечник - Медицинский блог";"http://www.belinfomed.com/kishechnik/kak-ukrepit-zheludok-i-kishechnik.html";"Как укрепить желудок с помощью питания Сегодня, наверняка, уже никого не удивишь слабым желудком – это очень распространенная проблема, ...";"Полезное питание для больного желудка - Азбука здоровья";"http://healthabc.net/pitanie-dlya-zheludka.html";"Как защитить желудок: 5 советов по укреплению здоровья ЖКТ. Гастрит ... Неправильное питание, алкоголь, прием некоторых лекарств могут серьезно нарушить ее работу. .... Принимают эти средства через 1–2 часа после еды.";"Здоровье желудка: основные факторы защиты слизистой ...";"https://www.kp.ru/guide/zdorov-e-zheludka.html";"Заболевания органов желудочно-кишечного тракта; Лечебное питание; Медицинские .... учением об оздоровлении и лечении болезней с помощью изменения питания. .... Цинк – важнейший минерал для укрепления иммунитета."
"7CC0F3B9-AC59-F7CB-0C1A-58EDFD4E9171";"Интересные факты о перце чили";;"sToNpmMzlgM";"Интересные факты о перце чили - MedAboutMe";"https://medaboutme.ru/obraz-zhizni/publikacii/stati/pitanie_i_diety/zhguchaya_tayna_vse_chto_nado_znat_o_pertse_chili/";"28 апр 2018 ... Чем полезен для здоровья острый перец чили, и какие его сорта самые жгучие и полезные?";"Интересные факты о перце (6 фото) » Интересные факты ...";"https://billionnews.ru/4437-perec.html";"17 янв 2017 ... Если у обычного человека спросить, какие виды перца он знает, то ответ будет примерно такой: «Болгарский, чили, молотый, горошек, ...";"Интересные факты о перце чили / Едальня";"http://edalnya.com/2017/04/interesnye-fakty-o-perce-chili.html";"10 апр 2017 ... Интересные факты о перце чили. Все виды перца-чили относятся к роду Капсикум (Capsicum). Их родиной, как и всего семейства ..."
"592016AE-6183-8A87-3C0E-F31EBAC035C2";"Как снизить вязкость крови";;"gFU8oemU9Kw";"Как уменьшить вязкость крови? Разжижение крови - Лечение ...";"https://krasgmu.net/publ/lechenie_narodnymi_sredstvami/kak_umenshit_vjazkost_krovi_razzhizhenie_krovi/21-1-0-474";"Как правило, чтобы снизить вязкость крови, необходимо увеличить количество потребляемой жидкости. Например, клюквенный чай эффективно ...";"Как уменьшить вязкость крови - AstroMeridian.ru";"http://www.astromeridian.ru/medicina/snizit_vjazkost_krovi.html";"Для того, чтобы разжижить кровь и снизить вязкость, прежде всего нужно изменить привычный рацион питания. Повышение вязкости крови является ...";"Разжижение крови – показания к проведению, препараты для ...";"https://okeydoc.ru/razzhizhenie-krovi-pokazaniya-i-pravila-primeneniya-preparatov-i-narodnyx-sredstv-dlya-razzhizheniya-krovi/";"Медицине известны и причины повышения вязкости крови, и первые ... тромбоцитов в крови, при повышенном показателе активно снижает его."
"0512C477-E633-DD33-1FD9-91E167BA8B41";"Какие продукты сжигают жир";;"JtUYTVgGJBQ";"5 продуктов, сжигающих жир - Регулярное употребление ...";"https://www.segodnya.ua/lifestyle/food_wellness/5-produktov-szhigayushchih-zhir-676427.html";"18 дек 2015 ... Для того чтобы похудеть, нужно меньше есть, больше двигаться и сжигать жир. Это простая и ясная как день истина, от которой "не ...";"Едим и худеем: 20 продуктов, сжигающих жиры - Росбалт";"http://www.rosbalt.ru/style/2015/10/26/1454530.html";"26 окт 2015 ... Едим и худеем: 20 продуктов, сжигающих жиры. ... перепонки, потому что именно в них и содержится то вещество, которое сжигает жир.";"Сжигают жир и помогают похудеть. 11 «волшебных» продуктов ...";"http://www.aif.ru/food/diet/szhigayut_zhir_i_pomogayut_pohudet_11_volshebnyh_produktov";"18 ноя 2013 ... Так называемые жиросжигающие продукты – действительно помогают похудеть. Но только со сжиганием жиров дело обстоит чуть ..."
"D0FDC953-6D15-5F53-6BB4-3BDC82C33545";"Как похудеть, правильно питаясь";;"JP87W4FJ5Yc";"Правильное питание для похудения, принципы и советы на ...";"http://www.pravilnoe-pokhudenie.ru/pravilnoe-pitanie-dlya-pokhudeniya.shtml";"Многие ошибочно считают, что если правильно подобрать для себя набор ... Итак, для того, чтобы хорошо питаться, но при этом не набирать вес и ...";"Как похудеть правильно питаясь? Меню для мясоедов и ...";"https://slimim.com/8633/pravilnoe-pitanie/";"Как похудеть на правильном питании? Калорийность продуктов. Составление рациона. Сколько грамм можно в день мяса. Пирамида Маслоу. Меню на ...";"Правильное питание для похудения: что кушать, чтобы похудеть";"http://www.azbukadiet.ru/2011/08/01/pravilnoe-pitanie-dlya-poxudeniya.html";"Примерное меню для женщины, которая хочет похудеть, питаясь правильно,  ..."
