"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
"7C420BBA-0C97-7896-2EE9-5765E1A2B859";"Как получить налоговый вычет";"kak-poluchit-nalogovyy-vychet";"2ESeA74yEX8";"Как получить налоговый вычет при покупке квартиры в 2017 году?";"null";"";"Как получить налоговый вычет при покупке квартиры в 2017 году?";"null";"Пошаговое описание процесса получения имущественного налогового вычета при покупке квартиры/дома/земли.";"Налоговый вычет при покупке квартиры/дома - 2017 | Верни Налог";"null";"Процесс получения вычета состоит из: сбора и подачи документов в налоговую инспекцию, проверки документов ...";"Инструкция: как получить налоговый вычет - Газета.Ru";"null";"Налоговый вычет: как получить 650 тысяч от государства. Инструкция: как получить налоговый вычет. Олеся Шаповал 11.04.2015, 16:08. ТАСС.";
"F646519C-1251-5CCF-5188-9AE5B1F8F7B8";"Как посчитать ндс с суммы денег";"kak-poschitat-nds-s-summy-deneg";"vxROj5RDbms";"Как вычислить НДС от суммы | калькулятор НДС 2017, формула";"null";"Если вы не знаете, как правильно посчитать НДС, воспользуйтесь нашим ... Налог рассчитывается так только если в сумму полученных денег уже ...";"Как считать НДС: правильно вычисляем 18% от суммы (пример ...";"null";"18 окт 2017 ... Как вычислить НДС от суммы?Это несложно: нужно просто математически рассчитать процент. Расчет производится по формуле:.";"Как рассчитать НДС от суммы: ставка и формула - Свой бизнес";"null";"2 Ставка НДС в России; 3 Ставка НДС в 2014 году; 4 Кто платит НДС и кто не платит; 5 Формула для расчета; 6 Как выделить НДС от суммы?";"Как правильно рассчитать ндс, формула и пример расчета ...";"null";"Х Рассчитать сумму налоговой базы. Эта процедура производится на основании положений статьи 154 НК РФ. Данная сумма равняется стоимости ...";
"6ED82370-D3FA-ACDC-E9DD-1B910CDDEB37";"Как сдать декларацию";"kak-sdat-deklaraciyu";"Bi1bBLAh9oo";"НАЗК: Подання е-декларації – безумовна вимога ...";"null";"7 жов. 2016 ... Національне агентство з питань запобігання корупції (НАЗК) звертає увагу суб'єктів декларування, які займають відповідальне та ...";"Отчётная декларация предпринимателя-единщика ...";"null";"1 окт 2017 ... Сдавать отчётность нужно, даже если вы не ведёте ... Форма декларации предпринимателя-единщика утверждена Приказом Минфина ...";"Декларация о доходах физических лиц - 2017 (Украина) - Бухучет";"null";"Освобождение oт сдачи декларации. 06. Порядок оформления декларации. 07. Сроки сдачи и уплаты. 08. Способы подачи. 09. Какие штрафы угрожают  ...";"Как украинцам подать налоговые декларации и не нарваться на ...";"null";"1 мар 2017 ... До 1 мая украинцы должны подать декларации о доходах по ... АО «Suprema Lex» Виктор Мороз, человек, который сдает квартиру (дом ...";
"6D50075C-F6F5-CA4B-DC58-3113E87711F2";"Как платить транспортный налог";"kak-platit-transportnyy-nalog";"qCvElNicKnc";"Кто и в каком размере платит транспортный налог";"null";"Из этой статьи вы узнаете о том, как рассчитать транспортный налог в 2017 г., в какие сроки и как оплатить транспортный налог в Украине.";"Транспортный налог (2017) в Украине | УкрСтрахование";"null";"С другой стороны, новый владелец авто должен заплатить транспортный налог, ...";"Налог на авто в Украине 2017,транспортный налог,как ...";"null";"В настоящий момент владельцы автотранспорта платят исключительно транспортный налог (налог на авто). Разделение труда - вот главное отличие ...";"Кому и как платить транспортный налог";"null";"Кому и как платить транспортный налог. Налог с владельцев транспортных средств. Для пешеходов он так далек, абстрактен, чужд. Для владельцев ...";
"82714BA2-4DD7-BBF2-7173-F5CDEB024F4E";"Как вернуть подоходный налог";"kak-vernut-podohodnyy-nalog";"hxZG0_YWcOs";"Как вернуть подоходный налог с зарплаты - Главная книга";"null";"";"Как вернуть подоходный налог с зарплаты в 2017 году";"null";"Как вернуть подоходный налог со своей зарплаты? Список налоговых вычетов для возврата налога с зарплаты, необходимые документы для ...";"Как вернуть подоходный налог с зарплаты - Главная книга";"null";"28 фев 2017 ... Как сдать декларацию на возврат подоходного налога, НДФЛ, получение вычетов.";"Как вернуть подоходный налог, если у меня есть ребенок ...";"null";"10 дек 2014 ... Способы возврата подоходного налога - через работодателя и через налоговую инспекцию.";
"68EDE7B9-8014-BEEA-BC57-078AB82A88A3";"Как оформить налоговые вычеты";"kak-oformit-nalogovye-vychety";"JxgE0RHlXDw";"Как оформить налоговый вычет и вернуть 13% от стоимости ...";"null";"";"Как оформить налоговый вычет и вернуть 13% от стоимости ...";"null";"26 янв 2016 ... Заплатили налоги? Верните их у государства обратно! На что и как можно оформить налоговый вычет, подробно расскажем в статье.";"Как оформить получение налогового вычета при покупке квартиры";"null";"Узнайте из статьи, как происходит получение налогового вычета при покупке квартиры или дома, и как вернуть сумму уплаченного налога.";"Верни Налог - оформление налоговых вычетов просто | Возврат ...";"null";"Верни Налог - это собрание самой полной информация по налоговым вычетам, возврату ... ВерниНалог | Налоговые вычеты и 3-НДФЛ — просто!";
"8EB87346-085D-D077-EF14-4BEAF29C3694";"Как узнать налоговую задолженность";"kak-uznat-nalogovuyu-zadolzhennost";"https://www.youtube.com/watch?v=nuYWznvWoDo&sa=U&ved=0ahUKEwjYo5ij1sfXAhWKC5oKHeDxD98QtwIIFjAA&usg=AOvVaw2lZN9mC-_65vBISXQffU6m";"Каким образом можно проверить, существует ли задолженность ...";"null";"Для того, чтобы узнать о наличии задолженности, предприниматель может либо лично обратиться в органы налоговой службы, либо воспользоваться ...";"Наличие задолженности перед налоговой теперь можно ...";"null";"Государственная налоговая служба Украины открыла ... и узнать фактическое состояние расчетов такого плательщика с бюджетом.";"Узнай свою задолженность - Федеральная налоговая служба";"null";"Уважаемые пользователи! Предлагаем Вам воспользоваться одним из следующих сервисов: Получить информацию о задолженности с помощью ...";"Узнать задолженность по налогам по ИНН. Проверить и ...";"null";"Проверить и оплатить налоги налоги физических лиц. Проверка задолженности, оплата налогов и подписка на уведомления о новых начислениях.";
"69B00D5C-52E1-F364-3DF0-EE00DB08C435";"Как рассчитать сумму ндс";"kak-rasschitat-summu-nds";"vxROj5RDbms";"НДС калькулятор онлайн - как выделить НДС и как начислить НДС";"null";"";"НДС калькулятор онлайн - как выделить НДС и как начислить НДС";"null";"Онлайн НДС калькулятор позволит быстро выделить или начислить НДС. Чтобы рассчитать НДС вам только нужно указать сумму, выбрать операцию  ...";"НДС калькулятор";"null";"Просто введите сумму, выберите операцию выделения или начисления НДС , ставку и нажмите кнопку «Вычислить» чтобы рассчитать НДС. Зачем?";"Формулы расчета НДС, сумма с НДС, сумма без НДС";"null";"29 май 2008 ... Одна из задач на проценты — расчет НДС, расчет суммы с НДС, суммы без ... Пусть известна сумма S. Надо вычислить сумму НДС, ...";
"60B3922E-CA7F-6D3B-F3FA-EFAA9C2D348A";"Как узнать транспортный налог";"kak-uznat-transportnyy-nalog";"kA4Xz_ic-vs";"Проверить задолженность по уплате транспортного налога и как ...";"null";"";"Как узнать транспортный налог по номеру автомобиля в 2017 ...";"null";"Как проверить транспортный налог по номеру машины? После приобретения транспортного средства автовладелец обязан своевременно оплачивать ...";"Проверить задолженность по уплате транспортного налога и как ...";"null";"Проверить уплату транспортного налога можно несколькими способами. ... по уплате транспортного налога и как оплатить транспортный налог.";"Транспортный налог 2017. Проверка и уплата транспортного ...";"null";"Онлайн проверка и оплата транспортного налога. Бесплатные уведомления о начислении транспортного налога по электронной почте.";
"858EB2AF-35F8-5BFD-ADD5-1FAC8475DFBF";"Как вернуть 13 процентов";"kak-vernut-13-procentov";"https://www.youtube.com/watch?v=miawHj2dkKc&sa=U&ved=0ahUKEwiu9dC21sfXAhXKa5oKHSmID3MQtwIIFjAA&usg=AOvVaw1BSEAISS-H49RRTSFxQhvr";"Возврат 13 процентов от покупки квартиры - Налогия";"null";"";"Вернуть 13 процентов, или Как получить налоговый вычет | ФНС ...";"null";"23 мар 2015 ... Вернуть 13 процентов, или Как получить налоговый вычет | ФНС | 29 Архангельская область и Ненецкий ао.";"Возврат 13 процентов от покупки квартиры - Налогия";"null";"Ставка налога на доходы - 13 процентов. Покупка жилья - это основание вернуть налог на доходы в определенном размере. Поэтому после покупки ...";"Как вернуть подоходный налог с зарплаты в 2017 году";"null";"Как вернуть подоходный налог со своей зарплаты? ... Итак, давайте же рассмотрим за что можно вернуть подоходный налог 13 процентов с зарплаты.";
