GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
3C9C0A05-CC17-4A91-F4EB-6F2427E0D3B2;Как мариновать шашлык в майонезе;fD61YFZrHuU;;;;;;;;;
E52E97CF-9A28-BC19-6164-1B64C5B470B8;Как замариновать шашлык из говядины;;;;;;;;;;
AE499D1A-508E-67E3-1F28-73E91B82652B;Как мариновать шашлык из свинины с уксусом;;;;;;;;;;
AADCA46C-7B92-C6A6-D04E-55812098C9D3;Шашлык из свинины маринованный майонезом с лимонным соком;;;;;;;;;;
4892B902-1166-44CC-1B3B-07E14F6421B5;Как мариновать свининой шашлык;;;;;;;;;;
05F6D6BE-B537-19B8-C1FC-97A0C96E4DF9;Как мариновать баранину на шашлык;DZlmN-hRuXw;;;;;;;;;
FB7DFF79-3941-1258-5FE6-587C3770E26B;Как сделать шашлык мягким;W5RlcCKNKL4;;;;;;;;;
A1E1C2A8-9670-1DF2-3F5D-D143CFAE0D37;Как сделать шашлык из индейки;;;;;;;;;;
E58E5522-CAD4-DB9A-B00B-A71693557FA3;Как приготовить шашлык дома;;;;;;;;;;
4192682C-AED2-FF4C-A06C-5B04430B22A0;Как замариновать шашлык с уксусом;;;;;;;;;;
313BEA24-9F36-02F4-4F0E-C5001B09599D;Как приготовить шашлык на сковороде;5kzyLUItTbU;;;;;;;;;
6C417AA4-9F36-2529-6EEB-8B659BC18405;Как жарить шашлык из свинины в 2018 году;wvgqrfDUkew;;;;;;;;;
140C1319-B1CB-40F0-DD2F-75A19A47F76A;Как приготовить сочный шашлык;W5RlcCKNKL4;;;;;;;;;
6754A51F-E5FD-30FE-6388-669BB3B95F13;Как мариновать шашлык в кефире;;;;;;;;;;
36A1DE30-8962-28BD-3DF9-1AB509A44C63;Как мариновать куриный шашлык;;;;;;;;;;
997756EA-C984-5A29-41BB-76095B293687;Как сделать шашлык из шампиньонов;;;;;;;;;;
5598F08D-C516-5BC2-6F9B-226794832B29;Шашлык в рукаве;05WFsTY7hAk;;;;;;;;;
C80B3655-5316-76A3-26B4-E85C1A53EF25;Блинные шашлыки;;;;;;;;;;
C18D2BFF-4123-121D-9A9A-5CFD29B7812B;Из какой рыбы можно приготовить шашлык;;;;;;;;;;
097FC75A-D999-7B4F-DB61-B418E2492B1C;Как замачивать шашлык в минеральной воде;;;;;;;;;;
A67C26FF-BCEA-86D6-25A1-135C15CDEB51;Как мариновать шашлык с киви;mjS7j9xHNHU;;;;;;;;;
63804C7E-E5FA-39C8-E870-CAB3F0FECD6A;Как приготовить сочный шашлык по-армянски;;;;;;;;;;
D1284ABB-6708-3DF6-6AE2-BAE77F254AF1;Как приготовить шашлык из свинины с уксусом;;;;;;;;;;
BE293102-0A58-1BE5-98BA-5EE0B58320A3;Как приготовить шашлык из свинины;;;;;;;;;;
E9397D9E-A443-3480-6539-8AC2AAB6A55F;Как приготовить шашлык из курицы: кулинарные советы;;;;;;;;;;
CD5F7D00-ECA3-EA38-F2D0-9565D32DA69B;Куриная печень. Необычные шашлыки;;;;;;;;;;
4F1DC76E-8A16-ABF0-3885-1CDDF7933376;Как замариновать говядину для шашлыков;;;;;;;;;;
E843386E-8986-84A5-59CB-589A150E9611;Шашлык из куриной голени;;;;;;;;;;
E9AA7A93-49A9-5A4D-EC00-98814B0FFDF0;Как приготовить правильный шашлык;Lu3N2nZ3DOg;;;;;;;;;
