"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Чек бокс1-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";"Форматированное текстовое поле3-1";"Чек бокс3-1"
"Подготовка к празднику";"7CBBDD36-714F-5EF3-499D-BDAE14F5F03C";"ID00000000";"";"";"";"";"podgotovka-k-prazdniku";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7CBBDD36-714F-5EF3-499D-BDAE14F5F03C;;"";"";"";;;;"D2843E67-BF00-EAD0-B55A-3F8AA1255A10";"Как сделать своими руками открытки на новый год";"Традиция дарить на праздники открытки зародилась очень давно. В настоящее";"Думаю, есть на земле люди, которые не верят в Астрологию и считают всё это шарлатанством, но подумайте сами, если бы не эта наука, которой огромное количество лет, то разве было бы не скучно? Как тогда бы мы ориентировались в таких вопросах: какой год по астрологическому календарю, кто его покровитель, какие цвета и вещи актуальны и так далее. Естественно, можно не задумываться об этом и делать всё по накатанной: кому что нравится, то и делает. Но ведь это скучно и однообразно. А так у человечества есть ориентир, которого придерживаются и скептики в том числе. Это ли не новогоднее чудо?!";"рука,выучивать,год,родной,держать,новый,лапа,картон,открытка,елка,тесьма,открытки к новому году своими руками,открытки на новый год своими руками,Новый год своими руками";"1";"0";"kak-sdelat-svoimi-rukami-otkrytki-na-novyy-god";"Как сделать своими руками открытки на новый год - Подготовка к Новому году на сайте Это Праздник";"Как сделать своими руками открытки на новый год - Лучшие советы по подготовке к Новому году!";"рука, выучивать, год, родной, держать, новый, лапа, картон, открытка, елка, тесьма, открытки к новому году своими руками, открытки на новый год своими руками, Новый год своими руками, Как сделать своими руками открытки на новый год видео";"1";"15.11.2017 17:12:19";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/7/1/4/item_7146/informationsystem_items_catalog_image7146.jpg";"/upload/information_system_128/7/1/4/item_7146/small_informationsystem_items_catalog_image7146.jpg";"";"0";"Вам понадобится

<ul class=""needs__list"">
<li>- цветной картон формата А4</li><li>- декоративная тесьма (шириной до 1 см)</li><li>- ножницы </li><li>- клей - карандаш</li><li>- карандаш</li><li>- бисер</li><li>- линейка</li><li>- гелевая ручка (любого яркого цвета)</li>
</ul>


Инструкция




1

В самом начале, для того чтобы сделать своими руками открытки на Новый Год, вам нужно нарисовать схему выбранного контура для елки на цветном картоне, сложив его предварительно вдвое и получив формат А5, учитывая, что елка должна состоять из трех или четырех ярусов. Нижний ярус содержит наибольшее число ярусов (4 – 5 ярусов). Во всех остальных, поднимаясь к верху елки – на один ярус в убывающем порядке.




2

Необходимо учесть ширину тесьмы и пропорции елки, располагая ее снизу вверх. В нижнем ярусе основание будет восемь сантиметров, а располагающиеся над ним нужно подрезать наискосок, имитируя ветки елки. Следующий ярус (верхний), будет на целых полтора сантиметра меньше от нижнего (расположенного под ним). И так каждый ярус, который подрезается наискосок.";"Вам понадобится

<ul class=""needs__list"">
<li>- цветной картон формата А4</li><li>- декоративная тесьма (шириной до 1 см)</li><li>- ножницы </li><li>- клей - карандаш</li><li>- карандаш</li><li>- бисер</li><li>- линейка</li><li>- гелевая ручка (любого яркого цвета)</li>
</ul>


Инструкция




1

В самом начале, для того чтобы сделать своими руками открытки на Новый Год, вам нужно нарисовать схему выбранного контура для елки на цветном картоне, сложив его предварительно вдвое и получив формат А5, учитывая, что елка должна состоять из трех или четырех ярусов. Нижний ярус содержит наибольшее число ярусов (4 – 5 ярусов). Во всех остальных, поднимаясь к верху елки – на один ярус в убывающем порядке.




2

Необходимо учесть ширину тесьмы и пропорции елки, располагая ее снизу вверх. В нижнем ярусе основание будет восемь сантиметров, а располагающиеся над ним нужно подрезать наискосок, имитируя ветки елки. Следующий ярус (верхний), будет на целых полтора сантиметра меньше от нижнего (расположенного под ним). И так каждый ярус, который подрезается наискосок.




3

Вырезав и сформировав ветки новогодней елки из декоративной тесьмы (желательно зеленоватых оттенков и с праздничным декоративным блеском или элементами ворса), сделать своими руками открытки на Новый Год вам не составит труда, расположив все фрагменты новогодней елки в нужной схеме и закрепив их на картон клеем-карандашом. У вас получится новогодняя красавица-елка, которую нужно будет украсить по верху каждой ветки бисером или расположив его в виде гирлянд, наклеив их в виде перехлестывающихся нитей. На макушку елки клеится яркая пайетка.




4

Контур открытки оклеиваете бисером, расположив его как снег (белый бисер). А оформленную открытку гелевой (красной или синей) ручкой подписываете, нанося надпись «С Новым годом!». Сами литеры можете выполнить широкими, если тоже припорошите белыми или прозрачными бисеринками.<br/>Открытка почти готова. Необходимо только внутри нее, используя тонкий карандаш, нанести едва заметные линии для поздравительной надписи.";"0";"1";"iJA-J4yXiU0";"Источник: Как сделать своими руками открытки на новый год";"https://www.kakprosto.ru/print/7320";"Все советы по подготовке к празднованию Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/7320";"0"
;7CBBDD36-714F-5EF3-499D-BDAE14F5F03C;;"";"";"";;;;"54D780D9-85F3-63AB-B55B-3E00853E4C36";"Как украсить бутылку шампанского";"Когда приходишь на праздник, всегда приятно сесть не только за богато накрытый";"Наверное, каждый человек, осознанно или нет, ждёт в новогоднюю ночь чуда. И осознаёт он это или нет, но в роли волшебника выступает сам человек, поэтому свершится чудо или нет зависит от него. Почему именно новогоднее время особенное, а подготовка к новогодним и рождественским праздникам начинается практически с наступлением холодов? Ведь, казалось бы, обычный день, обычная ночь, но именно сам человек делает её волшебной. Кто как не человек наполняет волшебством всё вокруг. Подумайте сами. Разве не волшебство, то что каждый из на так старательно украшает свой дом к Новому году, тщательно выбирает и готовит подарки, заряжает необычайной энергетикой дерево, искусственное или живое, украшает его самыми невероятными игрушками, готовит вкусные блюда, одевается в лучшую одежду и развлекается в новогоднюю ночь так, как ни в одну другую ночь в году. Подумайте сами, разве это не волшебство, а человек не кудесник?! Когда ещё такое возможно, как не в новогоднюю ночь. Волшебную ночь!";"украшение,бутылка,праздник,шампанское,как украсить бутылку шампанского";"1";"0";"kak-ukrasit-butylku-shampanskogo";"Как украсить бутылку шампанского - Подготовка к Новому году на сайте Это Праздник";"Как украсить бутылку шампанского - Лучшие советы по подготовке к Новому году!";"украшение, бутылка, праздник, шампанское, как украсить бутылку шампанского, Как украсить бутылку шампанского видео";"1";"15.11.2017 17:12:20";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/7/1/4/item_7147/informationsystem_items_catalog_image7147.jpg";"/upload/information_system_128/7/1/4/item_7147/small_informationsystem_items_catalog_image7147.jpg";"";"0";"Инструкция




На день рождения или юбилей.<br/>Здесь можно использовать многочисленные банты, кружево, бисер. Если именинница молода, добавьте ярких озорных красок в оформление, например, привяжите к каждой бутылке яркий шар на ниточке. Вместо этикетки приклейте красивый бант, сделанный своими руками (на крайний случай можно купить в магазине). Можно придумать оформление в зависимости от хобби или увлечения именинника. Например, если человек занимается боксом, повесьте на горлышко маленькие боксерские перчатки или футболку и шорты.<br/>Юбилярам часто меняют этикетку на шампанском. С помощью программ, редактирующих изображения, создают свою этикетку: например, юбиляру Петрову наверняка очень понравится «Петровское игристое, созданное на лучших плантациях садоводческого товарищества «Огонек», естественно, с фотографией юбиляра.


<img alt=""Как украсить бутылку шампанского"" src=""https://st03.kakprosto.ru/tumb/680/images/article/2011/4/4/1_5255272922e5e5255272922e9d.jpg""/>






На корпоративный праздник.<br/>Все зависит от профиля работы вашей фирмы. В зависимости от этого можно «поиграть» с названиями для шампанского и также сделать новые этикетки.";"Инструкция




На день рождения или юбилей.<br/>Здесь можно использовать многочисленные банты, кружево, бисер. Если именинница молода, добавьте ярких озорных красок в оформление, например, привяжите к каждой бутылке яркий шар на ниточке. Вместо этикетки приклейте красивый бант, сделанный своими руками (на крайний случай можно купить в магазине). Можно придумать оформление в зависимости от хобби или увлечения именинника. Например, если человек занимается боксом, повесьте на горлышко маленькие боксерские перчатки или футболку и шорты.<br/>Юбилярам часто меняют этикетку на шампанском. С помощью программ, редактирующих изображения, создают свою этикетку: например, юбиляру Петрову наверняка очень понравится «Петровское игристое, созданное на лучших плантациях садоводческого товарищества «Огонек», естественно, с фотографией юбиляра.							


<img alt=""Как украсить бутылку шампанского"" src=""https://st03.kakprosto.ru/tumb/680/images/article/2011/4/4/1_5255272922e5e5255272922e9d.jpg""/>






На корпоративный праздник.<br/>Все зависит от профиля работы вашей фирмы. В зависимости от этого можно «поиграть» с названиями для шампанского и также сделать новые этикетки. В строительной фирме поместите бутылку в «колодец», стилизованный (или раскрашенный) под кирпич, а вот пекари нередко выкладывают вокруг бутылки хворост или розы из бекона. Дело в вашей фантазии. Даже просто шарики, разноцветные ленты и банты будут красиво смотреться.							


<img alt=""Как украсить бутылку шампанского"" src=""https://st03.kakprosto.ru/tumb/680/images/article/2011/4/4/1_525527293dce9525527293dd26.jpg""/>






На Новый год.<br/>Новый год – время чудес, время самых теплых пожеланий. И готовиться к нему нужно заранее. Согласитесь, под бой курантов гораздо приятнее открывать шампанское с этикеткой «Все будет хорошо» или «Пусть в Новом году вас ждет счастье!». Украсьте бутылки снежинками, «снежной» бахромой из ваты или кружев, обвейте серпантином, дождиком или мишурой. И конечно, не забудьте про Деда Мороза и Снегурочку. Их также можно изготовить как весьма символичные красный и голубой чехольчик с шапочками. Ну, или также посадите на горлышко игрушку на магнитах или на резинках – животное, символизирующее наступающий год (продаются в специализированных магазинах).							


<img alt=""Как украсить бутылку шампанского"" src=""https://st03.kakprosto.ru/tumb/680/images/article/2011/4/4/1_5255272942a365255272942a72.jpg""/>";"0";"1";"";"Источник: Как украсить бутылку шампанского";"https://www.kakprosto.ru/print/12191";"Все советы по подготовке к празднованию Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/12191";"0"
;7CBBDD36-714F-5EF3-499D-BDAE14F5F03C;;"";"";"";;;;"CBD2D401-982C-4617-6AA2-60E97EC137F6";"Как сделать новогодние шары";"Почти каждый человек во всем мире любит праздники. Они бывают различными";"Наверное, каждый человек, осознанно или нет, ждёт в новогоднюю ночь чуда. И осознаёт он это или нет, но в роли волшебника выступает сам человек, поэтому свершится чудо или нет зависит от него. Почему именно новогоднее время особенное, а подготовка к новогодним и рождественским праздникам начинается практически с наступлением холодов? Ведь, казалось бы, обычный день, обычная ночь, но именно сам человек делает её волшебной. Кто как не человек наполняет волшебством всё вокруг. Подумайте сами. Разве не волшебство, то что каждый из на так старательно украшает свой дом к Новому году, тщательно выбирает и готовит подарки, заряжает необычайной энергетикой дерево, искусственное или живое, украшает его самыми невероятными игрушками, готовит вкусные блюда, одевается в лучшую одежду и развлекается в новогоднюю ночь так, как ни в одну другую ночь в году. Подумайте сами, разве это не волшебство, а человек не кудесник?! Когда ещё такое возможно, как не в новогоднюю ночь. Волшебную ночь!";"шар,как сделать новогодние шары";"1";"0";"kak-sdelat-novogodnie-shary";"Как сделать новогодние шары - Подготовка к Новому году на сайте Это Праздник";"Как сделать новогодние шары - Лучшие советы по подготовке к Новому году!";"шар, как сделать новогодние шары, Как сделать новогодние шары видео";"1";"15.11.2017 17:12:20";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/7/1/4/item_7148/informationsystem_items_catalog_image7148.jpg";"/upload/information_system_128/7/1/4/item_7148/small_informationsystem_items_catalog_image7148.jpg";"";"0";"Вам понадобится

<ul class=""needs__list"">
<li>Для того чтобы сделать новогодние шары, вам понадобятся различные красивые нити, воздушные шары, насос для шаров, клей. Также вы можете использовать по желанию блестки, разноцветный бисер, ленточки.</li>
</ul>


Инструкция




1

Новый Год - это праздник, который охватывает практически все население. Люди готовятся к нему - покупают подарки, новогодние украшения и наряжают елку. В наше время в магазинах продается множество различных украшений: гирлянды, звезды, новогодние <strong>шары</strong>, мишура. Почти каждый может выбрать новогодние игрушки на свой вкус. Но если вы не хотите украшать свой дом, свою елку игрушками из магазина, то можно сделать их своими руками.




2

Для того чтобы сделать новогодние <strong>шары</strong>, вам понадобится не только материал для работы, но и усидчивость, а так же время. Для начала вам нужно надуть 10-20 шаров. Шары лучше всего использовать небольшого размера. Они хорошо подойдут для дальнейшего оформления елки. Если вы не сумеете сами надуть шарик, то в этом вам поможет специальный насос.";"Вам понадобится

<ul class=""needs__list"">
<li>Для того чтобы сделать новогодние шары, вам понадобятся различные красивые нити, воздушные шары, насос для шаров, клей. Также вы можете использовать по желанию блестки, разноцветный бисер, ленточки.</li>
</ul>


Инструкция




1

Новый Год - это праздник, который охватывает практически все население. Люди готовятся к нему - покупают подарки, новогодние украшения и наряжают елку. В наше время в магазинах продается множество различных украшений: гирлянды, звезды, новогодние <strong>шары</strong>, мишура. Почти каждый может выбрать новогодние игрушки на свой вкус. Но если вы не хотите украшать свой дом, свою елку игрушками из магазина, то можно сделать их своими руками.




2

Для того чтобы сделать новогодние <strong>шары</strong>, вам понадобится не только материал для работы, но и усидчивость, а так же время. Для начала вам нужно надуть 10-20 шаров. Шары лучше всего использовать небольшого размера. Они хорошо подойдут для дальнейшего оформления елки. Если вы не сумеете сами надуть шарик, то в этом вам поможет специальный насос.




3

После этого приготовьте клей. От выбора клея будет зависеть красота новогодних шаров. Поэтому лучше всего выбирать прозрачный канцелярский клей (например, можно взять ""Силикатный""). Также приготовьте различные нити, ленты, бисер. Выдавите небольшое количество клея на руки, после чего обмажьте надутый маленький шарик. Не дожидаясь высыхания, начните обматывать его нитками. Нити для этой процедуры могут быть совершенно разными. Можно делать обмотку двумя-тремя разными нитями. Но главное - смотрите, чтобы цвета подходили по гамме.




4

После того как вы сделаете первый шарик, положите его сушиться (посмотрите, чтобы все нити прилипли к нему). Приступайте к следующему шару. Так проделайте со всеми вашими воздушными заготовками. Время до того, как шар высохнет - где-то один день. После полного высыхания необходимо лопнуть воздушный шар и аккуратно достать его из нитей. Нити, если необходимо, расправить. Можно наклеить на новогоднее украшение блестки, разноцветный бисер или обвязать красивыми лентами. Новогодние <strong>шары</strong>, украшения готовы радовать ваш глаз.";"0";"1";"B8opLlEpEBk";"Источник: Как сделать новогодние шары";"https://www.kakprosto.ru/print/29139";"Все советы по подготовке к празднованию Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/29139";"0"
;7CBBDD36-714F-5EF3-499D-BDAE14F5F03C;;"";"";"";;;;"4101E276-20C2-91B3-F21C-EB677C9681C8";"Как накрывать на стол на Новый год";"Новый год – повод порадовать близких излюбленными деликатесами и праздничной";"Думаю, есть на земле люди, которые не верят в Астрологию и считают всё это шарлатанством, но подумайте сами, если бы не эта наука, которой огромное количество лет, то разве было бы не скучно? Как тогда бы мы ориентировались в таких вопросах: какой год по астрологическому календарю, кто его покровитель, какие цвета и вещи актуальны и так далее. Естественно, можно не задумываться об этом и делать всё по накатанной: кому что нравится, то и делает. Но ведь это скучно и однообразно. А так у человечества есть ориентир, которого придерживаются и скептики в том числе. Это ли не новогоднее чудо?!";"стол,год";"1";"0";"kak-nakryvat-na-stol-na-novyy-god";"Как накрывать на стол на Новый год - Подготовка к Новому году на сайте Это Праздник";"Как накрывать на стол на Новый год - Лучшие советы по подготовке к Новому году!";"стол, год, Как накрывать на стол на Новый год видео";"1";"15.11.2017 17:12:20";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/7/1/4/item_7149/informationsystem_items_catalog_image7149.jpg";"/upload/information_system_128/7/1/4/item_7149/small_informationsystem_items_catalog_image7149.jpg";"";"0";"Инструкция




1

Накройте стол праздничной белоснежной скатертью с кружевами. Затем приготовьте столовую посуду. Лучше всего, когда вся посуда выдержана в одном стиле – поэтому позаботьтесь о готовом наборе посудной утвари в количестве на 12 персон (лучше больше, чем меньше – гости имеют особенность неожиданного появления на пороге квартиры). Расставьте посуду на столе на равном расстоянии друг от друга. Сначала расставьте глубокие тарелки, на них положите закусочные тарелки, а рядом совсем маленькие для десерта. Столовых приборов должно быть столько, сколько вы рассчитываете приготовить блюд, т.е. одна тарелка для салатов и закусок, вторая для вторых блюд – жаркого с гарниром, например. Поэтому с левой стороны тарелок положите несколько вилок, а справа несколько ножей с разным острием для нарезки мяса или рыбы. Ножи должны быть повернуты острием к тарелке. Приборами следует пользоваться, начиная с крайних и заканчивая самыми ближними к тарелке. Вовнутрь тарелки положите красиво сложенные салфетки в форме треугольника или веера.";"Инструкция




1

Накройте стол праздничной белоснежной скатертью с кружевами. Затем приготовьте столовую посуду. Лучше всего, когда вся посуда выдержана в одном стиле – поэтому позаботьтесь о готовом наборе посудной утвари в количестве на 12 персон (лучше больше, чем меньше – гости имеют особенность неожиданного появления на пороге квартиры). Расставьте посуду на столе на равном расстоянии друг от друга. Сначала расставьте глубокие тарелки, на них положите закусочные тарелки, а рядом совсем маленькие для десерта. Столовых приборов должно быть столько, сколько вы рассчитываете приготовить блюд, т.е. одна тарелка для салатов и закусок, вторая для вторых блюд – жаркого с гарниром, например. Поэтому с левой стороны тарелок положите несколько вилок, а справа несколько ножей с разным острием для нарезки мяса или рыбы. Ножи должны быть повернуты острием к тарелке. Приборами следует пользоваться, начиная с крайних и заканчивая самыми ближними к тарелке. Вовнутрь тарелки положите красиво сложенные салфетки в форме треугольника или веера. Также поставьте несколько бокалов, в зависимости, какой выбор у вас алкогольных напитков. Для коньяка - широкий бокал с низкой ножкой, для воды – простой стакан, для шампанского - красивый узкий фужер на длинной тонкой ножке.




2

Блюда. Обычно стараются готовить блюда на новый <strong>год</strong> в соответствии с «предпочтениями» символа <strong>год</strong>а, который наступает. Так в <strong>год</strong> кролика не стоит употреблять в ново<strong>год</strong>нюю ночь жареную с корочкой тушку кролика или зайца – символ <strong>год</strong>а может обидеться. Просмотрите в журналах, в интернете, чем советуют астрологи угощать гостей под бой курантов. Например, в <strong>год</strong> петуха, необходимо на столе иметь горстки орехов, сладких зерен, семечки и т.п. Так <strong>год</strong> будет урожайным для семьи в финансовом плане.




3

Ново<strong>год</strong>ние аксессуары. Чтобы придать столу настоящее ново<strong>год</strong>нее настроение, разложите вдоль стола по центру еловые ветки с шишками, и два крупных подсвечника, разукрашенных мишурой (смотрите, чтобы мишура не загорелась от свечи). Также поместите на стол фигуру, олицетворяющую символ <strong>год</strong>а и возле каждой тарелки насыпьте в маленькие мешочки сладкие угощения от деда мороза.";"0";"1";"";"Источник: Как накрывать на стол на Новый год";"https://www.kakprosto.ru/print/35519";"Все советы по подготовке к празднованию Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/35519";"0"
;7CBBDD36-714F-5EF3-499D-BDAE14F5F03C;;"";"";"";;;;"03DDE414-C78E-9EAA-223D-60D7CF767116";"Как украсить к Новому году класс";"Новый год - любимый и долгожданный праздник. Взрослые стремятся в этот день";"Новый год открывает просторы творчества для каждого человека, а значит возможность почувствовать себя чародеем: из яркой мишуры создать новогодний декор, приготовить самый обычный салат в форме Деда Мороза, из подручных средств создать костюм ребёнку, а себе украсить обычное платье самыми невероятными новогодними украшениями и стать королевой вечеринки! И тогда точно новогодняя сказка осуществиться. Всё это реально сделать каждому из нас с любым достатком. Ведь именно праздничная атмосфера и радостное настроение творят чудеса в жизни каждого из нас!";"класс,год,как украсить к новому году класс";"1";"0";"kak-ukrasit-k-novomu-godu-klass";"Как украсить к Новому году класс - Подготовка к Новому году на сайте Это Праздник";"Как украсить к Новому году класс - Лучшие советы по подготовке к Новому году!";"класс, год, как украсить к новому году класс, Как украсить к Новому году класс видео";"1";"15.11.2017 17:12:21";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"/upload/information_system_128/7/1/5/item_7150/informationsystem_items_catalog_image7150.jpg";"/upload/information_system_128/7/1/5/item_7150/small_informationsystem_items_catalog_image7150.jpg";"";"0";"Инструкция




1

Побеседуйте с детьми и выясните, без чего они не представляют себе этот праздник. Составьте перечень дел и того, что нужно приобрести в магазине заранее. Это могут быть материалы для изготовления гирлянд, фонариков, сувениров, а подарки и прочие украшения для елки лучше сделать своими руками. <br/>Если в течение недели или двух ребята заняты изготовлением украшений или приготовлением сюрпризов для одноклассников, радость от ожидания праздника ощущается сильнее.




2

В Новый год обязательно нужно поставить елку в классе. Если вы против того, чтобы срубали живые елки, купите искусственную. Ее можно нарядить и в следующем году. <br/>Ощущение праздника, возникающее от аромата ели, можно создать при помощи веток, которые нужно вплести в рождественский венок или поставить в красивую вазу. Прикрепляйте к крупной ветке те, что поменьше.




3

Если вы все-таки решили установить в классе большую и живую елку, продумайте, как будете ее украшать. Дети любят сладости.";"Инструкция




1

Побеседуйте с детьми и выясните, без чего они не представляют себе этот праздник. Составьте перечень дел и того, что нужно приобрести в магазине заранее. Это могут быть материалы для изготовления гирлянд, фонариков, сувениров, а подарки и прочие украшения для елки лучше сделать своими руками. <br/>Если в течение недели или двух ребята заняты изготовлением украшений или приготовлением сюрпризов для одноклассников, радость от ожидания праздника ощущается сильнее.




2

В Новый год обязательно нужно поставить елку в классе. Если вы против того, чтобы срубали живые елки, купите искусственную. Ее можно нарядить и в следующем году. <br/>Ощущение праздника, возникающее от аромата ели, можно создать при помощи веток, которые нужно вплести в рождественский венок или поставить в красивую вазу. Прикрепляйте к крупной ветке те, что поменьше.




3

Если вы все-таки решили установить в классе большую и живую елку, продумайте, как будете ее украшать. Дети любят сладости. Повесьте на дерево конфеты, мандарины, апельсины, но не забудьте их красиво украсить, завернув в яркую бумагу и подвесив на золотистой нити.<br/>Все должно быть проникнуто атмосферой праздника. Можно повесить гирлянды и шары, сделанные руками детей. Попросите ребят вырезать снежинки из бумаги.<br/>Для этого надо сложить лист несколько раз и сделать вырезы в середине. Края обрежьте зигзагом. Разверните лист. Должна получиться снежинка.




4

Сделайте вместе с детьми из бумаги и ваты снеговиков и поставьте у входа в класс. Украсьте их дождиком. Они будут встречать ребят по утрам.




5

Можно красиво разрисовать окна, изобразив на них Деда Мороза и Снегурочку, снежинки и елку.




6

Приготовьте стенгазету, в которой дети смогут написать праздничные поздравления друг для друга. Если есть в классе ребята, пишущие стихи, попросите их написать для стенгазеты.




7

Попросите детей приготовить подарки-сюрпризы друг для друга. Положите их в красивые коробки и спрячьте под елочкой. Не забудьте подписать, кому предназначен сюрприз. Когда дети придут в школу, праздничные сувениры их очень обрадуют.";"0";"1";"OoOSnj0cBmA";"Источник: Как украсить к Новому году класс";"https://www.kakprosto.ru/print/45362";"Все советы по подготовке к празднованию Нового Года на портале Как просто.ru.";"";"";"";"";"";"";"";"";"";"";"";"";"https://www.kakprosto.ru/print/45362";"0"
