Название элемента;Заголовок (title);Файл изображения для элемента;Адрес (youtube);Заголовок1-1;Ссылка1-1;Описание1-1;Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"Как отключить подписку на мегафоне";"Как отказаться от подписок мегафона";"https://st03.kakprosto.ru/tumb/680/images/article/2012/5/4/1_52550120bebc752550120bec07.jpg";"g7Pu6rk4xCc";"Как отключить подписки на Мегафоне быстро и бесплатно";"http://telefongid.ru/megafon/kak-otklyuchit-podpiski-na-megafone.html";"Многие абоненты не знают, как отключить подписки на Мегафоне, что приводит к значительной переплате за бесполезные услуги. Чтобы этого ...";"Как отключить подписки Мегафон и платные услуги оператора?";"https://kakpozvonit.ru/megafon/uslugi-megafon/kak-otklyuchit-podpiski-i-uslugi-megafon.html";"23 дек 2017 ... Самая частая причина, по которой абоненты начинают задаваться вопросом как отключить подписки Мегафон — исчезновение ...";"Как отключить подписки Мегафон !!! - Ok";"https://ok.ru/group53924794794095/topic/65126386597999";"Отключить подписки на Мегафоне 5051 На сегодняшний момент мобильные ... Способы отключения услуги Чтобы отключить подписку с номера 5051 ...";"Как отключить подписки на Мегафоне: пошаговая инструкция";"https://wirelesscover.ru/operator/megafon/kak-otklyuchit-podpiski";"Как самостоятельно проверить наличие и отключить все платные подписки на Мегафоне. Как установить запрет на сторонние платные подписки."
"Что такое стенокардия";"Как вылечить стенокардию";"https://st03.kakprosto.ru/tumb/680/images/article/2014/8/27/1_540d27c0e924b540d27c0e9289.jpg";"qWfHxPoO6dM";"Стенокардия - лечение болезни. Симптомы и профилактика ...";"http://www.likar.info/bolezni/Stenokardiya/";"Стенокардия. Стенокардия – это заболевание, которое характеризуется болезненными ощущениями за грудиной. Как правило, боль возникает ...";"Стенокардия, грудная жаба, причины, признаки, лечение";"http://www.xn--d1abbugjaxkh5b.xn--p1ai/consultations/kard-aritm/302-stenokardiya";"Стенокардия (грудная жаба) – это клиническая форма ишемической болезни сердца, которая проявляется в приступах внезапной боли в груди.";"Що таке напад стенокардії і як з ним боротися / Новое Время";"https://nv.ua/ukr/style/wness/health_wel/shcho-take-napad-stenokardiji-i-jak-z-nim-borotisja-2470611.html";"18 трав. 2018 ... Від людей, які страждають серцевими захворюваннями, нерідко можна почути, що у них трапляються напади стенокардії. Що ж являє ...";"Стенокардия: причины, симптомы, диагностика, лечение ...";"https://www.obozrevatel.com/health/bolezni/stenokardiya.htm";"Причиной развития стенокардии является недостаток кислородного питания сердечной мышцы, в результате недостаточного притока к ней крови."
"Как пересадить пионы";"Как пересаживают пионы";"https://st03.kakprosto.ru/tumb/680/images/article/2011/5/16/1_525501b2a1f92525501b2a1fce.jpg";"TbX5NmJNZP4";"Квіти півонії: посадка й догляд, фото, пересадка, зимівля, види і ...";"https://floristics.info/ua/statti/sadivnitstvo/2089-pivoniji-posadka-doglyad-peresadka-i-obrizka.html";"20 лис. 2014 ... Посадка й догляд за півоніями: як садити восени і навесні, як доглядати: підживлення, обрізування, пересадка: як і коли пересаджувати.";"Пионы: время пересаживать. Видео - Woman's Day";"http://www.wday.ru/dom-eda/soh/kogda-pravilno-peresajivat-pionyi/";"17 мар 2014 ... Пересадка пионов начинается не с выкапывания куста, а с подготовки места для будущей посадки. Дело в том, что цветок не любит ...";"ПИОН: правильная пересадка на другое место осенью и весной ...";"http://flowersholiday.com/peresadka-pionov-pravila-obzor/";"29 дек 2016 ... Рассказываем, как правильно пересадить пионы на другое место, чтобы они цвели. А также когда лучше и можно пересаживать пионы ...";"Пересадка пионов, сроки и правила посадки деленок - Всаду.ру";"https://vsadu.ru/post/peresadka-pionov-sroki-i-pravila-posadki-delenok.html";"Пересадка пионов летом на другое место, сроки и основные правила. Когда пересаживать пионы после цветения осенью, как поделить взрослый куст ..."
"Чем лечится ячмень";"Как вылечить ячмень";"https://st03.kakprosto.ru/tumb/680/images/article/2013/7/25/1_525516861639b52551686163d9.jpg";"bCGfWFXL4Vk";"Ячмень на глазу: что делать? - Медицинский портал EUROLAB";"https://www.eurolab.ua/eye-health/1608/2336/48454/";"Профессиональное лечение ячменя на глазу - основа его быстрого устранения и полного ...";"Ячмень на глазу: почему он «вскакивает» и как его лечить? - АиФ";"http://www.aif.ru/health/life/37985";"15 ноя 2012 ... Ячмень на глазу всегда появляется в самый неподходящий момент и доставляет массу проблем. И все же мало кто из нас ...";"Ячмень на глазу - лечение, симптомы, фото";"http://www.vseoglazah.ru/eye-diseases/hordeolum/";"10 июн 2018 ... Ячмень на глазу: симптомы, причины и лечение, в том числе в домашних условия. Автор статьи врач-офтальмолог с многолетним ...";"Как лечить ячмень на глазу: медикаменты и народные средства";"https://okulist.com.ua/zabolevaniya/bolezni/yachmen-na-glazu/";"6 окт 2016 ... Как быстро избавится от ячменя. Что делать если ячмень на глазу выскочил у ребенка. Какие народные средства самые эффективные ..."
"Как сварить варенье из крыжовника";"Как приготовить крыжовниковое варенье";"https://st03.kakprosto.ru/tumb/680/images/article/2018/7/30/332572_5b5eb2a8a80045b5eb2a8a803b.jpeg";"uM0EYY252rI";"Варенье из крыжовника - 11 рецептов приготовления пошагово ...";"https://1000.menu/catalog/varene-iz-kryjovnika";"Варенье из крыжовника - быстрые и простые рецепты для дома на любой вкус: отзывы, время готовки, калории, супер-поиск, личная КК.";"Янтарное варенье из крыжовника рецепт с фото пошаговый ...";"https://www.edimdoma.ru/retsepty/76310-yantarnoe-varenie-iz-kryzhovnika";"Рецепт приготовления Янтарное варенье из крыжовника, готовим вкусно и полезно рецепт с фото на сайте EdimDoma; Рецепты бабушкины, варенье ...";"Варенье из крыжовника на зиму: рецепты приготовления";"http://ivona.bigmir.net/cooking/toowners/361471-Varen-e-iz-kryzhovnika-s-apel-sinom-na-zimu";"22 июн 2018 ... Подборка рецептов варенья из крыжовника на зиму: как быстро и вкусно приготовить заготовку.";"Варенье из крыжовника рецепт: простой пошаговый рецепт";"https://24tv.ua/ru/varene_iz_kryzhovnika_recept_prostoj_recept_varenja_poshagovo_n844915";"24 июл 2017 ... Простой пошаговый рецепт варенья из крыжовника. Как правильно готовить варенье из крыжовника полезным и вкусным, рецепт ..."
"Как открыть Вконтакте";"Как пользоваться Вконтакте";"https://st03.kakprosto.ru/tumb/680/images/article/2014/2/11/70234_52f9fbc2e685d52f9fbc2e6895.jpeg";"0XnronmEYSo";"Поиск людей | ВКонтакте";"https://vk.com/search";"Установить приложение ВКонтакте. vk.me — быстрый доступ к обмену сообщениями. Делитесь ссылками на vk.me, чтобы сразу начать общение с ...";"Типичный Донецк";"https://vk.com/donetsk";"KissVK - бесплатный сервис для скачивания музыки с vk без установки программ. Качайте любимую музыку из вконтакте на компьютер, телефон или ...";"Мобильная версия";"https://m.vk.com/login";"26 лип. 2018 - 8 хв - Автор відео Телеканал Дождь ... которую до суда уже внесли в список экстремистов и террористов за публикацию фото в ВКонтакте, ей грозит до 6 лет тюрьмы.";"Редакция";"https://vk.com/re_dach";"20 авг 2018 ... Первое приходящее в голову объяснение предвзятого отношения государства к обитателям «ВКонтакте»: руководство этой ..."
"Как избавиться от похмелья";"Чем вылечить похмелье";"https://st03.kakprosto.ru/tumb/680/images/article/2017/3/24/292364_58d54829049ef58d5482904a2c.jpeg";"eIycEP6wWGA";"Как избавиться от похмелья в домашних условиях - Похмелье.РФ";"https://pohmelje.ru/kak-izbavitsya-ot-pohmelja-v-domashnih-usloviyah/";"Как избавиться от похмелья. Схема. Обратите внимание: в этой статье рассказывается, как избавиться от похмельного синдрома после однодневной ...";"Как избавиться от похмелья быстро в домашних условиях";"http://xn----dtbalmxqcnlo.xn--p1ai/%25D0%25BA%25D0%25B0%25D0%25BA-%25D0%25B8%25D0%25B7%25D0%25B1%25D0%25B0%25D0%25B2%25D0%25B8%25D1%2582%25D1%258C%25D1%2581%25D1%258F-%25D0%25BE%25D1%2582-%25D0%25BF%25D0%25BE%25D1%2585%25D0%25BC%25D0%25B5%25D0%25BB%25D1%258C%25D1%258F-%25D0%25B1%25D1%258B%25D1%2581%25D1%2582%25D1%2580%25D0%25BE-%25D0%25B8-%25D0%25BB%25D0%25B5/";"К счастью, есть способы, как быстро избавиться от похмелья. Но сначала нужно устранить причины: это интоксикация, обезвоживание и нарушение ...";"Как избавиться от похмелья. Как избавиться от похмельного ...";"http://zenalk.ru/alcohol-syndrome1.html";"Каждый, кто употреблял спиртные напитки в больших количествах испытывал на следующий день симптомы похмелья : сильные пульсирующие  ...";"Как избавиться от похмелья после новогодней ночи 2018";"https://fakty.ictv.ua/ru/lifestyle/zdorove/20180101-1571303/";"1 янв 2018 ... Лучшие способы быстро избавиться от похмелья и головной боли после новогодней ночи 2018."
"Что такое папиллома";"Что представляет собой папиллома";"https://st03.kakprosto.ru/tumb/680/images/article/2013/10/10/1_527a09e872f04527a09e872f3e.jpeg";"HL7vxy-w8mQ";"Как выглядит папиллома человека: фото, причины ... - GidMed.com";"http://gidmed.com/onkologiya/lokalizatsiya-opuholej/kozhnyj-pokrov/papilloma.html";"Папиллома это доброкачественная опухоль, локализующаяся на кожном покрове, реже на слизистых оболочках. Образование любых папиллом ...";"Опасно ли не лечить папилломы? - СМ Клиника";"http://www.smclinic.ru/press-centr/articles/papillomy/";"Это тоже один из видов заболевания, вызванного вирусом папилломы, образования в данном случае считаются доброкачественными.";"Вирус папилломы человека (ВПЧ) и рак шейки матки";"http://www.who.int/ru/news-room/fact-sheets/detail/human-papillomavirus-(hpv)-and-cervical-cancer";"Вирус папилломы человека (ВПЧ) является самой распространенной ... Скрининг на рак шейки матки — это тестирование на предрак и рак среди ...";"Папиллома: лечение папилломы и её удаление, причины и ...";"https://www.biokrasota.ru/article5426/";"Если в организме появляется вирус папилломы, это сигнализирует о наличии сбоев в организме и запущенных недугов, а также нарушения обменных ..."
"Как обезболить зуб";"Как избавиться от зубной боли";"https://st03.kakprosto.ru/tumb/680/images/article/2013/8/20/1_52551690b04b152551690b04f0.jpg";"7TFJEQ2c7Mo";"Чем обезболить зубную боль - Здоровко";"http://zdorovko.info/kak-izbavitsya-ot-zubnoj-boli/";"27 май 2015 ... Одни из них пока еще не столь опасны, другие могут говорить о развитии тяжелого заболевания ведущего к потере зуба. Чтобы понять ...";"Ответы@Mail.Ru: Смертельно болит зуб. . есть какой нибудь способ ...";"https://otvet.mail.ru/question/32423831";"Если нижняя челюсть, то точка в выемке, там нерв проходит, в области коренных зубов, снизу недалеко от угла челюсти. Чем сильней ...";"Зубная боль: как обезболить самостоятельно, когда врач ...";"https://damy-gospoda.ru/zubnaya-bol-kak-obezbolit/";"В статье "Зубная боль: как обезболить самостоятельно" - простые советы, как снять ... Если зуб разболелся в походе, на даче или просто вечером, когда ...";"Как обезболить зуб? - Stomgid.ru";"http://stomgid.ru/faq/obezbolivayushhie-ot-zubov";"Сильная зубная боль причиняет массу неудобств, поэтому все так стремятся прекратить ее. Обезболить зубы можно многими способами, включая ..."
"Как приготовить яблочный уксус";"Как готовят яблочный уксус";"https://st03.kakprosto.ru/tumb/680/images/article/2017/4/5/104326_58e4d3758f23e58e4d3758f286.jpeg";"jqoZYQJL9gs";"Яблочный уксус в домашних условиях. Видеорецепт - Woman's Day";"http://www.wday.ru/krasota-zdorovie/sok/yablochnyiy-uksus-pravila-izgotovleniya-v-domashnih-usloviyah/";"2 май 2014 ... Для приготовления яблочного уксуса из сока надо отобрать зрелые сладкие плоды, нарезать их крупными дольками и оставить на ...";"Как приготовить яблочный уксус дома: 3 рецепта - KitchenMag.ru";"https://kitchenmag.ru/posts/1606-kak-prigotovit-yablochnyy-uksus-doma-3-retsepta";"Яблочный уксус используется для приготовления блюд не менее часто, чем его собратья: винный и бальзамический уксусы. Этот вид уксуса ...";"Домашний яблочный уксус. Приготовление, рецепты";"http://www.countrysideliving.net/cuisine/Natural-Apple-Vinegar.html";"Есть разные способы приготовления домашнего яблочного уксуса из целых яблок или свежего яблочного сока. В этой статье - два простых рецепта ...";"Яблочный уксус - рецепт приготовления";"http://www.hnh.ru/food/2010-09-04-1";"4 сен 2010 ... Поэтому лучше готовить яблочный уксус самим. Его рецепт довольно прост. Встатье - 5 рецептов, некоторые тонкости приготовления, ..."
