"Название раздела";"GUID идентификатор группы элементов";"GUID идентификатор родительской группы элементов";"Заголовок раздела(title)";"Описание раздела(description)";"Ключевые слова раздела(keywords)";"Описание раздела";"Путь для раздела";"Порядок сортировки раздела";"GUID идентификатор элемента";"Название элемента";"Описание элемента";"Текст для элемента";"Метки";"Активность элемента";"Порядок сортировки элемента";"Путь к элементу";"Заголовок (title)";"Значение мета-тега description для страницы с элементом";"Значение мета-тега keywords для страницы с элементом";"Флаг индексации";"Дата";"Дата публикации";"Дата завершения публикации";"Файл изображения для элемента";"Файл малого изображения для элемента";"Ярлыки";"Идентификатор пользователя сайта";"Форматированное текстовое поле1-1";"Чек бокс1-1";"Форматированное текстовое поле2-1";"Чек бокс2-1";"Форматированное текстовое поле3-1";"Чек бокс3-1";"Адрес (youtube)";"Заголовок1-1";"Ссылка1-1";"Описание1-1";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
;;;;;;;;;;"Черный список ВКонтакте";;"Многие некоторые юные пользователи соцсети Вконтакте сомневаются в том что такое черный список ВКонтакте. Впрочем, ничего слишком нерешаемого в этом вопросе нет.<br> Читайте нашу статью о Вконтакте, она будет интересной.";;"1";"0";"chernyj-spisok-vkontakte";"Черный список ВКонтакте: как посмотреть, как убрать человека из ЧС (черного списка)";"Где найти и как посмотреть свой черный список ВКонтакте. Как узнать, кого я заблокировал. Как разблокировать человека (убрать из черного списка)";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"Social Guide Гид по социальным сетям Главная страница Как обойти чёрный список Вконтакте Для начала определимся для каких целей вам нужен обход чёрного списка - смотреть или писать.  1) Если вас занесли в чёрный список, а вам просто жизненно необходимо видеть статусы этого человека, какие фото он выкладывает и его другую его активность, делаем следующее: Заходим на страницу этого человека и копируем ссылку на него. Покажу на примере (к счастью, удалось вспомнить одного человека, у которого я в чёрном списке). Как мы видим, доступ ограничен. Я не вижу статусов этого человека,не вижу стену и фото. А что делать, если очень хочется? Заходим в другой браузер (вы не должны быть авторизованы Вконтакте с этого браузера). Вставляем ссылку на закрывшегося от вас человека в адресную строку, нажимаем Enter и радуемся!:) Теперь мы можем просматривать информацию закрытой страницы.  2) Теперь подробнее о втором варианте. Как написать человеку, если вы в черном списке.  Большинство сайтов, предлагающих решение, показывают нам, как писать с помощью специально созданного паблика. Буквально 5 минут назад протестировала этот способ, и, к сожалению, он не работает, если вы в чёрном списке. Дело в том, что упоминание Вконтакте всё равно приходит от вашего имени, а Вконтакте блокирует для этого человека любые сообщения от вас.  Отговаривать никого не буду, пробуйте. Инструкция прилагается.  Создаём пустой паблик Вконтакте.  Называем его как угодно, например, "Очень важно". Далее, копируем id человека, которому хотим написать. На стене сообщества пишем @id**** (вместо звёздочек вставляем id закрытой страницы), далее пишите то,что хотите сказать. Отправляем запись на стену. Теоретически (практически у меня не вышло), человеку придёт оповещение от Вконтакте об упоминании и он прочтёт ваше послание.  Если у вас этот метод сработал, поделитесь, как вы это сделали. Аргументы вроде "прямые руки из того места" не принимаются:) Находим посредника.  В идеале, это должен быть человек, которому вы доверяете. К тому же этот способ - самый просто. Но мы не ищем лёгких путей. Давайте представим, что у вас нет никого, кого вы могли бы попросить передать вашу весточку.  Для такого случая есть особенные люди и особенные группы. Для примера: Помощь стороннего человека. Иногда посторонним нам гораздо проще доверить личное.  Создаём ещё один аккаунт. Особой инструкции нет. Нажимаем "выйти" со своей страницы. Далее "зарегистрироваться". Регистрируемся и пишем. Довольно проблемный способ, но 100% рабочий. Для регистрации Вконтакте требуется ввести номер телефона, который ранее не был засвечен в этой сети. Можно, конечно, использовать телефон мамы, папы, бабушки и т.д., но что делать если телефона нет? И это тоже не беда. В следующих статьях читайте, как зарегистрироваться Вконтакте, если нет телефона. Отправить по электронной почтеНаписать об этом в блогеОпубликовать в TwitterОпубликовать в FacebookПоделиться в Pinterest Комментариев нет: Отправить комментарий Следующее Предыдущее Главная страница Подписаться на: Комментарии к сообщению (Atom) Меню блога Вконтакте Одноклассники Архив ►  2017 (1) ►  января (1) ▼  2016 (17) ►  февраля (7) ▼  января (10) Как взломать страницу Вконтакте Как удалить лайк от нежелательного пользователя Вк... Достижение "Редкая находка" на сайте "Одноклассник... Достижения на сайте "Одноклассники" Как восстановить пароль от сайта "Одноклассники" Одноклассники: забыл пароль и нет доступа к телефо... Бесплатные подарки на Одноклассниках Бесплатные голоса Вконтакте Как обойти чёрный список Вконтакте Бесплатная накрутка подписчиков в паблик ►  2014 (9) ►  марта (9) Обратная связь Имя Электронная почта * Сообщение * WebMoney Bonus Получите бонус WebMoney мгновенно на свой кошелек от 0.01 до 0.25 WMR. R-кошелек: Спонсор Кредиты webmoney Популярное Как обойти чёрный список Вконтакте Вечный offline или невидимка Вконтакте Учимся пользоваться статистикой Гости ВКонтакте №1 Открываем закрытый профиль в Одноклассниках Бесплатная накрутка подписчиков в паблик Бесплатные подарки на Одноклассниках Бесплатные голоса Вконтакте Как накрутить опрос Вконтакте: проверенные способы Гости ВКонтакте №2. Узнаём, кто заходил на страницу. Подписаться на обновления Тема "Венецианское окно". Технологии Blogger.";"0";"Обновить браузер x Для более быстрой и комфортной работы с сайтом бэби.ру мы рекомендуем обновить ваш браузер. Для этого необходимо скачать и установить обновление, с официального сайта браузера. Прямой эфирСообществаОтветыОбъявленияСервисы Мой личный календарьВаш персональный помощник на время беременности и воспитания ребенка ПланированиеНедели беременностиДети до 3 летДети 3-7 летДети старше Первый триместр12345678910111213 Второй триместр141516171819202122232425262728 Третий триместр2930313233343536373839404142 Читать о неделях беременности Первые недели0 нед.1 нед.2 нед.3 нед.4 нед.5 нед.6 нед.7 нед.8 нед.9 нед.10 нед.11 нед. Первые месяцы3 мес.4 мес.5 мес.6 мес.7 мес.8 мес.9 мес.10 мес.11 мес. от 1 до 3 лет1 год - 1,5 года1,5 года - 2 года2 года - 2,5 года2,5 года - 3 года планированиеТест на беременностьДни овуляции беременностьВыбор имениПол ребенкаДата родов выбираемВещи в роддомРоддомаЛекарства Все сервисы Наталия Журнал Как Вконтакте добавить пользователя в черный список???? Найти подруг Из журнала пользователяНаталия Доступно:Для всех Как Вконтакте добавить пользователя в черный список???? 7 сентября 2010, 18:33 Захожу в настройки, выбираю черный список, ввожу Имя пользователя и ссылка на его страницу, и больше нет на что ножать  что бы добавило Пожаловаться 4,3 НаталияОбухов Нужна помощь Добавить комментарий Следить за комментариями Комментарии пользователей 4 7 сентября 2010 18:34 СветланаАчинск настройки – черный список и все Это спам ОтветитьНравится  7 сентября 2010 18:38 -Al4onok-Алматы Ссылку на стр.добавляешь и Enter нажми.Все появится) Это спам ОтветитьНравится  7 сентября 2010 18:59 НаталияОбухов -Al4onok-спасибо Это спам ОтветитьНравится  24 января 2017 15:13 Sky  Как массово заблокировать пользователей в контакте? настройки приватности не позволяют скрыть полностью страницу от посторонних, а ручное добавление… ну допустим 1,5 тысяч человек… Да я быстрее состарюсь Это спам ОтветитьНравится  Похожие посты на тему "Как Вконтакте добавить пользователя в черный список????" Жизнь как путешествие: кто едет с нами в одном автобусе? Плохое питание бабушек может сказаться на здоровье внуков Почему кричать на ребенка — бесполезно Актуальные постыинстаграмм мамы дарины громовойсовместные роды с мужем на сурова Прямой эфир Для просмотра в прямом эфире записей в вашем городе - вам необходимо указать страну и город вашего проживания. Указать город и район Написать в прямой эфир Весь прямой эфир Похожие записи на тему планирования Про ЭКО 10 августа 2017, 17:04 Девочки из Омска, подскажите пожалуйста, кто делал ЭКО, где делали? в какой клинике? Как выбрали клинику? У какого врача? Какой… Моника  Овальное окно у ребенка 10 августа 2017, 16:52 Девочки, кто сталкивался, поделитесь информацией. При рождении было 2 мм, каждый год увеличивается на 0,5 -1 мм. Вчера сделали … МаринаКраснодар временная регистрация в советском р-не волгограда! 10 августа 2017, 16:49 девочки помогите пожалуйста кто может, ребенку нужна временная регистрация для детского сада. Ангелина ГалицынаВолгоград Узнавай и участвуй Игры Пройди квест в детской и не разбуди малыша. Тестирование товаров Попробуйте молочко для комфортного пищеварения! Тест-драйв детского органического питания. Читать отзывы! Личный опыт Мама выходит на тропу исследований Статьи Как распознать аллергию у малыша? Аптечка + Делитесь своими знаниям и об аллергии с другими мамами Разделы и сервисы Общайся! Бюджет планирования Бюджет малыша Тест на беременность Календарь записей Календарь вопросов Календарь беременности Популярное Читай Все сервисы Выбор клиники Выбор роддома Пол ребенка Имена Объявления Список вещей в роддом Фоторецепты Поиск лекарств Библиотека Статьи Избранное О проекте Реклама на сайте Вакансии Контакты Мобильная версия Представительства бэби.ру: Facebook ВКонтакте Одноклассники Мой Мир РегистрацияПрисоединяйся Вход через: Пользовательское соглашение Политика в области обработки персональных данных © 2009-2017 Все права защищены. Хочешь сделать предложение или сообщить об ошибке?";"0";"Люди, я смеюсь и плачу! Теперь новосибирские поведенческие пасюки обьявлены непасюками! Читайте и горюйте, Rattus Perfectus в черном списке (Обман людей: за пасюков выдаются крысы из толерантной линии поведенческого вивария академовского ИЦиГа и их потомки.)! http://vkontakte.ru/topic-22180759_24437807 Даже комментировать не хочется... Огромное человеческое спасибо всем, кто в свое время настоятельно не рекомендовал мне отдавать господину Николаю моих крысят-внепланчиков! Ну, собственно, поэтому он нас и внес в свой "чс". Я только одного понять не могу, причем тут мы и новосибирские поведенческие пасюки? Как раз их-то у нас (к сожалению) пока и не было... А ему по барабану... Лишь бы выпендриться... А я, наивная, не могла понять - почему многие к этому Николаю относятся... ммм... не очень тепло. Я о нем была гораздо лучшего мнения. Малявка, не принимай близко к сердцу. А ты чего ожидала от такого человека? Ему и крысят никто кроме внесенных в черные списки питомников больше не дает... Да мне тоже по большому счету по барабану! Правда, в людях разочаровываться не люблю, но переживу как-нибудь! Анекдот ходячий. Давайте собирать коллекцию "фриков"! Он будет на втором месте, сразу после "мохнатки"! А хостинг выдержит? Выдержит! "Мохнатку" энд компани же выдержал! А тут всего один мелкий питомник, который неизвестен нигде кроме как вконтакте. А вот у меня не открывается! Обидно, знаете как? Народ, скопируйте текст, ну или хотябы принтскрин.... почитать-то охота! Полный текст: К сожалению, в 21 веке приходится создавать тему с таким названием. В ней будут перечисляться питомники/заводчики допускающие неоднократные нарушения в разведении крыс и, собственно, указываться эти нарушение. Наиболее обширный список имеется здесь: http://rat.ru/forum/index.php?topic=14567.0. Не вижу смысла перепечатывать его сюда. Но перечень не полный и приходится его пополнять. Обман людей: за пасюков выдаются крысы из толерантной линии поведенческого вивария академовского ИЦиГа и их потомки. Злостный плодильщик решил пополнить черный список Бума, возомнив себя профессором высшего ранга Кстати, а которые из наших пасюков "новосибирские" - те, что в Котласе из подвала наловлены и размножены или Эвелинка, которая из подвала у метро Новогиреево г. Москва родом или те, что из Зеленоградской канализации?  WOW!!! Круто как! "Обсуждение темы не предусмотрено, за нарушение - БАН" Какое правило- то жесткое... вот сразу видно какая у человека крутизна собственного восприятия Дата между прочим, внесения нашего питомника - 15 марта 2011- тютелька в тютельку как мы ентого плодильщика в дальние леса послали несолоно хлебавши без наших крысят... так сильно хорошего человека обидили! Ай-ай-ай... щас всем строгий выговор вынесу и той самой поганке Карине в первую очередь Народ, я на стене там отписалась! Правда, после руны уже. Так у народа реакция - интерес! Там сейчас ссылка наша висит (не знаю, долго ли "продержится")! Грех не попользоваться "бесплатной площадкой"! Ну вот... Предлагают "перейти в обсуждения", где написано - за попытку обсуждения - бан. И открытым текстом - "вы в черном списке, потому что я - обиделся"! Не могу скрин нормально вставить... Веская причина для занесения в ЧС. Малявка Зачем сторонними ресурсами типа Радикала пользоваться, когда изображения можно заливать прямо на форуме? Нажимаешь "Добавить изображение" → выбираешь "Вставить полностью" и Уменьшить размер до: 1024 Вход  •  Регистрация Имя пользователя: Пароль: Забыли пароль? Запомнить меня Скрыть моё пребывание на конференции в этот раз";"0";;"Черный список вконтакте - инструкция по пользованию | Workion.ru";"http://workion.ru/kak-dobavit-v-chernyj-spisok-vkontakte.html";"22 лют. 2015 р. - Как добавить в черный список Вконтакте? Если кто-то надоедает вам или вы хотите скрыть свою страничку, просто отправьте человека ...";"Ответы Mail.Ru: что дает черный список в контакте?";"https://otvet.mail.ru/question/24345471";"10 серп. 2009 р. - Пользователь Verlen задал вопрос в категории Интернет и получил на него 10 ответов.";"Как добавить человека в черный список Вконтакте?";"http://h-y-c.ru/knowledge-base/internet/vkontakte/80-how-do-i-add-chelovaka-blacklisted-vkontakte.html";"Не знаете, как добавить его в черный список (бан-лист)? ... из Вас сталкивался с такой проблемой Вконтакте, как “назойливый” человек, который пишет ...";"Как добавить в черный список ВКонтакте? - Блог молодого админа";"http://fulltienich.com/kak-zablokirovat-polzovatelya-v-kontakte/";"В социальной сети ВКонтакте есть так называемый черный список, с помощью которого вы можете заблокировать того или иного пользователя.";"Черный список ВК и скрывающие друзья ВКонтакте - Шпион ВК";"http://vk-express.ru/get_black_list.php";"Примечание: В данном разделе шпиона Вы можете узнать у кого Вы находитесь в черном списке контакта. Поиск осуществляется по общим друзьям ...";
;;;;;;;;;;"Как заблокировать человека ВКонтакте";;"Многие молодые пользователи соцсетей не знают как заблокировать человека ВКонтакте. Между тем, этот вопрос довольно простой.<br> Прочитайте нашу инструкцию о Вконтакте, мы думаем что из нее вы подчерпнете для себя много нового.";;"1";"0";"kak-zablokirovat-cheloveka-vkontakte";"Как заблокировать человека ВКонтакте";"Простая инструкция, как заблокировать человека ВКонтакте, чтобы он не мог писать тебе сообщения, не мог смотреть твою страницу";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"Google (2) iPad и iPhone (1) MTS (1) SWF (4) Windows (2) Андроид (3) Безопасность (2) Браузеры (25) Google Chrome (14) Яндекс браузер (2) Интересности (9) Конституционное право (1) Мобильные операторы (1) Настройки (2) Онлайн-сервисы (3) Полезное (4) Программы (7) Adobe Flash Player (1) MS Word (3) Работа с видео (2) Ростелеком (1) Социальные сети (24) Facebook (1) Вконтакте (7) Друг Вокруг (6) Одноклассники (10) У меня проблема (63) Эйвон (1) Юла — объявления (1) Как удалить http://gamereleasedate.info/zpage.html www.mfc47.ru проверить готовность документов заявителю в ленинградской обл Как удалить вирус binarioblog.ru/?p=ru2706 www.fssprus.ru узнать задолженность по фамилии на сайте Федеральной службы судебных приставов www.obd-memorial.ru поиск по фамилии: найти списки 12kotov.ru как удалить с компьютера Как удалить yeadesktop.com из браузера полностью Moy-m-portal.ru/moi_podpiski - как отключить Как активировать карту Роснефть «Семейная команда» на сайте www.komandacard.ru или по СМС При запуске открывается workno.ru - как удалить с компьютера Июль 2017 (7) Июнь 2017 (10) Май 2017 (10) Апрель 2017 (10) Октябрь 2016 (1) Сентябрь 2016 (7) Июль 2016 (1) Июнь 2016 (5) Апрель 2016 (5) Март 2016 (3)";"0";"Секреты Вконтакте 2017 Регистрация в ВК Вход в ВК Моя страница ВК Главная » Приватность » Как быстро заблокировать человека в контакте Как быстро заблокировать человека в контакте Вконтакте даёт возможность занести человека в черный список (ЧС). Он больше не будет видеть ваш профиль в поиске ВК, не сможет написать сообщение или видеть информацию профиля. Но он по прежнему сможет с вами контактировать на стене группы или любого человека. Он сможет отвечать там, но уведомлений об этом вы не увидите. Как добавить в черный список? Способ 1. Заходим в «Настройки«, вкладка «Чёрный список«. На странице текст следующего содержания: «Вы можете добавить любого человека, чтобы он не мог просматривать Вашу страницу, а также оставлять комментарии к Вашим материалам и отправлять Вам личные сообщения». Вы можете ввести имя и фамилию человека для внесения в черный список, но удобнее сразу вставить в поле ссылку на профиль. Оцените разницу и введите в поле имя, например Павел Дуров и нажмите на кнопку «Добавить в чёрный список«: Как видите, вас перекинет на результат поиска, где необходимо нажать «Заблокировать«. Человек добавленный в ЧС будет видеть вашу анкету такой: Нет ни стены, ни возможности добавить в друзья, написать сообщения, посмотреть фото/видео и т.д. Т.е. вообще ничего! Можно только пожаловаться, добавить в закладки и занести в игнор в ответ. Способ 2. Зайдите на страничку человека, опуститесь ниже его аваторки до уровня аудиозаписей и нажмите обведенное: Если человек у вас в друзьях, функция будет отсутствовать. Забаньте человека по способу 1. Как заблокировать человека в группе Внесённый в черный список человек может общаться с вами на стене любого другого пользователя или на стене любой группы. Бан не распространяется на группы, сообщества, чужие стены и комментирование чужих фото/видео. Вы можете просто игнорировать такого человека а в случае оскорбительных сообщений пожаловаться службе поддержки. Наведите мышку на крестик справа от сообщения и нажмите на него: Как заблокировать человека в контакте через телефон У некоторых возникают трудности при использовании приложения или мобильной версии, сейчас мы эти трудности рассмотрим. В приложении Вконтакте Зайдите на страничку человека, нажмите три вертикальные точки справа вверху и в открывшемся меню выберете соответствующий пункт: Без разницы есть человек в друзьях или нет, именно в этом месте расположена необходимая функция. В мобильной версии Вконтакте В мобильной версии функция расположена на страничке пользователя. Зайдите на неё, опуститесь вниз и нажмите «Ещё«: В раскрывшемся меню нажмите «Заблокировать«: У человека находящегося в ваших друзьях вместо этого будет предложено удалить из друзей. Удалите его, обновите страничку и заблокируйте человека.   Закрыть доступ очень просто и быстро, но лучше вашего врага превратить в друга! Разделы: О взломе ВК Страница вконтакте Приватность Сообщения, переписки, беседы Стена и записи Аудио, видео Фото и изображения Доступность ВК Друзья и подписчики Оформление страницы Всё о группах Прочее Подпишись на push Главная Регистрация в ВК Вход в ВК Моя страница ВК Свежие записи Как можно назвать беседу в Вк. Смешные и крутые названия Как удалить беседу в Вк Как зарегистрироваться в Вк через Фейсбук Регистрация в ВК без номера телефона. Инструкция 2017 Социальные сети для покойников Почему продавать в социальных сетях невыгодно Размещая информацию в Сети себе не навреди Лжеца легко определить по его тексту Freeu браузер для обхода блокировки. Скачать, настроить, удалить В Украине закрылся ВКонтакте. Как же обойти блокировку?";"0";"19 Июн 2013 Как заблокировать человека в контакте Бывает так, что вы хотите, чтобы в контакте вам не мог писать какой-то определенный человек, чтобы он не видел вашу страницу, не читал ваших новостей. Конечно, можно сделать такое с помощью настроек приватности, но все равно он будет видеть ваш профиль, как видят его люди, не находящиеся у вас в друзьях. Если такое вам не подходит, просто добавьте ненавистного пользователя в черный список. Как это сделать? Перейдите в настройки: в левом меню выберите «мои настройки». Затем проследуйте во вкладку под названием «черный список». Выглядит он примерно как-то так. Если в вашем черном списке еще нет ни одного пользователя Вконтакте, то эта страница будет пустая.  Сейчас вам нужна строка поиска (с лупой). Как вам подсказывают, введите в нее имя пользователя человека, которого вы хотите заблокировать, или ссылку на его страницу и нажмите кнопку добавления. Например, так. Появится сообщение о том, что добавленный пользователь теперь не сможет просматривать вашу страницу и писать вам сообщения. Поздравляем!";"0";;"Как заблокировать человека в новом Вконтакте? - Вместе Вконтакте";"http://searchlikes.ru/blog/kak-zablokirovat-cheloveka-vkontakte/";"15 бер. 2012 р. - Заходите на страницу человека, рассылающего спам. 2. ... Прошу заблокировать Никиту Бусарева за оскорбление на моей стене";"Как заблокировать человека, рассылающего спам или ... - ВКонтакте";"https://vk.com/topic-34796657_26150665";"9 серп. 2010 р. - Самый лучший способ - зайти в "Мои настройки", далее во вкладку "Черный список" и указать там ссылку на профиль данного человека.";"Ответы Mail.Ru: Как заблокировать человека вконтакте?";"https://otvet.mail.ru/question/36935761";"Поэтому можно такого пользователя просто заблокировать. ... Например, чтобы жена не зашла на ненужную страницу пользователя ВКонтакте.";"Как заблокировать пользователя ВКонтакте? / Радиус Города";"http://radiuscity.ru/kak-zablokirovat-polzovatelia-vkontakte/";"19 лип. 2016 р. - Как в ВК заблокировать человека? Если вы подверглись нападкам неадекватного пользователя, заметили в ленте новостей посты, ...";"Как заблокировать человека в контакте? - Байон";"https://buyon.ru/pages/kak-zabanit-cheloveka-v-vk/";"Многие из нас огромное количество свободного времени проводят в социальной сети ВКонтакте, где достаточно много знакомимся и общаемся.";
;;;;;;;;;;"Как проверить что меня заблокировали ВКонтакте";;"Многие некоторые юные пользователи интернета не уверены как убедиться что меня не заблокировали ВКонтакте. Впрочем, ничего сложного в этом вопросе нет.<br> Ознакомьтесь с нашей статьей о Вконтакте, она окажется полезной.";;"1";"0";"kak-proverit-chto-menja-zablokirovali-vkontakte";"Как узнать, что тебя заблокировали ВКонтакте";"Способ точного определения, что тебя заблокировал (внес в черный список) конкретный человек ВКонтакте";;"1";"02.07.2017 20:49:57";"0000-00-00 00:00:00";"0000-00-00 00:00:00";;;;"0";"Цифрография студия креативной фотографии Студия Печать ваших фото Команда Новости Контакты  Please activate the Breadcrumb-NavXT plug-in to use the section. Если вас заблокировали вконтакте. Инструкция как защитить свой аккаунт Tweet Хочу поделиться опытом по разблокированию страницы в контакте. На праздники я уезжала в Вологду и вернулась только в воскресенье, точнее можно считать в понедельник так как было уже час ночи, когда мы оказались дома. Зайдя на страницу вконтакте увидела серую картинку вместо моей аватарки. И надпись сбоку - на ваш аккаунт пожаловались пользователи так как вы рассылали спам. Ваша страница заблокирована, для того чтоб разблокировать поменяйте пароль. И как то так, дословно не перескажу но текста было на абзац написано что и как делать. Первая проблема пароль. Я его не помнила, точнее у меня есть штук 5 разных паролей от разных аккаунтов и какой от какого приходится определять перебором. Страница вконтакте обычно без пароля загружалась так что пароль должен был быть старый. Чтоб произвести разблокировку нужно вбить как старый пароль так сразу 2жды новый. То есть при ошибке со старым паролем вы снова вводите и старый и новай пароль так пока вы свой пароль не вспомните...) Мне повезло и я попала с первого раза. Но дальше все не так просто - после смены пароля вы должны подтвердить то что вы именно владелец сайта а не злоумышленник. Если у вас был вбит номер телефона в профиле - то придет смс с кодом, который надо вбить. Что делать тем людям которые номер телефона не вводили не понятно. Видимо аккаунт будет потерян навеки, хотя не исключено что у вконтакте что то и придумано на этот счет. После ввода кода страница снова в том виде что и была до того как ее взломали. Но на этом не стоит расслабляться так как ваши друзья получили от вас спам сообщение, при переходе по которым их вполне могут сломать как и вас, и вы потом будете виноваты))) Идем в исходящие сообщения и видим что человек 20 друзей злосчастное сообщение получили до того как вконтакте самозаблокировался. Я написала на стене про то что была взломана и всем контактам, получившим сообщение злосчастное разослала извинения. Было грустно увидеть что с такой же картинкой ушастого животного с крестами вместо глаз было несколько знакомых - может конечно не из-за моей ссылки, но все же неприятно. Как итог - не переходите по подозрительным ссылкам от друзей пока не получите от них объяснения хотя бы что это что то полезное а не спам. Даже ссылки, которые выглядят вполне нормально - на аккаунт вконтакте например - могут содержать скрипт-вирус который разошлем вашим друзьям рекламу или ссылку на тот же скрипт. Я пыталась вспомнить как я могла так наколоться - вроде человек в интернете более не менее опытный. И вспомнила что как раз такая "безопасная" ссылка как раз мне и приходила.... Вела она на стену знакомой и после перехода ничего страшного не произошло. А вот вышло так что не сразу оно сработало. Будьте бдительны - ссылка может не только спам рассылать но и нанести вред компьютеру, своровать ваши логины и пароли и что только еще не натворить... Причем антивирус не всегда предоставляет защиту. Мой касперский меня подвел вот.   Подпишитесь на обновления на сайте Введите ваш e-mail: 3 Responses to Если вас заблокировали вконтакте. Инструкция как защитить свой аккаунт Санат пишет: 17.11.11 в 15:09 Спасибо за полезную информацию. Буду осторожнее! Ответить Тимур пишет: 07.04.14 в 8:35 Я вожу код а там показана ошибка?? Ответить saveleva-da пишет: 07.04.14 в 18:48 возможно неверно вводите код или нужно поменять раскладку клавиатуры. обновите код и попробуйте снова. Ответить Оставить комментарий Отмена ответа Ваш email не будет опубликован. Обязательные поля отмечены * Имя * E-mail * Сайт Комментарий Вы можете использовать это HTMLтеги и атрибуты: <a href="" title=""> <abbr title=""> <acronym title=""> <b> <blockquote cite=""> <cite> <code> <del datetime=""> <em> <i> <q cite=""> <strike> <strong> Немного о SEO часть вторая. Фотошоп онлайн – удобный интерфес на сайте и код для вставки в ваш блог Будьте в курсе всех новостей и акций фотостудии! Ваш e-mail: Авторизация Войти Рубрики Как снимать? Книги Новости О технике Плагины Wordpress Программы Программы для SEO Советы Фото рекорды фотопост Последние записи Фототур в Черногорию весна 2016 Инстаграмм нашего фотографа Внимание конкурс на бесплатную студийную съемку! Мы в соц. сетях 8 (926) 345-55-26 Фотостудия Цифрография © cifrografia.ru 2010-2016";"0";"На территории Китая заблокирован доступ к социальной сети ВКонтакте. Сервис greatfirewallofchina.org, созданный для проверки доступности сайтов на территории Китая, сообщает о недоступности домена vk.com во всех провинциях, откуда осуществляется тестирование. Интересно, что при этом мобильная версия сайта некоторое время оставалось доступной, сообщает Роскомсвобода. Но затем китайские цензоры исправили ошибку и мобильную версию тоже заблокировали. Причины блокировки неизвестны.";"0";"11 січня 2016 р. 1 000 000–5 000 000 2.1.1 2.3 або новіша версія Від 12 років Рекомендується для перегляду під наглядом батьків Взаємодія користувачів 7baRu Developers Перейти на веб-сайт Надіслати лист на адресу myvk.mobi@gmail.com";"0";;"Заблокировали вконтакте - что делать если заблокировали контакт";"http://smartronix.ru/zablokirovali-vkontakte";"Не забудьте проверить все данные вашей учетной записи на предмет ..... Заблокировали вконтакте страничку, пишут, что меня взломали и просят ...";"Как узнать, у кого я в черном списке ВКонтакте?";"http://www.bolshoyvopros.ru/questions/86302-kak-uznat-u-kogo-ja-v-chernom-spiske-vkontakte.html";"20 трав. 2014 р. - тэги: vkontakte, бан-лист, вконтакте, как узнать, соц. сеть, ... список,достаточно нажать заблокировать страницу на странице друга ...";"ВКонтакте заблокирован – взломали страницу (решение проблемы)";"http://djdiplomat.ru/vkontakte/sovety-i-sekrety/56-kontakt-zablokirovan-spam";"Если взломали страницу в ВК, или админы заблокировали за рассылку спама ... У меня сохранился доступ к номеру телефона и почтовому ящику. .... Обязательно проверьте свой ПК на вирусы бесплатным Доктор Вебом! Чтобы ...";"Вконтакте: Баг, который позволяет просматривать фотографии ...";"http://openssource.biz/vkontakte-bag-kotoryj-pozvolyaet-prosmatrivat-fotografii-polzovatelya-kotoryj-tebya-zablokiroval.html";"13 лист. 2014 р. - Вконтакте: Баг, который позволяет просматривать фотографии пользователя, который тебя заблокировал. Здравствуйте! Сейчас я вам ...";"Как узнать у кого я в черном списке? - KontaktLife.ru";"http://kontaktlife.ru/kak-uznat-u-kogo-ya-v-chernom-spiske";"5 бер. 2016 р. - Как известно, ВКонтакте есть возможность добавлять других пользователей в черный список. При этом пользователь, добавленный в ...";
